pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
愛知県,愛西市,立田赤蓮根,記念物(史跡・名勝・天然記念物),天然記念物,市指定,1981-07-01,,指定番号: 第1号；員数: 13㎡,https://www.city.aisai.lg.jp/cmsfiles/contents/0000011/11811/bunkazaiitiran.pdf,pdf,2026-07-12T06:34:14Z,JMH-232327-0001
愛知県,愛西市,水鶏塚,記念物(史跡・名勝・天然記念物),史跡,市指定,1985-03-26,,指定番号: 第2号；員数: 153㎡,https://www.city.aisai.lg.jp/cmsfiles/contents/0000011/11811/bunkazaiitiran.pdf,pdf,2026-07-12T06:34:14Z,JMH-232327-0002
愛知県,愛西市,東海道佐屋路佐屋三里の渡址,記念物(史跡・名勝・天然記念物),史跡,市指定,1986-04-16,,指定番号: 第3号；員数: 1.5㎡,https://www.city.aisai.lg.jp/cmsfiles/contents/0000011/11811/bunkazaiitiran.pdf,pdf,2026-07-12T06:34:14Z,JMH-232327-0005
愛知県,愛西市,佐屋海道址,記念物(史跡・名勝・天然記念物),史跡,市指定,1986-04-16,,指定番号: 第4号；員数: 1㎡,https://www.city.aisai.lg.jp/cmsfiles/contents/0000011/11811/bunkazaiitiran.pdf,pdf,2026-07-12T06:34:14Z,JMH-232327-0003
愛知県,愛西市,津島天王祭 市江車車田址,記念物(史跡・名勝・天然記念物),史跡,市指定,1986-04-16,,指定番号: 第5号；員数: 7㎡,https://www.city.aisai.lg.jp/cmsfiles/contents/0000011/11811/bunkazaiitiran.pdf,pdf,2026-07-12T06:34:14Z,JMH-232327-0006
愛知県,愛西市,大野城址,記念物(史跡・名勝・天然記念物),史跡,市指定,1986-04-16,,指定番号: 第6号；員数: 20㎡,https://www.city.aisai.lg.jp/cmsfiles/contents/0000011/11811/bunkazaiitiran.pdf,pdf,2026-07-12T06:34:14Z,JMH-232327-0004
愛知県,愛西市,懸仏,有形文化財,工芸,市指定,1987-04-09,,指定番号: 第7号；員数: 1躯,https://www.city.aisai.lg.jp/cmsfiles/contents/0000011/11811/bunkazaiitiran.pdf,pdf,2026-07-12T06:34:14Z,JMH-232327-0007
愛知県,愛西市,管粥,民俗文化財,無形民俗,市指定,1987-04-09,,指定番号: 第8号,https://www.city.aisai.lg.jp/cmsfiles/contents/0000011/11811/bunkazaiitiran.pdf,pdf,2026-07-12T06:34:14Z,JMH-232327-0008
愛知県,愛西市,佐屋代官所址,記念物(史跡・名勝・天然記念物),史跡,市指定,1989-02-02,,指定番号: 第9号；員数: 303㎡,https://www.city.aisai.lg.jp/cmsfiles/contents/0000011/11811/bunkazaiitiran.pdf,pdf,2026-07-12T06:34:14Z,JMH-232327-0009
愛知県,愛西市,諸桑の古船（木片）,有形文化財,考古,市指定,1992-10-22,,指定番号: 第10号；員数: 6点,https://www.city.aisai.lg.jp/cmsfiles/contents/0000011/11811/bunkazaiitiran.pdf,pdf,2026-07-12T06:34:14Z,JMH-232327-0010
