pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
秋田県,秋田市,石造り五重塔,有形文化財,建造物,市指定,1962-04-09,八橋本町六丁目,員数: １基,https://www.city.akita.lg.jp/kurashi/rekishi-bunka/1002215.html,html,2026-07-05T10:16:18+09:00,JMH-052019-0001
秋田県,秋田市,新波神社本殿の腰組み細工基礎建築,有形文化財,建造物,市指定,1988-09-06,雄和新波字樋口,員数: １式,https://www.city.akita.lg.jp/kurashi/rekishi-bunka/1002215.html,html,2026-07-05T10:16:18+09:00,JMH-052019-0093
秋田県,秋田市,御物頭御番所,有形文化財,建造物,市指定,1990-04-10,千秋公園,員数: １棟,https://www.city.akita.lg.jp/kurashi/rekishi-bunka/1002215.html,html,2026-07-05T10:16:18+09:00,JMH-052019-0099
秋田県,秋田市,秋田聖救主教会聖堂,有形文化財,建造物,市指定,1990-04-10,保戸野中町,員数: １棟,https://www.city.akita.lg.jp/kurashi/rekishi-bunka/1002215.html,html,2026-07-05T10:16:18+09:00,JMH-052019-0100
秋田県,秋田市,補陀寺山門,有形文化財,建造物,市指定,1994-03-04,山内字田中,員数: １棟,https://www.city.akita.lg.jp/kurashi/rekishi-bunka/1002215.html,html,2026-07-05T10:16:18+09:00,JMH-052019-0108
秋田県,秋田市,旧金子家住宅,有形文化財,建造物,市指定,1997-10-22,大町一丁目,員数: 住宅1棟 土蔵1棟,https://www.city.akita.lg.jp/kurashi/rekishi-bunka/1002215.html,html,2026-07-05T10:16:18+09:00,JMH-052019-0114
秋田県,秋田市,補陀寺本堂,有形文化財,建造物,市指定,2001-03-02,山内字田中,員数: １棟,https://www.city.akita.lg.jp/kurashi/rekishi-bunka/1002215.html,html,2026-07-05T10:16:18+09:00,JMH-052019-0122
秋田県,秋田市,藤倉神社宮殿,有形文化財,建造物,市指定,2011-03-03,山内字藤倉,員数: １基,https://www.city.akita.lg.jp/kurashi/rekishi-bunka/1002215.html,html,2026-07-05T10:16:18+09:00,JMH-052019-0140
秋田県,秋田市,阿弥陀二十五菩薩来迎図,有形文化財,絵画,市指定,1963-02-26,,員数: １幅,https://www.city.akita.lg.jp/kurashi/rekishi-bunka/1002215.html,html,2026-07-05T10:16:18+09:00,JMH-052019-0007
秋田県,秋田市,十三仏絵,有形文化財,絵画,市指定,1964-04-03,,員数: １幅,https://www.city.akita.lg.jp/kurashi/rekishi-bunka/1002215.html,html,2026-07-05T10:16:18+09:00,JMH-052019-0010
