"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_通称","名称_英語","文化財分類","種類","場所名称","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","電話番号","内線番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","員数（数）","員数（単位）","法人番号","所有者等","文化財指定日","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","画像","画像_ライセンス","概要","概要_英語","説明","説明_英語","URL","備考"
"052094","BB0100001001","秋田県鹿角市","秋田犬","アキタイヌ","日本秋田犬","Akita breed of dog","天然記念物","","","","","秋田県","秋田県","","","","","","","","","","","","","","","","","","公益社団法人秋田犬保存会(秋田犬会館)","1931-07-31","","","","","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/tennenkinenbutu/12823.html",""
"052094","BB0100001002","秋田県鹿角市","声良鶏","コエヨシトリ","","songbird","天然記念物","","","","","秋田県","秋田県","","","","","","","","","","","","","","","","","","秋田県声良鶏比内鶏金八鶏保存会（天然記念物全日本声良鶏保存会）","1937-12-21","","","","","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/tennenkinenbutu/12824.html",""
"052094","BB0100001003","秋田県鹿角市","大湯環状列石(万座環状列石)","オオユカンジョウレッセキ(マンザカンジョウレッセキ)","環状石籬;ストーンサークル","Oyu circle stone(Manza ring column)","特別史跡","","大湯環状列石(万座環状列石)","052094","0003225","秋田県鹿角市十和田大湯字野中堂ほか","秋田県","鹿角市","十和田大湯字野中堂","","ほか","40.27182","140.80386","","","0186-37-3822","","","","","0185421","","","","鹿角市教育委員会","1956-07-19","日火水木金土・祝日","09:00","18:00","4～10月無休・11～3月月曜・年末年始(12/29～1/3)休館、(※ただし祝日の場合月曜開館・翌日休館)","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/7/5593.html",""
"052094","BB0100001004","秋田県鹿角市","大日堂舞楽","ダイニチドウブラク","ザイドウ;大日堂祭堂","Dainichido buraku","重要無形文化財","芸能","大日霊貴神社","052094","0011332","秋田県鹿角市八幡平字堂の上16","秋田県","鹿角市","八幡平字堂の上","16","","40.14454","140.80751","","","0186-32-2742","","","","","0185141","","","","大日堂舞楽保存会","1976-05-04","","","","毎年1月2日開催","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/mukeiminzokubunkazai/dainidoubugaku/index.html",""
"052094","BB0100001005","秋田県鹿角市","毛馬内の盆踊","ケマナイノボンオドリ","旧名：毛馬内盆踊り","Bon odori in Kemanai - Bon dance of the north -","重要無形文化財","芸能","十和田毛馬内地区","052094","0006000","秋田県鹿角市十和田毛馬内","秋田県","鹿角市","十和田毛馬内","","","","","","","0186-30-3939","","","","","0185334","","","","毛馬内盆踊り保存会","1998-12-16","","","","毎年8月21日、22日、23日開催","","","","","","","https://www.ink.or.jp/~kemanai09/",""
"052094","BB0100001006","秋田県鹿角市","花輪祭の屋台行事","ハナワマツリノヤタイギョウジ","花輪ばやし","Hanawa's food stall event","重要無形文化財","芸能","花輪地区","052094","0012000","秋田県鹿角市花輪","秋田県","鹿角市","花輪","","","","","","","0186-22-6088","","","","","0185201","","","","花輪ばやし祭典委員会","2014-03-10","","","","毎年8月19日、20日開催","","","","","","","http://www.hanawabayashi.jp",""
"052094","BB0100001007","秋田県鹿角市","渡部家住宅主屋","ワタナベケジュウタクオモヤ","","Watamabe family residence main building","登録有形文化財","建造物","八幡平","052094","0011248","秋田県鹿角市八幡平字石鳥谷63","秋田県","鹿角市","八幡平字石鳥谷","63","","40.14988","140.77792","","","0186-32-2133","","","","","0185141","","","","個人","2006-03-27","日月火水木金土","10:00","16:00","5月～11月営業(12月～4月休業)※一週間前までに要予約","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/tourokuyuukeibunkazaikenzoubutu/12834.html",""
"052094","BB0100001008","秋田県鹿角市","渡部家住宅土蔵","ワタナベケジュウタクドゾウ","","Watamabe family residence main stonehouse","登録有形文化財","建造物","八幡平","052094","0011248","秋田県鹿角市八幡平字石鳥谷63","秋田県","鹿角市","八幡平字石鳥谷","63","","40.14988","140.77792","","","0186-32-2133","","","","","0185141","","","","個人","2006-03-27","日月火水木金土","10:00","16:00","5月～11月営業(12月～4月休業)※一週間前までに要予約","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/tourokuyuukeibunkazaikenzoubutu/12834.html",""
"052094","BB0100001009","秋田県鹿角市","渡部家住宅門","ワタナベケジュウタクモン","","Go to the Watamabe family residence","登録有形文化財","建造物","八幡平","052094","0011248","秋田県鹿角市八幡平字石鳥谷63","秋田県","鹿角市","八幡平字石鳥谷","63","","40.14988","140.77792","","","0186-32-2133","","","","","0185141","","","","個人","2006-03-27","日月火水木金土","10:00","16:00","5月～11月営業(12月～4月休業)※一週間前までに要予約","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/tourokuyuukeibunkazaikenzoubutu/12834.html",""
"052094","BB0100001010","秋田県鹿角市","旧関善酒店主屋","キュウセキゼンシュテンシュオク","","Sekizen sake shop owner's house","登録有形文化財","建造物","花輪","052094","0012244","秋田県鹿角市花輪字上花輪85","秋田県","鹿角市","花輪字上花輪","85","","40.18159","140.78892","","","0186-23-2021","","","","","0185201","","","","特定非営利活動法人関善賑わい屋敷","2006-08-03","日月火水金土","10:00","17:00","3・8・13・18・23・28日は木曜営業","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/tourokuyuukeibunkazaikenzoubutu/12835.html",""
"052094","BB0100002001","秋田県鹿角市","木造弥陀三尊（阿弥陀仏・観世音菩薩・勢至菩薩）","モクゾウミダサンゾン「アミダブツ・カンゼオンボサツ・セイシボサツ」(3ムクロ)","","Wooden tried of Amitabha """"""""Amitabha buddha, Avalokitesvara bodhisattava, and Seishi bodhisattava""""""""\\n(3 statues)","県指定有形文化財","彫刻","恩徳寺","052094","0012244","秋田県鹿角市花輪字上花輪11","秋田県","鹿角市","花輪字上花輪","11","","40.18555","140.79013","","","0186-23-2372","","","","","0185201","","","","恩徳寺","1955-01-24","","","","","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/yuukeibunkazaityoukoku/12788.html",""
"052094","BB0100002002","秋田県鹿角市","銅像阿弥陀如来立像","ドウゾウアミダニョライリツゾウ","","Standing bronze statue of Amida nyorai(1 statue)","県指定有形文化財","彫刻","円福寺","052094","0012178","秋田県鹿角市花輪字元村17","秋田県","鹿角市","花輪字元村","17","","40.23922","140.80504","","","0186-25-2715","","","","","0185201","","","","円福寺","1990-03-20","","","","","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/yuukeibunkazaityoukoku/12789.html",""
"052094","BB0100002003","秋田県鹿角市","銅造地蔵菩薩立像","ドウゾウジゾウボサツリツゾウ","","Standing bronze statue of Jizo","県指定有形文化財","彫刻","大徳寺","052094","0011273","秋田県鹿角市八幡平字大里40","秋田県","鹿角市","八幡平字大里","40","","40.15722","140.8012","","","0186-32-2672","","","","","0185141","","","","大徳寺","2012-03-23","","","","","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/yuukeibunkazaityoukoku/12793.html",""
"052094","BB0100002004","秋田県鹿角市","大湯環状列石出土品","オオユカンジョウレッセキシュツドヒン","","Oyu ringed stone artifacts","県指定有形文化財","考古資料","大湯ストーンサークル館","052094","0003223","秋田県鹿角市十和田大湯字万座45","秋田県","鹿角市","十和田大湯字万座","45","","40.2742","140.80649","","","0186-37-3822","","","","","0185421","325","点","","鹿角市教育委員会","2010-03-12","日火水木金土","09:00","18:00","毎週月曜日休館日(祝日の場合翌日休館日)、11/1～3/31 9:00～16:00に通常より2時間短縮、年末年始(12/29～1/3)休館","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/yuukeibunkazaikoukosiryo/12803.html","(土器26点・石器1点・土製品196点・石製品102点)"
"052094","BB0100002005","秋田県鹿角市","天戸森遺跡出土品","アマトモリイセキシュツドドキ","","","県指定有形文化財","考古資料","鹿角市出土文化財管理センター","052094","0003223","秋田県鹿角市十和田大湯字万座13","秋田県","鹿角市","十和田大湯字万座","13","","40.27465","140.80519","","","0186-37-3822","","","","","0185421","705","点","","鹿角市教育委員会","2023-03-24","","","","閉業","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/yuukeibunkazaikoukosiryo/12804.html",""
"052094","BB0100002006","秋田県鹿角市","尾去沢鉱山資料","オサリザワコウザンシリョウ","","Osarizawa mine materials(77 mining tools and 2 pictorial drawings of mining operations)","県指定有形民俗文化財","","鹿角市教育委員会","052094","0001122","秋田県鹿角市尾去沢字獅子沢9-10","秋田県","鹿角市","尾去沢字獅子沢","9-10","","40.21597","140.78884","","","0186-30-0294","","","","","0185202","79","点","","鹿角市教育委員会","1966-03-22","月火水木金","08:30","17:15","日・土曜・年末年始(12/29～1/3)利用不可","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/yuukeiminzokubunkazai2/12809.html",""
"052094","BB0100002007","秋田県鹿角市","大森親山獅子大権現舞","オオモリシンザンシシダイゴンゲンマイ","","Omori shinzan shishi daigongenmai","県指定無形民俗文化財","","大森親山獅子大権現舞保存会(両社山神社)","052094","0001155","秋田県鹿角市尾去沢字東在家","秋田県","鹿角市","尾去沢字東在家","","","","","","","","","","","","0185202","","","","大森親山獅子大権現舞保存会","1964-11-17","","","","","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/mukeiminzokubunkazai/azukisawanoojinaobana/index.html",""
"052094","BB0100002008","秋田県鹿角市","大湯大太鼓","オオユオオダイコ","","Big soup and big taiko","県指定無形民俗文化財","","大湯大太鼓保存会","052094","0003000","秋田県鹿角市十和田大湯","秋田県","鹿角市","十和田大湯","","","","","","","","","","","","0185421","","","","大湯大太鼓保存会","1974-10-12","","","","","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/mukeiminzokubunkazai/ooyuoodaiko/index.html",""
"052094","BB0100002009","秋田県鹿角市","花輪の町踊り","ハナワノマチオドリ","","Hanawa town dance","県指定無形民俗文化財","","花輪の町踊り保存会","052094","0012000","秋田県鹿角市花輪","秋田県","鹿角市","花輪","","","","","","","","","","","","0185201","","","","花輪町踊り保存会","1988-03-15","","","","","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/mukeiminzokubunkazai/hanawanomachiodori/index.html",""
"052094","BB0100002010","秋田県鹿角市","松館天満宮三台山獅子大権現舞","マツダテテングウサンダイサンシシダイゴンゲン","","Shodate tenmangu sandaizan shishi daigongenmai","県指定無形民俗文化財","","松館天満宮舞楽保存会(松館菅原神社)","052094","0011205","秋田県鹿角市八幡平字松館","秋田県","鹿角市","八幡平字松館","","","40.15915","140.77994","","","0186-25-2527","","","","","0185141","","","","松館天満宮舞楽保存会","1993-06-18","","","","","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/mukeiminzokubunkazai/matsudatetenmanguusannodaisanshishidaigongenmai/index.html",""
"052094","BB0100002011","秋田県鹿角市","天照皇御祖神社境内の磨崖仏及び板碑","アマテラススメミオヤジンジャケイダイノマガイブツオヨビイタヒ","","Amaterasu shrine precincts","県指定史跡","","天照皇御祖神社","052094","0011282","秋田県鹿角市八幡平字谷内14","秋田県","鹿角市","八幡平字谷内","14","","40.11073","140.79025","","","0186-34-2225","","","","","0185141","","","","天照皇御祖神社","1985-03-15","","","","","","","","","","","https://www.city.kazuno.lg.jp/kanko_bunka_sports/bunkazai/2/siseki/12821.html",""
