都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
052060,0010000001,秋田県,男鹿市,赤神神社五社堂,アカガミジンジャゴシャドウ,,,重要文化財,建造物,赤神神社,秋田県男鹿市船川港本山門前字祓川35,,39.870503,139.750803,,,5,棟,6410005001657,宗教法人 赤神神社,1990-03-19,,,,,,,,,五社堂は石段を登りつめた標高約180ｍのところに建っており、山中に同形式の五棟の社殿が並び建つ様子は壮観です。現在の建物は宝永六年（1709年）に秋田藩主佐竹義格（よしさだ）公の命令で造営されたものです。しかし、300年を経て傷みが激しくなり、造営当初の姿に復原するため、平成10年度～13年度までに大規模な補修事業を行いました。江戸時代中期の神社建築としては良く残っており、建立、再建、建替、修理などの年代がよくわかっていて、県内の近世寺社建築を考える上で重要な建物です。,,https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/2/1520.html,
052060,0010000002,秋田県,男鹿市,赤神神社五社堂 赤神権現堂内厨子,アカガミジンジャゴシャドウ アカガミゴンゲンドウナイズシ,,,重要文化財,建造物,赤神神社,秋田県男鹿市船川港本山門前字祓川35,,39.870503,139.750803,,,1,棟,6410005001657,宗教法人 赤神神社,1967-06-05,,,,,,,,,赤神神社の創立はきわめて古く、貞観二年（860年）に慈覚大師（円仁）が寺院を建て、鎌倉時代の建保四年（1216年）に源実朝が堂社を比叡山（ひえいざん）に模して造営したといわれています。厨子は五社堂の中央堂内にあり、室町時代末期の時代的特性をよく伝えています。古建築が少ない県内の中世建築物として価値が高いものといえます。,,https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/2/1519.html,
052060,0010000003,秋田県,男鹿市,男鹿のまるきぶね,オガノマルキブネ,,,重要有形民俗文化財,民俗文化財,,秋田県男鹿市船川港船川字海岸通り2-14-2（男鹿市民文化会館内）,,39.892836,139.854374,0185-23-2251,,1,隻,2000020052060,男鹿市,1965-06-09,,,,,,,,,男鹿で造られる丸木舟は、真山・本山にある樹齢300年以上の一本の秋田杉をくり貫いて造ります。岩礁の多い男鹿の海では、岩場の海草、貝類の採取など沿岸の仕事には欠くことができない舟です。この丸木舟は昭和26年に作製され、加茂青砂の海で実際に使われていたものです,,https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/2/1517.html,
052060,0010000004,秋田県,男鹿市,男鹿のナマハゲ,オガノナマハゲ,,,重要無形民俗文化財,民俗文化財,,男鹿市,,,,0185-24-9103,,,,,男鹿のナマハゲ保存会,1978-05-24,,,,,,,,,"大晦日の晩、男鹿半島全域で行われる行事です。集落の青年たちがナマハゲに扮して、「泣く子はいねがー」などと大声で叫びながら地域の家々を巡ります。 男鹿の人々にとってナマハゲは怠け心を戒め、家の厄を祓い、無病息災・田畑の実り・山の幸・海の幸をもたらす来訪神です。冬に囲炉裏に長くあたっていると手足にできる火斑を方言で「ナモミ」といい、怠け心を戒めるため、ナモミを剥ぐナモミハギが語源と言われています。ナマハゲは地区ごとに面や衣装、持ち物、所作が異なることが大きな特徴です。面は木彫り、木の皮やザルに紙を貼ったものなど、様々な素材が使われています。平成30（2018）年、男鹿のナマハゲなど全国8県10行事は「来訪神：仮面・仮装の神々」としてユネスコ無形文化遺産に登録されました。
",,https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/2/1518.html,2018年ユネスコ無形文化遺産登録（来訪神：仮面・仮装の神々）
052060,0010000005,秋田県,男鹿市,東湖八坂神社祭のトウニン（統人）行事,トウコヤサカジンジャサイノトウニンギョウジ,,,重要無形民俗文化財,民俗文化財,,"男鹿市,潟上市",,,,,,,,,船越町内会連合会・東湖八坂神社崇敬会,1986-01-14,,,,,,,,,"東湖八坂神社のトウニン（統人）行事（東湖八坂神社祭）。祭りは、責任者（統人）によって仕切られます。本祭りは7月7日で、潟上市（天王）からは、牛乗り、男鹿市（船越）からはくも舞を演じる人が登場し、この舞はチョンマイ（蝶舞）ともいいます。
祭りの起源は平安時代後期といわれ、「八岐の大蛇退治」の故事と八郎潟周辺の農漁民の間に伝わる水神信仰と習合させた祭礼です。",,https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/2/1515.html,
052060,0010000006,秋田県,男鹿市,脇本城跡,ワキモトジョウアト,,,史跡,史跡,,秋田県男鹿市脇本脇本字兜ヶ崎 他,,39.905844,139.892231,0185-24-9103,,,,,男鹿市  他,2004-09-30,,,,,,,,,脇本城跡は、安東氏の一族安東愛季（ちかすえ）が安土桃山時代の天正5年（1577年）に大規模な修復を行って、居城とした城であるといわれています。その規模は生鼻崎から本明寺の上の馬乗り場を経て、脇本第一小学校上の兜ヶ崎までを含む、総面積約150haに及び、東北最大級といわれています。城の遺構は、多数の曲輪（くるわ）・土塁（どるい）・空堀（からぼり）・井戸跡などの他、虎口（こぐち）と呼ばれる城の入口部などが確認され、発掘調査では当時使用した陶磁器などが出土しています。男鹿市のみならず、秋田県内でも代表的な城跡として重要な史跡となっています。,,https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/2/1514.html,
052060,0010000007,秋田県,男鹿市,ツバキ自生北限地帯,ツバキジセイホクゲンチタイ,,,天然記念物,天然記念物,,秋田県男鹿市船川港椿字家の後12 他,,39.865257,139.77884,0185-24-9103,,,,,男鹿市  他,1936-10-12,,,,,,,,,ツバキはツバキ科の常緑高木の総称で、ヤブツバキは暖地に自生します。指定範囲は能登山一帯と道路を隔てた反対側の崖にも及んでおり、北限地帯のヤブツバキ群落として、植生価値は大変高いものです。,,https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/2/1521.html,
052060,0010000008,秋田県,男鹿市,男鹿目潟火山群一ノ目潟,オガメガタカザングンイチノメガタ,,,天然記念物,天然記念物,,秋田県男鹿市北浦西水口字一ノ目潟44-5 他,,39.954185,139.739545,0185-24-9103,,,,,男鹿市  他,2007-07-26,,,,,,,,,一ノ目潟は男鹿半島先端付近にある淡水湖で、直径600ｍ、面積0.26ｋ㎡、深さ44.6ｍで、6万～8万年前に形成されたと考えられています。二ノ目潟、三ノ目潟とともに目潟火山群を構成し、火山の形態の１つであるマール（爆裂火口）の典型として知られており、東北では唯一です。また、一ノ目潟は安山岩中にマントル起源の捕獲岩を含んだ噴出物のあった火山として、世界で初めて知られ、世界的に注目を受けています。,,https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/2/1516.html,
052060,0010000009,秋田県,男鹿市,増川八幡神社内陣木造宮殿,マスカワハチマンジンジャナイジンモクゾウクデン,,,県指定有形文化財,建造物,,秋田県男鹿市船川港増川字宮ノ下20,,39.87771,139.824434,,,1,棟,,増川集落,1963-02-05,,,,,,,,,一間社、正面入母屋造（いりもやづくり）、背面切妻造（きりつまづくり）です。妻入で唐風造り拝殿があり、室町時代後期の建造と考えられています。黒塗の木履、古硯等を神宝として蔵し、今なお現存するものです。,,https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/1/1504.html,
052060,0010000010,秋田県,男鹿市,宝篋印塔,ホウキョウイントウ,,,県指定有形文化財,建造物,,,,,,,,1,基,,個人,1987-03-17,,,,,,,,,宝篋印塔（ほうきょういんとう）は、過去、現在、未来にわたる諸仏の全身舎利を包蔵するために、「宝篋印塔陀羅尼経」を納めるための塔です。日本列島には平安時代に伝来しました。石英安山岩製で、高さが92.8cmです。年号は彫られていませんが、形式からみて鎌倉時代末期から南北朝時代に制作されたと考えられます。,,https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/1/1501.html,
052060,0010000011,秋田県,男鹿市,真山神社五社殿・宮殿,シンザンジンジャゴシャデン・クウデン,,,県指定有形文化財,建造物,真山神社,秋田県男鹿市北浦真山字水喰沢97,,39.927516,139.766777,0185-33-3033,,1,棟,8410005001671,真山神社,1993-01-27,,,,,,,,,"五社殿は、かつて五社堂と呼ばれ５つの社がありましたが、火災で焼失したため1社にまとめられたと伝えられています。部材は全て杉材で、屋根材が葺替えられたほかは建築当初のままと考えられます。内壁や柱に文化年間等の落書きがあり、18世紀末から19世紀初頭の建築と推測されています。宮殿は、五社堂の内々陣にある方2間で正面に格（こう）狭（ざ）間（ま）の須弥壇に鎮座しています。部材は杉材で、三方に緑が巡り、背面に脇障子を備える造りです。
五社殿及び宮殿には、随所に仏教建築の様式が見られ、神仏習合など当時の信仰を伝えるとともに、秋田県の社寺建築の変遷を知る上で貴重な建築物です。",,https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/1/1500.html,
052060,0010000012,秋田県,男鹿市,絹本着色、金剛・胎蔵両界曼荼羅,ケンポンチャクショク、コンゴウ・タイゾウリョウカイマンダラ,,,県指定有形文化財,絵画,長楽寺,秋田県男鹿市船川港本山門前字祓川27,,39.866697,139.751748,0185-27-2823,,２,幅,5410005001641 ,長楽寺,1955-01-24,,,,,,,,,曼荼羅（まんだら）は広い宇宙を一枚の絵の中に表したもので、平安時代の僧であり、真言宗の開祖弘法大師（空海）が中国からもたらしたものであると伝えられています。この金剛界曼荼羅（こんごうかいまんだら）は円熟な筆致により鎌倉時代末期の作といわれ、胎蔵界曼荼羅（たいぞうかいまんだら）はやや時代が新しくなるも、共に高野山所属の絵師により描かれたものであると考えられています。,,https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/1/1510.html,
052060,0010000013,秋田県,男鹿市,絹本着色弘法大師像 ,ケンポンチャクショクコウボウダイシゾウ,,,県指定有形文化財,絵画,長楽寺,秋田県男鹿市船川港本山門前字祓川27,,39.866697,139.751748,0185-27-2823,,1,幅,5410005001641 ,長楽寺,1978-02-04,,,,,,,,,弘法大師（空海）は遣唐使として中国へ渡り、密教（仏教の一種）を学んだ平安時代の高僧です。描かれた大師は、密教で特に重要視された三鈷杵（さんこしょ）という武器を右手に握り、左手に数珠を持っています。当時の赤色があざやかに残り、荒目の絹地、筆使い、構図等から、鎌倉時代末期から室町時代初期の作と推定されます。,,https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/1/1509.html,
052060,0010000014,秋田県,男鹿市,木造十一面観音菩薩立像,ジュウイチメンカンノンボサツリュウゾウ,,,県指定有形文化財,彫刻,赤神神社,秋田県男鹿市船川港本山門前字祓川35,,39.870503,139.750803,,,1,躯,6410005001657,宗教法人 赤神神社,1952-11-01,,,,,,,,,十一面観音菩薩立像は、救済者としての観世音菩薩の種々の能力を十一の顔で表したもので、五社堂内に安置されています。高さ約1.8mの一木造で、細身のためか穏やかな表情をしており、鎌倉時代の地方仏師の作であろうと考えられています。,,https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/1/1499.html,
052060,0010000015,秋田県,男鹿市,木造聖観音菩薩立像,モクゾウショウカンノンボサツリュウゾウ,,,県指定有形文化財,彫刻,赤神神社,秋田県男鹿市船川港本山門前字祓川35,,39.870503,139.750803,,,1,躯,6410005001657,宗教法人 赤神神社,1952-11-01,,,,,,,,,朽損により、目鼻立ちはもちろんのこと、およその全体像すら判然としません。しかし、高さ約2.5mでケヤキ一木造であり、迫力と剛健さを兼ね備えています。五社堂内に安置されており、平安時代の地方仏師の作であろうと考えられています。,,https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/1/1498.html,
052060,0010000016,秋田県,男鹿市,石造狛犬,セキゾウコマイヌ,,,県指定有形文化財,彫刻,赤神神社,秋田県男鹿市船川港本山門前字祓川35,,39.870503,139.750803,,,1,対,6410005001657,宗教法人 赤神神社,1952-11-01,,,,,,,,,日本で狛犬が見られるのは平安時代からといわれ、口を開くア形、口を閉じたウン形１対で木・石・陶製のものなどがあります。本狛犬は凝灰岩（ぎょうかいがん）の一石で作られ、形態から室町時代～安土桃山時代にかけてに作られたものと推定されます。,,https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/1/1505.html,
