level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0.000000	0.000000	595.200000	841.680000	-1	###PAGE###
3	1	0	0	0	0	47.400000	41.949000	198.414000	9.000000	-1	###FLOW###
4	1	0	0	0	0	47.400000	41.949000	198.414000	9.000000	-1	###LINE###
5	1	0	0	0	0	47.40	41.95	198.41	9.00	100	横手市の指定等文化財一覧（令和８年４月１日現在）
3	1	0	1	0	0	47.160000	55.735200	21.600000	7.200000	-1	###FLOW###
4	1	0	1	0	0	47.160000	55.735200	21.600000	7.200000	-1	###LINE###
5	1	0	1	0	0	47.16	55.74	21.60	7.20	100	国指定
3	1	0	2	0	0	48.720000	69.521400	10.800000	5.400000	-1	###FLOW###
4	1	0	2	0	0	48.720000	69.521400	10.800000	5.400000	-1	###LINE###
5	1	0	2	0	0	48.72	69.52	10.80	5.40	100	番号
3	1	1	0	0	0	71.160000	69.401400	10.800000	5.400000	-1	###FLOW###
4	1	1	0	0	0	71.160000	69.401400	10.800000	5.400000	-1	###LINE###
5	1	1	0	0	0	71.16	69.40	10.80	5.40	100	種別
3	1	2	0	0	0	102.960000	69.521400	27.000000	5.400000	-1	###FLOW###
4	1	2	0	0	0	102.960000	69.521400	27.000000	5.400000	-1	###LINE###
5	1	2	0	0	0	102.96	69.52	27.00	5.40	100	指定年月日
3	1	3	0	0	0	52.680000	81.055200	3.600000	7.200000	-1	###FLOW###
4	1	3	0	0	0	52.680000	81.055200	3.600000	7.200000	-1	###LINE###
5	1	3	0	0	0	52.68	81.06	3.60	7.20	100	1
3	1	4	0	0	0	69.360000	82.001400	14.385600	5.400000	-1	###FLOW###
4	1	4	0	0	0	69.360000	82.001400	14.385600	5.400000	-1	###LINE###
5	1	4	0	0	0	69.36	82.00	5.40	5.40	100	絵
5	1	4	0	0	1	78.35	82.00	5.40	5.40	100	画
3	1	5	0	0	0	91.080000	82.001400	40.770000	5.400000	-1	###FLOW###
4	1	5	0	0	0	91.080000	82.001400	40.770000	5.400000	-1	###LINE###
5	1	5	0	0	0	91.08	82.00	40.77	5.40	100	昭和43年4月25日
3	1	6	0	0	0	52.680000	93.655200	3.600000	7.200000	-1	###FLOW###
4	1	6	0	0	0	52.680000	93.655200	3.600000	7.200000	-1	###LINE###
5	1	6	0	0	0	52.68	93.66	3.60	7.20	100	2
3	1	7	0	0	0	65.760000	94.601400	66.090000	5.400000	-1	###FLOW###
4	1	7	0	0	0	65.760000	94.601400	66.090000	5.400000	-1	###LINE###
5	1	7	0	0	0	65.76	94.60	21.60	5.40	100	無形民俗
5	1	7	0	0	1	91.08	94.60	40.77	5.40	100	昭和52年5月17日
3	1	8	0	0	0	144.140000	94.721400	48.600000	5.400000	-1	###FLOW###
4	1	8	0	0	0	144.140000	94.721400	48.600000	5.400000	-1	###LINE###
5	1	8	0	0	0	144.14	94.72	48.60	5.40	100	保呂羽山の霜月神楽
3	1	9	0	0	0	52.680000	106.255200	3.600000	7.200000	-1	###FLOW###
4	1	9	0	0	0	52.680000	106.255200	3.600000	7.200000	-1	###LINE###
5	1	9	0	0	0	52.68	106.26	3.60	7.20	100	3
3	1	10	0	0	0	68.400000	107.201400	16.200000	5.400000	-1	###FLOW###
4	1	10	0	0	0	68.400000	107.201400	16.200000	5.400000	-1	###LINE###
5	1	10	0	0	0	68.40	107.20	16.20	5.40	100	建造物
