level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0.000000	0.000000	841.680000	595.200000	-1	###PAGE###
3	1	0	0	0	0	396.620000	55.735200	86.414400	7.200000	-1	###FLOW###
4	1	0	0	0	0	396.620000	55.735200	86.414400	7.200000	-1	###LINE###
5	1	0	0	0	0	396.62	55.74	86.41	7.20	100	市指定文化財一覧（部門別）
3	1	0	1	0	0	45.480000	73.429080	11.760000	12.480000	-1	###FLOW###
4	1	0	1	0	0	45.480000	73.429080	11.760000	5.880000	-1	###LINE###
5	1	0	1	0	0	45.48	73.43	11.76	5.88	100	整理
4	1	0	1	1	0	45.480000	80.029080	11.760000	5.880000	-1	###LINE###
5	1	0	1	1	0	45.48	80.03	11.76	5.88	100	番号
3	1	1	0	0	0	68.880000	76.669080	23.880000	5.880000	-1	###FLOW###
4	1	1	0	0	0	68.880000	76.669080	23.880000	5.880000	-1	###LINE###
5	1	1	0	0	0	68.88	76.67	23.88	5.88	100	指定番号
3	1	2	0	0	0	50.160000	94.309080	2.940000	5.880000	-1	###FLOW###
4	1	2	0	0	0	50.160000	94.309080	2.940000	5.880000	-1	###LINE###
5	1	2	0	0	0	50.16	94.31	2.94	5.88	100	1
3	1	3	0	0	0	67.320000	94.309080	26.848080	5.880000	-1	###FLOW###
4	1	3	0	0	0	67.320000	94.309080	26.848080	5.880000	-1	###LINE###
5	1	3	0	0	0	67.32	94.31	5.88	5.88	100	建
5	1	3	0	0	1	76.30	94.31	17.86	5.88	100	第１号
3	1	4	0	0	0	102.600000	94.429080	59.880000	5.880000	-1	###FLOW###
4	1	4	0	0	0	102.600000	94.429080	59.880000	5.880000	-1	###LINE###
5	1	4	0	0	0	102.60	94.43	59.88	5.88	100	有形文化財（建造物）
3	1	5	0	0	0	187.460000	94.429080	17.880000	5.880000	-1	###FLOW###
4	1	5	0	0	0	187.460000	94.429080	17.880000	5.880000	-1	###LINE###
5	1	5	0	0	0	187.46	94.43	17.88	5.88	100	建造物
3	1	6	0	0	0	50.160000	111.969080	2.940000	5.880000	-1	###FLOW###
4	1	6	0	0	0	50.160000	111.969080	2.940000	5.880000	-1	###LINE###
5	1	6	0	0	0	50.16	111.97	2.94	5.88	100	2
3	1	7	0	0	0	67.320000	111.969080	26.848080	5.880000	-1	###FLOW###
4	1	7	0	0	0	67.320000	111.969080	26.848080	5.880000	-1	###LINE###
5	1	7	0	0	0	67.32	111.97	5.88	5.88	100	建
5	1	7	0	0	1	76.30	111.97	17.86	5.88	100	第２号
3	1	8	0	0	0	102.600000	112.089080	59.880000	5.880000	-1	###FLOW###
4	1	8	0	0	0	102.600000	112.089080	59.880000	5.880000	-1	###LINE###
5	1	8	0	0	0	102.60	112.09	59.88	5.88	100	有形文化財（建造物）
3	1	9	0	0	0	124.920000	76.669080	5.880000	5.880000	-1	###FLOW###
4	1	9	0	0	0	124.920000	76.669080	5.880000	5.880000	-1	###LINE###
5	1	9	0	0	0	124.92	76.67	5.88	5.88	100	種
3	1	10	0	0	0	142.883400	76.669080	5.880000	5.880000	-1	###FLOW###
4	1	10	0	0	0	142.883400	76.669080	5.880000	5.880000	-1	###LINE###
5	1	10	0	0	0	142.88	76.67	5.88	5.88	100	別
3	1	11	0	0	0	388.130000	76.669080	5.880000	5.880000	-1	###FLOW###
4	1	11	0	0	0	388.130000	76.669080	5.880000	5.880000	-1	###LINE###
5	1	11	0	0	0	388.13	76.67	5.88	5.88	100	数
3	1	12	0	0	0	404.210000	73.429080	47.880000	12.480000	-1	###FLOW###
4	1	12	0	0	0	413.210000	73.429080	29.880000	5.880000	-1	###LINE###
5	1	12	0	0	0	413.21	73.43	29.88	5.88	100	指定年月日
4	1	12	0	1	0	404.210000	80.029080	47.880000	5.880000	-1	###LINE###
5	1	12	0	1	0	404.21	80.03	47.88	5.88	100	（旧指定年月日）
3	1	13	0	0	0	500.470000	76.669080	5.880000	5.880000	-1	###FLOW###
4	1	13	0	0	0	500.470000	76.669080	5.880000	5.880000	-1	###LINE###
5	1	13	0	0	0	500.47	76.67	5.88	5.88	100	所
3	1	14	0	0	0	222.380000	93.078360	38.570400	3.960000	-1	###FLOW###
4	1	14	0	0	0	222.380000	93.078360	38.570400	3.960000	-1	###LINE###
5	1	14	0	0	0	222.38	93.08	13.94	3.96	100	うぬまけ
5	1	14	0	0	1	238.93	93.08	22.02	3.96	100	（ぶけやしき）
3	1	15	0	0	0	378.770000	94.429080	11.880000	5.880000	-1	###FLOW###
4	1	15	0	0	0	378.770000	94.429080	11.880000	5.880000	-1	###LINE###
5	1	15	0	0	0	378.77	94.43	11.88	5.88	100	１棟
3	1	16	0	0	0	405.770000	94.429080	44.811480	5.880000	-1	###FLOW###
4	1	16	0	0	0	405.770000	94.429080	44.811480	5.880000	-1	###LINE###
5	1	16	0	0	0	405.77	94.43	44.81	5.88	100	昭和50年10月1日
3	1	17	0	0	0	457.510000	94.429080	98.942400	5.880000	-1	###FLOW###
4	1	17	0	0	0	457.510000	94.429080	98.942400	5.880000	-1	###LINE###
5	1	17	0	0	0	457.51	94.43	98.94	5.88	100	由利本荘市岩城亀田大町字地蔵坂1-1
3	1	18	0	0	0	575.110000	94.429080	29.880000	5.880000	-1	###FLOW###
4	1	18	0	0	0	575.110000	94.429080	29.880000	5.880000	-1	###LINE###
5	1	18	0	0	0	575.11	94.43	29.88	5.88	100	由利本荘市
3	1	19	0	0	0	627.580000	94.429080	29.880000	5.880000	-1	###FLOW###
4	1	19	0	0	0	627.580000	94.429080	29.880000	5.880000	-1	###LINE###
5	1	19	0	0	0	627.58	94.43	29.88	5.88	100	（株）岩城
3	1	20	0	0	0	187.460000	112.089080	17.880000	5.880000	-1	###FLOW###
4	1	20	0	0	0	187.460000	112.089080	17.880000	5.880000	-1	###LINE###
5	1	20	0	0	0	187.46	112.09	17.88	5.88	100	建造物
3	1	21	0	0	0	222.380000	110.738360	42.043320	3.960000	-1	###FLOW###
4	1	21	0	0	0	222.380000	110.738360	42.043320	3.960000	-1	###LINE###
5	1	21	0	0	0	222.38	110.74	17.42	3.96	100	えんどうけ
5	1	21	0	0	1	242.40	110.74	22.02	3.96	100	（ぶけやしき）
3	1	22	0	0	0	378.770000	112.089080	11.880000	5.880000	-1	###FLOW###
4	1	22	0	0	0	378.770000	112.089080	11.880000	5.880000	-1	###LINE###
5	1	22	0	0	0	378.77	112.09	11.88	5.88	100	１棟
3	1	23	0	0	0	405.770000	112.089080	44.811480	5.880000	-1	###FLOW###
4	1	23	0	0	0	405.770000	112.089080	44.811480	5.880000	-1	###LINE###
5	1	23	0	0	0	405.77	112.09	44.81	5.88	100	昭和50年10月1日
3	1	24	0	0	0	457.510000	112.089080	98.942400	5.880000	-1	###FLOW###
4	1	24	0	0	0	457.510000	112.089080	98.942400	5.880000	-1	###LINE###
5	1	24	0	0	0	457.51	112.09	98.94	5.88	100	由利本荘市岩城亀田大町字地蔵坂1-2
3	1	25	0	0	0	575.110000	112.089080	29.880000	5.880000	-1	###FLOW###
4	1	25	0	0	0	575.110000	112.089080	29.880000	5.880000	-1	###LINE###
5	1	25	0	0	0	575.11	112.09	29.88	5.88	100	由利本荘市
3	1	26	0	0	0	627.580000	112.089080	29.880000	5.880000	-1	###FLOW###
4	1	26	0	0	0	627.580000	112.089080	29.880000	5.880000	-1	###LINE###
5	1	26	0	0	0	627.58	112.09	29.88	5.88	100	（株）岩城
3	1	27	0	0	0	378.770000	129.729080	11.880000	5.880000	-1	###FLOW###
4	1	27	0	0	0	378.770000	129.729080	11.880000	5.880000	-1	###LINE###
5	1	27	0	0	0	378.77	129.73	11.88	5.88	100	１棟
3	1	28	0	0	0	405.770000	129.729080	44.811480	5.880000	-1	###FLOW###
4	1	28	0	0	0	405.770000	129.729080	44.811480	5.880000	-1	###LINE###
5	1	28	0	0	0	405.77	129.73	44.81	5.88	100	昭和57年3月31日
3	1	29	0	0	0	457.510000	129.729080	68.942400	5.880000	-1	###FLOW###
4	1	29	0	0	0	457.510000	129.729080	68.942400	5.880000	-1	###LINE###
5	1	29	0	0	0	457.51	129.73	68.94	5.88	100	由利本荘市藤崎字藤代131
3	1	30	0	0	0	575.110000	129.729080	17.880000	5.880000	-1	###FLOW###
4	1	30	0	0	0	575.110000	129.729080	17.880000	5.880000	-1	###LINE###
5	1	30	0	0	0	575.11	129.73	17.88	5.88	100	正乗寺
3	1	31	0	0	0	187.820000	76.669080	5.880000	5.880000	-1	###FLOW###
4	1	31	0	0	0	187.820000	76.669080	5.880000	5.880000	-1	###LINE###
5	1	31	0	0	0	187.82	76.67	5.88	5.88	100	部
3	1	32	0	0	0	274.220000	73.429080	41.880000	12.480000	-1	###FLOW###
4	1	32	0	0	0	277.220000	73.429080	35.880000	5.880000	-1	###LINE###
5	1	32	0	0	0	277.22	73.43	35.88	5.88	100	（フリガナ）
4	1	32	0	1	0	274.220000	80.029080	41.880000	5.880000	-1	###LINE###
5	1	32	0	1	0	274.22	80.03	5.88	5.88	100	指
5	1	32	0	1	1	286.22	80.03	5.88	5.88	100	定
5	1	32	0	1	2	298.22	80.03	5.88	5.88	100	名
5	1	32	0	1	3	310.22	80.03	5.88	5.88	100	称
3	1	33	0	0	0	729.820000	56.215200	65.174400	7.200000	-1	###FLOW###
4	1	33	0	0	0	729.820000	56.215200	65.174400	7.200000	-1	###LINE###
5	1	33	0	0	0	729.82	56.22	65.17	7.20	100	令和２年４月１日現在
3	1	34	0	0	0	199.820000	76.669080	5.880000	5.880000	-1	###FLOW###
4	1	34	0	0	0	199.820000	76.669080	5.880000	5.880000	-1	###LINE###
5	1	34	0	0	0	199.82	76.67	5.88	5.88	100	門
3	1	35	0	0	0	222.380000	96.709080	53.880000	5.880000	-1	###FLOW###
4	1	35	0	0	0	222.380000	96.709080	53.880000	5.880000	-1	###LINE###
5	1	35	0	0	0	222.38	96.71	17.88	5.88	100	鵜沼家
5	1	35	0	0	1	240.38	96.71	35.88	5.88	100	（武家屋敷）
3	1	35	1	0	0	222.380000	114.369080	53.880000	5.880000	-1	###FLOW###
4	1	35	1	0	0	222.380000	114.369080	53.880000	5.880000	-1	###LINE###
5	1	35	1	0	0	222.38	114.37	11.88	5.88	100	遠藤
5	1	35	1	0	1	234.38	114.37	41.88	5.88	100	家（武家屋敷）
3	1	36	0	0	0	376.130000	76.669080	5.880000	5.880000	-1	###FLOW###
4	1	36	0	0	0	376.130000	76.669080	5.880000	5.880000	-1	###LINE###
5	1	36	0	0	0	376.13	76.67	5.88	5.88	100	員
3	1	37	0	0	0	512.470000	76.669080	5.880000	5.880000	-1	###FLOW###
4	1	37	0	0	0	512.470000	76.669080	5.880000	5.880000	-1	###LINE###
5	1	37	0	0	0	512.47	76.67	5.88	5.88	100	在
3	1	38	0	0	0	524.470000	76.669080	5.880000	5.880000	-1	###FLOW###
4	1	38	0	0	0	524.470000	76.669080	5.880000	5.880000	-1	###LINE###
5	1	38	0	0	0	524.47	76.67	5.88	5.88	100	地
