pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
青森県,鰺ヶ沢町,鰺ヶ沢雪景図,有形文化財,絵画,町指定,1991-10-21,本町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0047
青森県,鰺ヶ沢町,館地蔵堂の板碑,有形文化財,考古資料,町指定,1983-04-20,舞戸町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0027
青森県,鰺ヶ沢町,館の板碑,有形文化財,考古資料,町指定,1991-10-21,舞戸町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0046
青森県,鰺ヶ沢町,無量庵跡の板碑,有形文化財,考古資料,町指定,1983-04-20,田中町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0014
青森県,鰺ヶ沢町,松源寺の板碑,有形文化財,考古資料,町指定,1983-04-20,赤石町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0012
青森県,鰺ヶ沢町,日照田の板碑,有形文化財,考古資料,町指定,1983-04-20,日照田町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0010
青森県,鰺ヶ沢町,種里旧墓地の板碑,有形文化財,考古資料,町指定,1983-04-20,種里町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0023
青森県,鰺ヶ沢町,永禄の墓石,有形文化財,考古資料,町指定,1983-04-20,中村町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0013
青森県,鰺ヶ沢町,種里八幡宮棟札,有形文化財,歴史資料,町指定,1983-04-20,種里町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0020
青森県,鰺ヶ沢町,種里八幡宮身正体,有形文化財,歴史資料,町指定,1983-04-20,種里町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0022
青森県,鰺ヶ沢町,種里八幡宮弓具,有形文化財,歴史資料,町指定,1983-04-20,種里町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0019
青森県,鰺ヶ沢町,種里八幡宮獅子頭,有形文化財,歴史資料,町指定,1983-04-20,種里町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0021
青森県,鰺ヶ沢町,白八幡宮絵馬群,有形文化財,歴史資料,町指定,1991-10-21,本町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0044
青森県,鰺ヶ沢町,白八幡宮玉垣,有形文化財,歴史資料,町指定,1983-04-20,本町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0017
青森県,鰺ヶ沢町,常灯碑,有形文化財,歴史資料,町指定,1983-04-20,本町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0008
青森県,鰺ヶ沢町,明和地震供養塔,有形文化財,歴史資料,町指定,1989-05-19,富根町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0041
青森県,鰺ヶ沢町,堀切沢の天明飢饉供養塔,有形文化財,歴史資料,町指定,1983-04-20,舞戸町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0005
青森県,鰺ヶ沢町,岸文靖墓道表,有形文化財,歴史資料,町指定,1991-10-21,釣町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0043
青森県,鰺ヶ沢町,日蔭塚,有形文化財,歴史資料,町指定,1983-04-20,舞戸町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0011
青森県,鰺ヶ沢町,保村晩杏句碑,有形文化財,歴史資料,町指定,1983-04-20,舞戸町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0002
青森県,鰺ヶ沢町,化石塚,有形文化財,歴史資料,町指定,1983-04-20,釣町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0004
青森県,鰺ヶ沢町,芭蕉塚,有形文化財,歴史資料,町指定,1983-04-20,七ッ石町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0024
青森県,鰺ヶ沢町,禽翁齋宗全墓,有形文化財,歴史資料,町指定,1983-04-20,新町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0018
青森県,鰺ヶ沢町,塩越屋羽扇墓,有形文化財,歴史資料,町指定,1983-04-20,七ッ石町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0006
青森県,鰺ヶ沢町,生駒き員墓,有形文化財,歴史資料,町指定,1983-04-20,釣町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0015
青森県,鰺ヶ沢町,豊島佳兮墓,有形文化財,歴史資料,町指定,1983-04-20,所在不明,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0025
青森県,鰺ヶ沢町,日和山の岩木山遥拝所碑,民俗文化財,有形民俗文化財,町指定,1983-04-20,舞戸町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0009
青森県,鰺ヶ沢町,八衢神碑,民俗文化財,有形民俗文化財,町指定,1991-10-21,七ッ石町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0042
青森県,鰺ヶ沢町,大然大山祇神社社標（マタギ記念銘）,民俗文化財,有形民俗文化財,町指定,1983-04-20,一ッ森町,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0007
青森県,鰺ヶ沢町,白八幡宮神輿渡御,民俗文化財,無形民俗文化財,町指定,1981-05-21,,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0001
青森県,鰺ヶ沢町,正調鰺ヶ沢甚句,民俗文化財,無形民俗文化財,町指定,1984-09-19,,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0028
青森県,鰺ヶ沢町,鰺ヶ沢くどき,民俗文化財,無形民俗文化財,町指定,1984-09-19,,,https://www.town.ajigasawa.lg.jp/kyoiku_shogai/bunka_rekishi/bunkazai/ajigasawabunkazai.html,html,2026-07-04T10:28:59+09:00,JMH-023213-0029
