都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,文化財分類,場所名称,住所,緯度,経度,電話番号,員数（数）,員数（単位）,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,概要,説明,URL,備考
22012,1200100001,青森県,青森市,青森県宇鉄遺跡出土品,アオモリケンウテツイセキシュツドヒン,,重要文化財,青森県立郷土館,青森県青森市本町2-8-14,40.827227,140.748567,017-777-1585,559,個,青森県,1991/6/21,,,,休館中,宇鉄遺跡から出土した弥生時代中期の遺物,重要文化財の指定遺物は、土器類33点、石器類160点、玉類366点の計559点である。宇鉄遺跡は、津軽海峡に面した海岸段丘上の突端近くに所在し墳墓を主体とした遺跡である。隣接して縄文時代中期～晩期の遺物包蔵地と、沢を隔てた西の台地に縄文時代前期～後期の中ノ平遺跡がある。出土遺物の中で特徴的なものは364個の碧玉製管玉であろう。また、出土土器には北海道の続縄文時代に属する恵山式土器との関連を有するものもある。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100002,青森県,青森市,青森県大石平遺跡出土品,アオモリケンオオイシタイイセキシュツドヒン,,重要文化財,青森県立郷土館,青森県青森市本町2-8-14,40.827227,140.748567,017-777-1585,198,個,青森県,1995/6/15,,,,休館中,大石平遺跡から出土した縄文時代後期の遺物,重要文化財の指定遺物は、土器類23点、石器類113点、土偶類58点、手形・足形付土製品4点の計198点である。大石平遺跡は、尾駮沼の北側を流れて太平洋に注ぐ老部川の右岸にあり、縄文時代後期を主体とした集落遺跡であるとともに、弥生時代後期の集落遺跡でもある。出土した遺物の中で手形・足形土製品は縄文時代の儀礼を示すものとして興味深い。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100003,青森県,青森市,青森県三内丸山遺跡出土品,アオモリケンサンナイマルヤマイセキシュツドヒン,,重要文化財,青森県立郷土館,青森県青森市本町2-8-14,40.827227,140.748567,017-777-1585,1958,点,青森県,2003/5/29,,,,休館中,三内丸山遺跡から出土した遺物,三内丸山遺跡は平成4～6年に実施された県総合運動公園拡張事業に伴う発掘調査によって、縄文時代前期中葉から中期末葉（約5500～4000年前）にわたる大規模な集落跡であることが判明し、平成9年に国史跡、平成12年に特別史跡となった。また、出土した多量の遺物は各時期の多彩な内容で構成されている。本件は、この調査によって出土した遺物のうち、平成4・5年に調査した台地縁辺部に位置する第6鉄塔地点と旧野球場建設予定地内の住居跡群からの出土品である。第6鉄塔地点では縄文時代前期中葉の低湿地から、土器・石器などに加え骨角器・編物・木製品などの有機質の遺物が出土し、当時の生活・自然環境を解明する貴重な資料となった。特に釣針等の縄文時代の骨角器は遺存状態が極めて良好で質・量ともに充実している。また、縄文ポシェットに代表される編物は、類例が少なく当時の編組技術を示す良好な資料である。その他、竪穴住居出土の大型板状土偶や土器・石器等がある。以上、本件は縄文時代前期中葉から中期末葉までの各時期の出土遺物であり、縄文時代の生活を知るうえで欠かせない資料である。,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100004,青森県,青森市,泊のまるきぶね,トマリノマルキブネ,,重要有形民俗文化財,青森県立郷土館,青森県青森市本町2-8-14,40.827227,140.748567,017-777-1585,1,隻,青森県,1963/5/15,,,,休館中,磯回りの小舟,磯回りの小舟である。櫂など付属用具もある。本品はブナ材であるが、カツラ・セン・クリ材でも作る。山で木を伐採してマサカリやチョウナでくりぬき、それに側面や船首、船尾などを補って、全体を整える。大正12年(1923)ごろ、六ヶ所村泊の三角久松が、同村出戸の棚沢山のブナの木で作らせたもの。丸木舟は丈夫で安定度があり、長年使える利点があった。特に冬の1～2月のアワビ漁では、激しい波風で舟が岩場に激突しても、破損の心配がなかった。この舟は本州太平洋沿岸の丸木舟では最北限のものであり、現在は県立郷土館に収蔵されている。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100005,青森県,青森市,津軽・南部のさしこ着物,ツガルナンブノサシコキモノ,,重要有形民俗文化財,青森県立郷土館,青森県青森市本町2-8-14,40.827227,140.748567,017-777-1585,786,点,個人,1983/4/13,,,,休館中,こぎん刺し・菱刺しでぬった着物の収集,長着(ながぎ。長着物)175点、短着(みじか。上体から腰までの短い仕事着)174点、そでなし76点、たつけ・ももひき(両足を通し、ひもで腰に巻く仕事着)324点、前だれ(腰にひもでしめ、両ひざの前をおおう仕事着)37点など786点が指定されている。「さしこ」は衣料の布を重ね合わせて、細かく刺し縫いしたものをいう。昔は津軽も南部も衣料が乏しく、麻糸を織り上げた麻布で衣類を仕立て、長持ちさせるため、切れやすい部分を補強するため糸で刺した。その刺し模様を工夫してデザイン化したのが、津軽のこぎん・南部の菱刺しである。江戸時代末ごろから木綿の古布が移入されると、さしこ着物に木綿布をあて、それを一面に木綿糸で刺して補強し、また刺し模様にも工夫をこらした。昔の農民の普段着や仕事着の衣生活の実態を知る上で貴重な資料である。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100006,青森県,青森市,津軽海峡及び周辺地域のムダマハギ型漁船コレクション,ツガルカイキョウオヨビシュウヘンチイキノムダマハギガタギョセンコレクション,,重要有形民俗文化財,あおもり北のまほろば歴史館,青森県青森市沖館2-2-1,40.837276,140.725275,017-763-5519,67,隻,青森市,1997/12/15,月火水木金土日,9:00,17:00,12月30日～翌年１月3日まで休館（年末年始）,伝統的なムダマハギ型漁船とその変遷過程を示す漁船からなるコレクション,ムダマハギとは、2枚の刳りぬいた木材（ブナ、カツラ、ヒバ、スギ等）を組み合わせてムダマと呼ばれる船底を作り、それに波よけの棚板をつけて作る船で、刳り抜きの船底が厚く丈夫であるため荒磯に耐え、重いため波に流されず安定し、磯漁に使いよいといわれている。この資料は、秋田県北部、岩手県北部から津軽海峡を挟んだ渡島半島南部までの地域で使用された、伝統的なムダマハギ型漁船とその変遷過程を示す漁船からなるコレクションである。丸木舟の次の技術段階を示すもので、日本の木造船の発達過程を理解する上で特に重要なものとして、はじめての木造漁船のコレクション指定となった。（内訳：丸木舟　2隻、ムダマハギ型漁船　43隻、四枚接ぎ型漁船　22隻 ）,http://kitanomahoroba.jp/index.html,
22012,1200100007,青森県,青森市,青森のねぶた,アオモリノネブタ,,重要無形民俗文化財,, 青森県青森市 ,,,,-,-,青森ねぶた祭保存会,1980/1/28,,,,,旧暦7月に行われる年中行事,青森ねぶたは勇壮華美な組ねぶたであり、台の上に歴史上の人物等で勇壮なものを題材に取り、人形を型どった灯籠を造り、中に灯をともす。笛・太鼓の囃子に「はねと」等多数が一団となって練り歩く。大型のものは、企業・公共団体等、小型のものは、町内会・子ども会等から出される。7月7日の「眠り流し」、すなわち仕事の妨げとなる眠気を送り出す風習が灯籠を主体にした行事に展開したものである。ハネトの跳ね方、流すとき唱える歌詞（ラッセラー）は、虫送りや荒馬の芸態と類似し両者が関連していることを暗示している。,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100008,青森県,青森市,岩木山の登拝行事,イワキサンノトハイギョウジ,,重要無形民俗文化財,,青森県青森市ほか,,,,-,-,お山参詣保存会,1984/1/21,,,,,旧暦8月1日を中心に行われる年中行事,津軽一円から岩木山へ向かい、御来迎を拝み帰還する。　村落や地区の人々が集団で登拝するのが特色であり、以前は男性のみが登拝の約10日前から準備し、精進潔斎しつつ、御幣や幟を仕上げ、出発の前日には餅をつく。　笛、太鼓、手平鉦の囃子に合わせて「サイギ、サイギ・・・」の唱え詞を歌いながら徒歩で岩木山神社に到着、供物や幟等を奉納し、旧暦8月1日の御来迎を拝むために頂上の奥宮へ向かう。下山して神社に報告し、「バダラ」を踊って帰途につき、持ち帰った御福コ（御菓子）を留守の人々に分け与える。岩木山は古くから聖なる山として信仰の対象となり崇められていた。いつのころか登拝は年中行事となり、津軽地方の生活・文化に深い影響を与えた。男性に限られていた登拝は明治5年（1872）に女人禁制が解かれた。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100009,青森県,青森市,三内丸山遺跡,サンナイマルヤマイセキ,,特別史跡,,青森県青森市大字三内字丸山;青森県青森市大字安田字近野,40.811531,140.697202,017-781-6078,-,-,青森県,2000/11/24,,,,,縄文時代前期～中期を主体とし、後期並びに平安時代及び中世期にわたる集落遺跡,縄文時代前期～中期を主体とし、後期並びに平安時代及び中世期にわたる集落遺跡。江戸時代から知られ、永禄日記（館野越本）並びに菅江真澄の遊覧記（栖家能山）などに記載がある。これまで、昭和27年（1952）県文化財専門委員の成田彦栄による調査をはじめ、慶応大学の清水潤三等の調査がある。平成4年（1992）より、新県営野球場建設予定地として県教育委員会が発掘調査を行い、同6年に遺構・遺物の膨大な発見によって遺跡を保存することになり、現在整備が進められている。遺跡の面積は42万平方メートルに及び、平成9年（1997）に史跡、平成12年度には特別史跡に、平成25年度には追加指定され、特別史跡の面積は約25万平方メートルである。縄文時代前期～中期に至る円筒土器（円筒下層式5型式・円筒上層式5型式）、大木系土器・石器・石製品（硬玉製垂飾品・黒曜石製品等）・土製品（板状土偶・耳飾等）、骨角器（釣針・針・銛先等）、樹皮・草木を利用した各種の編物、木製品（櫂・掘り棒等）のほか、魚類・鳥類・哺乳類骨、栗の木を利用した杭・柱等の木材が多量に出土している。三内丸山は泥炭層を伴う集落遺跡で、直径1mを越える巨木を利用した掘立柱建造物をはじめ、居住地・墓地・役目を終えた品々の廃棄場（盛土・泥炭層をもつ谷ならびに段丘斜面の地域）などの各施設（遺構）が整然と配列され、計画的に集落の構成がなされた大集落遺跡である。,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100010,青森県,青森市,浪岡城跡,ナミオカジョウアト,,史跡,,青森県青森市浪岡大字五本松字松本;青森県青森市浪岡大字浪岡字五所ほか,40.717783,140.60706,0172-62-3004,-,-,青森市ほか,1940/2/10,,,,,戦国の豪族北畠氏の居城跡,戦国の豪族北畠氏の居城。浪岡地区中心部の東方、浪岡川と正平津川の合流点右岸段丘面に築かれた平城。築城は15世紀後半の4代顕義のころとされる。北畠氏は建武の新政（1334～36）に活躍した北畠親房の子孫。「御所」の敬称で呼ばれる。京都の公卿の日記にも登場。浪岡へは応永年間（1394～1428）に来住、岩手県閉伊地方に住んでいたのを南部氏が津軽支配にその権威を利用しようとして連れてきたといわれる。　浪岡城は東側から新館、東館、猿楽館、北館、内館、西館、検校館の7郭と発掘によって発見された無名の館で構成されており、（指定面積は約13万6千m2）城跡は20数年の発掘調査で復原が試みられ、史跡公園として整備されている。内館が城主の居住した館で、他の館に武家屋敷の建物があり、堀が各館を分ける。　出土物4万点の中に陶磁器が1万6千点、その半数以上が中国製で、北畠氏の文化の高さを示す。また北畠氏の特別の権威を示す中国製茶壷もある。浪岡城は天正6年（1578）大浦為信によって落城した。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
