pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
千葉県,館山市,船越鉈切神社奉納独木舟,有形文化財,有形文化財（考古資料）,市指定,1957-12-16,浜田376,指定番号1; 員数1隻,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0001
千葉県,館山市,安房国分寺跡,記念物(史跡・名勝・天然記念物),記念物（史跡）,市指定,,国分958-1他,指定番号2,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0028
千葉県,館山市,オオウナギ,記念物(史跡・名勝・天然記念物),記念物（天然記念物）,市指定,,神戸佐野川一帯,指定番号3,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0017
千葉県,館山市,館山城跡,記念物(史跡・名勝・天然記念物),記念物（史跡）,市指定,,館山362-3他,指定番号4,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0063
千葉県,館山市,検地帳,有形文化財,有形文化財（書跡）,市指定,1961-10-21,館山市立博物館,指定番号5; 員数46冊,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0002
千葉県,館山市,沼のびゃくしん,記念物(史跡・名勝・天然記念物),記念物（天然記念物）,市指定,,沼443,指定番号6,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0043
千葉県,館山市,狛犬・燧箱・木椀,民俗文化財,有形民俗文化財,市指定,,大神宮589,指定番号7; 員数4点,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0050
千葉県,館山市,那古寺木造千手観音立像,有形文化財,有形文化財（彫刻）,市指定,1963-12-17,那古1125,指定番号8; 員数1軀,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0003
千葉県,館山市,沼サンゴ層（南条の沼サンゴ）,記念物(史跡・名勝・天然記念物),記念物（天然記念物）,市指定,,南条518-2,指定番号9; 員数99m2,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0044
千葉県,館山市,鶴谷八幡神社棟札,有形文化財,有形文化財（考古資料）,市指定,,八幡76,指定番号10,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0067
千葉県,館山市,鶴谷八幡神社本殿,有形文化財,有形文化財（建造物）,市指定,,八幡76,指定番号11; 員数1棟,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0066
千葉県,館山市,洲崎神社本殿,有形文化財,有形文化財（建造物）,市指定,,洲崎1344,指定番号12,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0048
千葉県,館山市,十二因縁論,有形文化財,有形文化財（書跡）,市指定,,大網398,指定番号13; 員数1巻,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0020
千葉県,館山市,雄誉上人墓,記念物(史跡・名勝・天然記念物),記念物（史跡）,市指定,,1基,指定番号14,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0062
千葉県,館山市,慈恩大師画像,有形文化財,有形文化財（絵画）,市指定,,1巻,指定番号15,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0033
千葉県,館山市,絹本名号本尊,有形文化財,有形文化財（書跡）,市指定,,1巻,指定番号16,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0054
千葉県,館山市,元應板碑,有形文化財,有形文化財（考古資料）,市指定,,1点,指定番号17,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0019
千葉県,館山市,木造阿弥陀如来坐像,有形文化財,有形文化財（彫刻）,市指定,,1軀,指定番号18,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0039
千葉県,館山市,慶長十三年紀年肖像彫刻二軀,有形文化財,有形文化財（彫刻）,市指定,,2軀,指定番号19,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0034
千葉県,館山市,洲宮神社縁起,有形文化財,有形文化財（書跡）,市指定,,洲宮921,指定番号20; 員数1巻,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0046
千葉県,館山市,祭祀用土製模造品,有形文化財,有形文化財（考古資料）,市指定,,7点,指定番号21,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0053
千葉県,館山市,木造天部像,有形文化財,有形文化財（彫刻）,市指定,,1軀,指定番号22,https://www.city.tateyama.chiba.jp/syougaigaku/page000790.html,html,2026-07-07T11:09:06Z,JMH-122050-0037
