pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
愛媛県,愛南町,観自在寺山門,有形文化財,建造物,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0073
愛媛県,愛南町,城辺町内出土考古資料,有形文化財,考古資料,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0021
愛媛県,愛南町,城辺小学校出土石器,有形文化財,考古資料,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0020
愛媛県,愛南町,飛揚鯨之塚,有形文化財,石造美術,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0081
愛媛県,愛南町,安住寺五輪塔,有形文化財,石造美術,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0028
愛媛県,愛南町,菊川石燈籠,有形文化財,石造美術,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0071
愛媛県,愛南町,馬瀬常夜燈,有形文化財,石造美術,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0082
愛媛県,愛南町,長崎常夜燈,有形文化財,石造美術,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0079
愛媛県,愛南町,豊田石造物群,有形文化財,石造美術,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0075
愛媛県,愛南町,御荘焼資料,民俗文化財,有形民俗文化財,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0044
愛媛県,愛南町,御荘焼一木窯跡,民俗文化財,有形民俗文化財,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0041
愛媛県,愛南町,御荘焼早崎窯跡,民俗文化財,有形民俗文化財,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0042
愛媛県,愛南町,御荘焼豊田窯跡,民俗文化財,有形民俗文化財,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0043
愛媛県,愛南町,奉納歌額,民俗文化財,有形民俗文化財,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0026
愛媛県,愛南町,奉納絵馬,民俗文化財,有形民俗文化財,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0027
愛媛県,愛南町,和口若宮神社 金幣,民俗文化財,有形民俗文化財,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0015
愛媛県,愛南町,遍路版木関係,民俗文化財,有形民俗文化財,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0078
愛媛県,愛南町,常盤城跡,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0035
愛媛県,愛南町,大森城跡,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0022
愛媛県,愛南町,緑城跡,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0064
愛媛県,愛南町,緑の千人塚,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0063
愛媛県,愛南町,脇本の傍示碆,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0067
愛媛県,愛南町,僧都の一里塚,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0010
愛媛県,愛南町,梶郷駄場遺跡,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0052
愛媛県,愛南町,天嶬の鼻遺跡,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0025
愛媛県,愛南町,三島岡遺跡,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0005
愛媛県,愛南町,天嶬の砲台場石塁,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0023
愛媛県,愛南町,御荘三歌人岡原常嶋の墓,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0039
愛媛県,愛南町,御荘三歌人二神永世の墓,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0038
愛媛県,愛南町,御荘三歌人二宮如水の墓,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0037
愛媛県,愛南町,御荘焼陶祖久治兵衛の墓,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0046
愛媛県,愛南町,法華寺遺跡,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0054
愛媛県,愛南町,八幡神社遺跡,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0013
愛媛県,愛南町,節崎遺跡,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.town.ainan.ehime.jp/kanko/sightseeing/rekishi/,html,2026-07-12T00:00:00Z,JMH-385069-0059
