pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
福井県,あわら市,椚石塔,記念物(史跡・名勝・天然記念物),史跡,市指定,1973-03-15,,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0003
福井県,あわら市,輪転経蔵,有形文化財,建造物,市指定,1990-03-20,福圓寺,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0033
福井県,あわら市,西国三十三カ所観世音,有形文化財,建造物,市指定,1993-05-26,宮前公文区,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0036
福井県,あわら市,念力門（本願寺吉崎別院）,有形文化財,建造物,市指定,1999-04-22,本願寺吉崎別院,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0040
福井県,あわら市,多賀谷左近三経石廟附供養五輪塔,有形文化財,建造物,市指定,2019-01-25,あわら市,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0051
福井県,あわら市,新指定文化財　絹本著色親鸞聖人像　附裏書,有形文化財,絵画,市指定,2025-03-28,宗教法人　明善寺,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0057
福井県,あわら市,仏画（3幅対）,有形文化財,絵画,市指定,1989-12-01,安楽寺,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0030
福井県,あわら市,弘法大師図像,有形文化財,絵画,市指定,1989-12-01,安楽寺,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0032
福井県,あわら市,阿弥陀如来坐像,有形文化財,彫刻,市指定,1978-05-26,東山区,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0010
福井県,あわら市,阿弥陀如来立像,有形文化財,彫刻,市指定,1981-02-20,春日神社,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0021
福井県,あわら市,薬師如来立像,有形文化財,彫刻,市指定,1981-02-20,春日神社,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0019
福井県,あわら市,薬師如来坐像,有形文化財,彫刻,市指定,1981-02-20,八雲神社,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0017
福井県,あわら市,天部立像,有形文化財,彫刻,市指定,1981-02-20,八雲神社,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0015
福井県,あわら市,薬師如来坐像（教授院）,有形文化財,彫刻,市指定,1981-02-20,角屋区,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0018
福井県,あわら市,阿弥陀如来坐像（赤尾白山神社）,有形文化財,彫刻,市指定,1981-02-20,白山神社,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0020
福井県,あわら市,北本堂神明神社の十一面観世音菩薩立像,有形文化財,彫刻,市指定,1982-10-19,神明神社,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0022
福井県,あわら市,広目天立像,有形文化財,彫刻,市指定,1982-10-19,神明神社,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0024
福井県,あわら市,多聞天立像,有形文化財,彫刻,市指定,1982-10-19,神明神社,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0023
福井県,あわら市,大日如来坐像,有形文化財,彫刻,市指定,1989-12-01,安楽寺,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0031
福井県,あわら市,仏徳寺　天満神社石造狛犬（2対）,有形文化財,彫刻,市指定,2016-12-06,仏徳寺区,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0046
福井県,あわら市,根上り　神明神社石造狛犬（1対）,有形文化財,彫刻,市指定,2016-12-06,根上り区,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0048
福井県,あわら市,伊井　白山神社石造狛犬（1対）,有形文化財,彫刻,市指定,2016-12-06,伊井白山神社,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0047
福井県,あわら市,木造薬師如来坐像,有形文化財,彫刻,市指定,2022-03-03,安楽寺,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0054
福井県,あわら市,石造不動明王二童子像及び八大龍王像　附新石造不動明王,有形文化財,彫刻,市指定,2023-03-28,滝区,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0055
福井県,あわら市,銅造千手観音立像　附木造千手観音立像,有形文化財,彫刻,市指定,2023-03-28,畝畦寺,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0056
福井県,あわら市,静波双雀文鏡,有形文化財,工芸,市指定,1973-03-15,,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0007
福井県,あわら市,亀甲双雀文鏡,有形文化財,工芸,市指定,1983-03-19,,,https://www.city.awara.lg.jp/mokuteki/education/kyoudo/kyoudorekishishiryo/awarashinobunkazai/sisitei/index.html,html,2026-07-12T03:50:51Z,JMH-182087-0025
