pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
福岡県,芦屋町,堂山の石塔群,民俗文化財,有形民俗文化財,町指定,1978-04-01,芦屋町山鹿（堂山）,一石五輪塔、五輪塔、板碑、石仏など三百数十基,https://www.town.ashiya.lg.jp/site/rekishinosato/31543.html,html,2026-07-12T00:00:00Z,JMH-403814-0001
福岡県,豊前市,黒峰尾古墳群,有形文化財,史跡,市指定,,豊前市,円墳4基（一体をなす黒部古墳群のうち指定分）,https://www.city.buzen.lg.jp/kanko/miru/bunkazai/03.html,html,2026-07-12T21:13:00Z,JMH-402141-0021
福岡県,豊前市,平原横穴墓群,有形文化財,史跡,市指定,,豊前市,6世紀後半～7世紀中頃、市内唯一の横穴墓群19基,https://www.city.buzen.lg.jp/kanko/miru/bunkazai/03.html,html,2026-07-12T21:13:00Z,JMH-402141-0007
福岡県,豊前市,鬼木四反田遺跡及び関連遺跡出土青銅器,有形文化財,考古資料,市指定,,豊前市,佐井川流域の弥生時代青銅器,https://www.city.buzen.lg.jp/kanko/miru/bunkazai/03.html,html,2026-07-12T21:13:00Z,JMH-402141-0020
福岡県,豊前市,黒部古墳群出土遺物,有形文化財,考古資料,市指定,,豊前市,鉄鏃・馬具類・玉類・須恵器など計38点,https://www.city.buzen.lg.jp/kanko/miru/bunkazai/03.html,html,2026-07-12T21:13:00Z,JMH-402141-0022
福岡県,豊前市,覚魔社社殿,有形文化財,建造物,市指定,1991-05-10,豊前市大字鳥井畑597　大山祇神社境内,求菩提山開山伝承の猛覚魔ト仙を祀る社殿,https://www.city.buzen.lg.jp/kanko/miru/bunkazai/04.html,html,2026-07-12T21:13:00Z,JMH-402141-0001
福岡県,豊前市,如法寺の扁額および即非画像,有形文化財,彫刻,市指定,,豊前市大字山内966　如法寺,黄檗隠元書・即非書の扁額2点と即非画像等、法雲叟による如法寺再興関連資料,https://www.city.buzen.lg.jp/kanko/miru/bunkazai/05.html,html,2026-07-12T21:13:00Z,JMH-402141-0005
福岡県,豊前市,如法寺写経水,記念物(史跡・名勝・天然記念物),天然記念物,市指定,,豊前市大字山内966　如法寺,,https://www.city.buzen.lg.jp/kanko/miru/bunkazai/05.html,html,2026-07-12T21:13:00Z,JMH-402141-0006
福岡県,豊前市,如意輪観音像,有形文化財,彫刻,市指定,,豊前市大字山内991-1　如法寺本堂,寄木造、応永三年(1397)墨書、室町時代の作,https://www.city.buzen.lg.jp/kanko/miru/bunkazai/05.html,html,2026-07-12T21:13:00Z,JMH-402141-0004
福岡県,豊前市,角田八幡神社棟札一〇枚,民俗文化財,有形民俗文化財,市指定,,豊前市大字角田　角田八幡神社,鎌倉時代末期から江戸時代までの神殿・拝殿造営棟札,https://www.city.buzen.lg.jp/kanko/miru/bunkazai/06.html,html,2026-07-12T21:13:00Z,JMH-402141-0019
