№,名称,よみ,所在地,所有者,種別,指定年月日
1,阿弥陀堂（白水阿弥陀堂）,あみだどう（しらみずあみだどう）,内郷白水町広畑,願成寺,国宝　建造物,1952年3月29日
2,飯野八幡宮　本殿、若宮八幡神社本殿、仮殿、神楽殿、唐門、楼門、宝蔵,いいのはちまんぐう　ほんでん、わかみやはちまんじんじゃほんでん、かりでん、かぐらでん、からもん、ろうもん、ほうぞう,平字八幡小路,飯野八幡宮,国指定　重要文化財建造物,1983年1月7日（2002年12月26日）
3,専称寺　本堂、庫裏、総門,せんしょうじ　ほんどう、くり、そうもん,平山崎字梅福山,専称寺,国指定　重要文化財建造物,2004年7月6日
4,絹本著色弥勒菩薩像,けんぽんちゃくしょくみろくぼさつぞう,四倉町薬王寺字塙,薬王寺,国指定　重要文化財絵画,1906年4月14日
5,絹本著色阿弥陀三尊像,けんぽんちゃくしょくあみださんぞんぞう,（東京国立博物館寄託中）,いわき市,国指定　重要文化財絵画,1915年3月26日
6,木造阿弥陀如来及両脇侍像,もくぞうあみだにょらいおよびりょうわきじぞう,内郷白水町広畑,願成寺,国指定　重要文化財彫刻,1903年4月15日
7,木造文殊菩薩騎獅像,もくぞうもんじゅぼさつきしぞう,四倉町薬王寺字塙,薬王寺,国指定　重要文化財彫刻,1906年4月14日
8,木造地蔵菩薩立像,もくぞうじぞうぼさつりゅうぞう,四倉町長友字大宮作,長隆寺,国指定　重要文化財彫刻,1907年5月27日
9,銅造阿弥陀如来及両脇侍立像,どうぞうあみだにょらいおよびりょうわきじりゅうぞう,（東京国立博物館寄託中）,いわき市,国指定　重要文化財彫刻,1915年3月26日
10,木造持国天立像（寺伝広目天像）・木造多聞天立像,もくぞうじこくてんりゅうぞう（じでんこうもくてんぞう）・もくぞうたもんてんりゅうぞう,内郷白水町広畑,願成寺,国指定　重要文化財彫刻,1927年4月25日
11,木心乾漆虚空蔵菩薩坐像,もくしんかんしつこくうぞうぼさつざぞう,常磐西郷町忠多,能満寺,国指定　重要文化財彫刻,1956年6月28日
12,木造地蔵菩薩坐像（附）像内納入品,もくぞうじぞうぼさつざぞう,小川町下小川字上ノ台,長福寺,国指定　重要文化財彫刻,2013年6月19日
13,厨子入金銅宝篋印舎利塔,ずしいりこんどうほうきょういんしゃりとう,四倉町薬王寺字塙,薬王寺,国指定　重要文化財工芸品,1961年6月30日
14,大薙刀（銘）備州長船住盛景,おおなぎなた,平字八幡小路,飯野八幡宮,国指定　重要文化財工芸品,1974年6月8日
15,飯野家文書,いいのけもんじょ,平字高月,個人,国指定　重要文化財古文書,1994年6月28日
16,埴輪男子胡坐像（附）埴輪女子像,はにわだんしこざぞう,平字高月,（磐城高校）,国指定　重要文化財考古資料,1958年2月8日
17,御宝殿の稚児田楽・風流,ごほうでんのちごでんがく・ふりゅう,錦町御宝殿,御玉殿熊野社稚児田楽風流保存会,"国指定　重要無形民俗文化財
",1976年5月4日
18,甲塚古墳,かぶとづかこふん,平荒田目字甲塚,（いわき市）,国指定　史跡,1923年3月7日
19,白水阿弥陀堂境域,しらみずあみだどうきょういき,内郷白水町広畑・大門,（いわき市ほか）,国指定　史跡,1966年9月12日
20,中田横穴,なかだよこあな,平沼ノ内字中田,（いわき市）,国指定　史跡,1970年5月11日
21,根岸官衙遺跡群,ねぎしかんがいせきぐん,平下大越字根岸、平藤間,個人ほか,国指定　史跡,2005年7月14日
22,中釜戸のシダレモミジ,なかかまどのシダレモミジ,渡辺町中釜戸字表前ほか,（いわき市）,国指定　天然記念物,1937年6月15日
23,賢沼ウナギ生息地,かしこぬまウナギせいそくち,平沼ノ内字代ノ下,（いわき市）,国指定　天然記念物,1939年9月7日
