pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
群馬県,玉村町,五丁目屋台1台,有形文化財,工芸品（町指定重要文化財）,町指定,1987-12-04,玉村町下新田1（玉村八幡宮境内）,員数1台,https://www.town.tamamura.lg.jp/docs/2020040900052/,html,2026-07-06T08:17:00Z,JMH-105015-0009
群馬県,玉村町,六丁目屋台1台,有形文化財,工芸品（町指定重要文化財）,町指定,1988-09-29,玉村町下新田40-1,員数1台,https://www.town.tamamura.lg.jp/docs/2020040900052/,html,2026-07-06T08:17:00Z,JMH-105015-0010
群馬県,玉村町,阿弥陀三尊板碑3基,有形文化財,石造物（町指定重要文化財）,町指定,1995-11-28,玉村町上之手1282（観照寺）,員数3基,https://www.town.tamamura.lg.jp/docs/2020040900052/,html,2026-07-06T08:17:00Z,JMH-105015-0014
群馬県,玉村町,文安銘五輪塔2基,有形文化財,石造物（町指定重要文化財）,町指定,1995-11-28,玉村町南玉783（個人墓地）,員数2基,https://www.town.tamamura.lg.jp/docs/2020040900052/,html,2026-07-06T08:17:00Z,JMH-105015-0012
群馬県,玉村町,脇差（藤枝太郎英義作）,有形文化財,工芸品（町指定重要文化財）,町指定,2000-04-27,玉村町福島325（歴史資料館受託）,,https://www.town.tamamura.lg.jp/docs/2020040900052/,html,2026-07-06T08:17:00Z,JMH-105015-0018
群馬県,玉村町,人物埴輪2体（男子・女子）,有形文化財,考古資料（町指定重要文化財）,町指定,2002-03-27,玉村町福島325（歴史資料館受託）,員数2体,https://www.town.tamamura.lg.jp/docs/2020040900052/,html,2026-07-06T08:17:00Z,JMH-105015-0020
群馬県,玉村町,千輝玉斎作 豊年満作之図,有形文化財,絵画（町指定重要文化財）,町指定,2014-03-20,玉村町福島325（歴史資料館）,,https://www.town.tamamura.lg.jp/docs/2020040900052/,html,2026-07-06T08:17:00Z,JMH-105015-0022
群馬県,玉村町,千輝玉斎作 橋上人物百態図,有形文化財,絵画（町指定重要文化財）,町指定,2014-03-20,玉村町福島325（歴史資料館）,,https://www.town.tamamura.lg.jp/docs/2020040900052/,html,2026-07-06T08:17:00Z,JMH-105015-0021
群馬県,玉村町,玉村八幡宮拝殿・幣殿（附 棟札2枚）、隨神門（附 棟札2枚、附 隨神門大修繕略記1枚）、神楽殿、附 棟札2枚,有形文化財,建造物（町指定重要文化財）,町指定,2016-02-18,玉村町下新田1（玉村八幡宮）,,https://www.town.tamamura.lg.jp/docs/2020040900052/,html,2026-07-06T08:17:00Z,JMH-105015-0023
群馬県,玉村町,嚮義堂（附 嚮義堂記1基、附 学堂発起帳1冊）,有形文化財,建造物（町指定重要文化財）,町指定,2020-01-23,玉村町樋越486-1,,https://www.town.tamamura.lg.jp/docs/2020040900052/,html,2026-07-06T08:17:00Z,JMH-105015-0024
