pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
広島県,安芸太田町,川舟関係用具,民俗文化財,有形民俗文化財,町指定,1962-07-01,,員数:一式,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0001
広島県,安芸太田町,加計げんこつ踊り,民俗文化財,無形民俗文化財,町指定,1963-01-12,,,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0002
広島県,安芸太田町,吉水園の淡水海綿,記念物(史跡・名勝・天然記念物),天然記念物,町指定,1967-06-10,,員数:一群,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0003
広島県,安芸太田町,殿賀田楽,民俗文化財,無形民俗文化財,町指定,1981-11-30,,,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0004
広島県,安芸太田町,遅越第一号古墳,記念物(史跡・名勝・天然記念物),史跡,町指定,1984-04-01,,員数:一ケ所,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0005
広島県,安芸太田町,八幡神社石燈篭,有形文化財,重要文化財(建造物),町指定,1985-01-10,,員数:一,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0006
広島県,安芸太田町,津浪河内神社のスギの群生,記念物(史跡・名勝・天然記念物),天然記念物,町指定,1997-01-23,,員数:八株,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0022
広島県,安芸太田町,辻ノ河原のサイジョウガキ,記念物(史跡・名勝・天然記念物),天然記念物,町指定,1997-01-23,,員数:一株,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0023
広島県,安芸太田町,神楽－四神－,民俗文化財,無形民俗文化財,町指定,1998-01-23,,,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0024
広島県,安芸太田町,早木のスイリュウヒバ,記念物(史跡・名勝・天然記念物),天然記念物,町指定,1999-05-28,,員数:一株,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0025
広島県,安芸太田町,古寺尾のウラジロガシ,記念物(史跡・名勝・天然記念物),天然記念物,町指定,2002-07-05,,員数:一株,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0026
広島県,安芸太田町,堀八幡神社玉殿,有形文化財,重要文化財(建造物),町指定,2004-03-17,,員数:一基,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0027
広島県,安芸太田町,横山霊岸寺観音堂厨子,有形文化財,重要文化財(建造物),町指定,2004-03-17,,員数:一基,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0028
広島県,安芸太田町,木造阿弥陀如来像,有形文化財,重要文化財(美術工芸品),町指定,1994-06-23,,員数:一躯,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0012
広島県,安芸太田町,絹本著色親鸞聖人伝絵,有形文化財,重要文化財(美術工芸品),町指定,1994-06-23,,員数:四幅一対,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0016
広島県,安芸太田町,木造阿弥陀如来立像,有形文化財,重要文化財(美術工芸品),町指定,1994-06-23,,員数:一躯,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0013
広島県,安芸太田町,西光寺山城跡,記念物(史跡・名勝・天然記念物),史跡,町指定,1994-06-23,,員数:一ケ所,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0017
広島県,安芸太田町,梶原山城跡,記念物(史跡・名勝・天然記念物),史跡,町指定,1994-06-23,,員数:一ケ所,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0014
広島県,安芸太田町,田之尻の猪垣,記念物(史跡・名勝・天然記念物),史跡,町指定,1994-06-23,,員数:一ケ所,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0015
広島県,安芸太田町,龍頭峡,記念物(史跡・名勝・天然記念物),名勝,町指定,1994-06-23,,員数:一ケ所,https://www.akiota.jp/site/kyoiku/1394.html,html,2026-07-12T00:00:00Z,JMH-343684-0018
