pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
兵庫県,明石市,播州明石浦柿本大夫祠堂碑,有形文化財,歴史資料(金石文),市指定,1973-02-02,人丸町,所有者:柿本神社；指定日(原文):昭和48年2月2日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0008
兵庫県,明石市,月照寺山門,有形文化財,建造物,市指定,1970-05-21,人丸町,所有者:月照寺；指定日(原文):昭和45年5月21日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0002
兵庫県,明石市,織田家長屋門及付属塀,有形文化財,建造物,市指定,1970-05-21,大明石町2丁目,所有者:織田家；指定日(原文):昭和45年5月21日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0003
兵庫県,明石市,石造五輪塔「善楽寺の平清盛五輪塔」,有形文化財,石造物,市指定,1977-02-10,大観町,所有者:善楽寺；指定日(原文):昭和52年2月10日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0023
兵庫県,明石市,住吉神社楼門,有形文化財,建造物,市指定,1978-03-11,魚住町中尾,所有者:住吉神社；指定日(原文):昭和53年3月11日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0025
兵庫県,明石市,絵馬「加茂競馬の図」,民俗文化財,有形民俗文化財(絵馬),市指定,1972-02-25,魚住町中尾,所有者:住吉神社；指定日(原文):昭和47年2月25日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0006
兵庫県,明石市,絵馬「森狙仙筆猿の図」,有形文化財,美術工芸品(絵画),市指定,1977-02-10,人丸町,所有者:柿本神社；指定日(原文):昭和52年2月10日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0024
兵庫県,明石市,三十番神像,有形文化財,美術工芸品(彫刻),市指定,2018-03-20,日富美町,所有者:本立寺；指定日(原文):平成30年3月20日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0036
兵庫県,明石市,龍虎図,有形文化財,美術工芸品(絵画),市指定,2026-03-30,魚住町中尾,所有者:瑞雲寺；指定日(原文):令和8年3月30日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0045
兵庫県,明石市,木造毘沙門天及び両脇侍像,有形文化財,美術工芸品(彫刻),市指定,1981-03-19,林2丁目,所有者:宝蔵寺；指定日(原文):昭和56年3月19日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0027
兵庫県,明石市,石造狛犬,有形文化財,石造物,市指定,1983-03-31,人丸町,所有者:柿本神社；指定日(原文):昭和58年3月31日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0029
兵庫県,明石市,木造地蔵菩薩坐像,有形文化財,美術工芸品(彫刻),市指定,2025-03-17,魚住町金ケ崎,所有者:延命寺；指定日(原文):令和7年3月17日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0044
兵庫県,明石市,光明寺の和鐘,有形文化財,美術工芸品(工芸品),市指定,1973-02-02,鍛治屋町,所有者:浜光明寺；指定日(原文):昭和48年2月2日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0007
兵庫県,明石市,明石城太鼓,有形文化財,美術工芸品(工芸品),市指定,1974-02-08,上ノ丸1丁目,所有者:明石神社；指定日(原文):昭和49年2月8日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0011
兵庫県,明石市,明石城御殿平面図,有形文化財,美術工芸品(歴史資料),市指定,1974-02-08,上ノ丸2丁目,所有者:明石市；指定日(原文):昭和49年2月8日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0012
兵庫県,明石市,藤村覃定作「地球儀」,有形文化財,美術工芸品(歴史資料),市指定,1974-02-08,上ノ丸2丁目,所有者:明石市；指定日(原文):昭和49年2月8日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0014
兵庫県,明石市,鰐口,有形文化財,美術工芸品(工芸品),市指定,1976-02-05,本町,所有者:柴屋町地蔵講中；指定日(原文):昭和51年2月5日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0022
兵庫県,明石市,緋威金小札胴丸具足獅噛前立烏帽子形張懸兜付,有形文化財,美術工芸品(工芸品),市指定,1995-03-23,上ノ丸2丁目,所有者:明石市；指定日(原文):平成7年3月23日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0031
兵庫県,明石市,稲爪神社太鼓,有形文化財,美術工芸品(工芸品),市指定,2024-03-27,大蔵本町,所有者:稲爪神社；指定日(原文):令和6年3月27日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0042
兵庫県,明石市,三十六歌仙絵及び和歌式紙,有形文化財,美術工芸品(書跡),市指定,1970-05-21,人丸町,所有者:月照寺；指定日(原文):昭和45年5月21日；分類は名称からの推定（原典に種別列なし）,https://www.city.akashi.lg.jp/bunka/b_shinkou_ka/kanko-bunka/bunkazai/shitei.html,html,2026-07-12T06:31:41Z,JMH-282031-0001
