pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
岩手県,盛岡市,報恩寺の五百羅漢,有形文化財,彫刻,市指定,1966-10-18,盛岡市名須川町,,https://www.city.morioka.iwate.jp/kankou/kankou/1037106/rekishi/1009335/1009358/1009359.html,html,2026-07-03T08:24:52Z,JMH-032018-0003
岩手県,盛岡市,教浄寺の阿弥陀如来立像,有形文化財,彫刻,市指定,1966-10-18,盛岡市北山一丁目,,https://www.city.morioka.iwate.jp/kankou/kankou/1037106/rekishi/1009335/1009358/1009359.html,html,2026-07-03T08:24:52Z,JMH-032018-0006
岩手県,盛岡市,愛染明王像,有形文化財,彫刻,市指定,1966-10-18,盛岡市内丸1-50 もりおか歴史文化館,,https://www.city.morioka.iwate.jp/kankou/kankou/1037106/rekishi/1009335/1009358/1009359.html,html,2026-07-03T08:24:52Z,JMH-032018-0005
岩手県,盛岡市,光台寺の阿弥陀如来立像,有形文化財,彫刻,市指定,1970-02-25,盛岡市名須川町,,https://www.city.morioka.iwate.jp/kankou/kankou/1037106/rekishi/1009335/1009358/1009359.html,html,2026-07-03T08:24:52Z,JMH-032018-0010
岩手県,盛岡市,木造阿弥陀如来立像,有形文化財,彫刻,市指定,1973-10-29,盛岡市名須川町,,https://www.city.morioka.iwate.jp/kankou/kankou/1037106/rekishi/1009335/1009358/1009359.html,html,2026-07-03T08:24:52Z,JMH-032018-0039
岩手県,盛岡市,木造阿弥陀如来坐像,有形文化財,彫刻,市指定,1973-10-29,盛岡市鉈屋町,,https://www.city.morioka.iwate.jp/kankou/kankou/1037106/rekishi/1009335/1009358/1009359.html,html,2026-07-03T08:24:52Z,JMH-032018-0038
岩手県,盛岡市,山谷川目菩薩立像,有形文化財,彫刻,市指定,1977-03-12,盛岡市玉山字中里,,https://www.city.morioka.iwate.jp/kankou/kankou/1037106/rekishi/1009335/1009358/1009359.html,html,2026-07-03T08:24:52Z,JMH-032018-0054
岩手県,盛岡市,川又不動明王立像,有形文化財,彫刻,市指定,1977-03-12,盛岡市川又字赤坂,,https://www.city.morioka.iwate.jp/kankou/kankou/1037106/rekishi/1009335/1009358/1009359.html,html,2026-07-03T08:24:52Z,JMH-032018-0055
岩手県,盛岡市,石造十六羅漢,有形文化財,彫刻,市指定,1979-08-01,盛岡市茶畑二丁目1,,https://www.city.morioka.iwate.jp/kankou/kankou/1037106/rekishi/1009335/1009358/1009359.html,html,2026-07-03T08:24:52Z,JMH-032018-0057
岩手県,盛岡市,盛岡聖堂の孔子像,有形文化財,彫刻,市指定,1980-11-01,盛岡市東中野字日蔭山,,https://www.city.morioka.iwate.jp/kankou/kankou/1037106/rekishi/1009335/1009358/1009359.html,html,2026-07-03T08:24:52Z,JMH-032018-0065
