pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
香川県,綾川町,木造牛頭天王像,有形文化財,彫刻,町指定,1976-09-14,綾川町滝宮1314,員数1躯、所有者（管理団体）:滝宮天満宮,https://www.town.ayagawa.lg.jp/docs/2011070700194/file_contents/tiikibousaisiryou.pdf,pdf,2026-07-12T22:20:00Z,JMH-373877-0003
香川県,綾川町,木造孔子像,有形文化財,彫刻,町指定,1976-09-14,綾川町滝宮1314,員数1躯、所有者（管理団体）:滝宮天満宮,https://www.town.ayagawa.lg.jp/docs/2011070700194/file_contents/tiikibousaisiryou.pdf,pdf,2026-07-12T22:20:00Z,JMH-373877-0002
香川県,綾川町,天満宮記,有形文化財,書跡,町指定,1976-09-14,綾川町滝宮1314,員数1巻、所有者（管理団体）:滝宮天満宮,https://www.town.ayagawa.lg.jp/docs/2011070700194/file_contents/tiikibousaisiryou.pdf,pdf,2026-07-12T22:20:00Z,JMH-373877-0001
香川県,綾川町,滝宮念仏踊制札,有形文化財,書跡,町指定,1976-09-14,綾川町滝宮1314,員数2枚、所有者（管理団体）:滝宮天満宮,https://www.town.ayagawa.lg.jp/docs/2011070700194/file_contents/tiikibousaisiryou.pdf,pdf,2026-07-12T22:20:00Z,JMH-373877-0004
香川県,綾川町,龍頭院跡出土古瓦,有形文化財,考古資料,町指定,1976-09-14,綾川町滝宮1314,員数6枚、所有者（管理団体）:滝宮天満宮,https://www.town.ayagawa.lg.jp/docs/2011070700194/file_contents/tiikibousaisiryou.pdf,pdf,2026-07-12T22:20:00Z,JMH-373877-0005
香川県,綾川町,主基斎田お田植え祭,民俗文化財,無形民俗文化財,町指定,2000-06-18,綾川町山田上甲1484-7,所有者（管理団体）:主基斎田保存会,https://www.town.ayagawa.lg.jp/docs/2011070700194/file_contents/tiikibousaisiryou.pdf,pdf,2026-07-12T22:20:00Z,JMH-373877-0006
香川県,東かがわ市,日本武尊神影,有形文化財,絵画,市指定,1983-02-09,,,https://www.higashikagawa.jp/soshikikarasagasu/shogaigakushuka/gyomuannai/8/1/1085.html,html,2026-07-12T21:20:00Z,JMH-372072-0011
香川県,東かがわ市,三十六歌仙扁額,有形文化財,絵画,市指定,1983-02-09,,,https://www.higashikagawa.jp/soshikikarasagasu/shogaigakushuka/gyomuannai/8/1/1085.html,html,2026-07-12T21:20:00Z,JMH-372072-0010
香川県,東かがわ市,白鳥神社木造神馬,有形文化財,彫刻,市指定,1983-02-09,,,https://www.higashikagawa.jp/soshikikarasagasu/shogaigakushuka/gyomuannai/8/1/1085.html,html,2026-07-12T21:20:00Z,JMH-372072-0015
香川県,東かがわ市,阿弥陀如来立像,有形文化財,彫刻,市指定,1984-05-28,,,https://www.higashikagawa.jp/soshikikarasagasu/shogaigakushuka/gyomuannai/8/1/1085.html,html,2026-07-12T21:20:00Z,JMH-372072-0021
香川県,東かがわ市,阿弥陀如来坐像(観音寺),有形文化財,彫刻,市指定,1984-10-15,,,https://www.higashikagawa.jp/soshikikarasagasu/shogaigakushuka/gyomuannai/8/1/1085.html,html,2026-07-12T21:20:00Z,JMH-372072-0022
香川県,東かがわ市,阿弥陀如来坐像(栄国寺),有形文化財,彫刻,市指定,1985-03-05,,,https://www.higashikagawa.jp/soshikikarasagasu/shogaigakushuka/gyomuannai/8/1/1085.html,html,2026-07-12T21:20:00Z,JMH-372072-0024
