pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
鹿児島県,姶良市,豊州家島津氏の菩提寺であった総禅寺墓地に、島津季久（すえひさ）・朝久（ともひさ）・御屋地（おやぢ）様の墓,記念物(史跡・名勝・天然記念物),史跡,市指定,,鹿児島県姶良市鍋倉720-2,島津季久は豊州家島津氏初代で室町時代に国人領主として活躍し、瓜生野（うりうの）城(建昌城)を居城としました。文明9年(1477)に城中で死去しました。；島津朝久は豊州家6代であり、義弘の娘婿に当たります。義弘とともに活躍しましたが、文禄2年(1593)、文禄の役の陣中で病死しました。；御屋地様とは義弘の長女千鶴のことです。島津朝久に嫁ぎましたが、朝久の病没後は義弘とともに帖佐の居館に住み、領民に慕われ、「御屋地様」と呼ばれました。寛永13年(1636)に平松城で死去し、総禅寺に葬られています。,http://www.city.aira.lg.jp/bunkazai/kanko/bunka/bunkazai/shisiteisiseki.html,html,2026-07-12T11:52:49Z,JMH-462250-0039
鹿児島県,姶良市,新納旅庵(にいろりょあん)の墓［願成寺(がんじょうじ)墓地］,記念物(史跡・名勝・天然記念物),史跡,市指定,,鹿児島県姶良市東餅田572,旅庵は17歳で上京して仏教の修行に励み、天正年間には壮巌寺の八代住持となっていましたが、肥後攻略のため派遣されていた島津義弘にその知略才幹を見出され、還俗して側近となりました。後には「薩摩の黒衣の宰相」と呼ばれ、文禄の役や関ヶ原の戦い後の困難な戦後処理に尽力しました。慶長7年(1602)大坂の薩摩屋敷で亡くなっています。,http://www.city.aira.lg.jp/bunkazai/kanko/bunka/bunkazai/shisiteisiseki.html,html,2026-07-12T11:52:49Z,JMH-462250-0021
鹿児島県,姶良市,諏訪山板碑(すわやまいたび),記念物(史跡・名勝・天然記念物),史跡,市指定,,鹿児島県姶良市上名1105,この板碑は、上名の諏訪神社跡にあり、今でもお諏訪様と呼ばれています。この山には源為朝伝説があり、為朝城とも呼ばれ、北側には空堀が残っています。；板碑の高さ1m、幅25cm、厚さ15cm、嘉暦3年は1328年で、大日如来の功徳を願った県下でも古い板碑です。,http://www.city.aira.lg.jp/bunkazai/kanko/bunka/bunkazai/shisiteisiseki.html,html,2026-07-12T11:52:49Z,JMH-462250-0038
鹿児島県,姶良市,膝跪騂(ひざつきくりげ)の墓［亀泉院墓地(きせんいんぼち)］,記念物(史跡・名勝・天然記念物),史跡,市指定,,鹿児島県姶良市鍋倉1332,膝跪騂は赤茶色をした島津義弘の愛馬でした。義弘が元亀3年(1572)の木崎原の戦いで、伊東氏家臣柚木崎丹後・肥田木玄斎と戦った際に、膝をついて助けたことからこの名が付いたといわれています。その後も大切に飼われ、この地で長寿をまっとうしました。傍らには長年飼育を担当した橋口対馬の墓もあります。,http://www.city.aira.lg.jp/bunkazai/kanko/bunka/bunkazai/shisiteisiseki.html,html,2026-07-12T11:52:49Z,JMH-462250-0034
鹿児島県,姶良市,上場庚申供養碑(うわばこうしんくようひ),記念物(史跡・名勝・天然記念物),史跡,市指定,,鹿児島県姶良市船津23-8,道教では、人体には三尸の虫がいて、庚申の夜睡眠中に身体から抜け出して昇天し、天帝にその人の罪科を逐一報告すると考えられました。それを防ぐために年に6回ある庚申の日に祭祀を行い、三尸の虫を根絶することが信じられていました。；この庚申供養碑は、船津村でこの祭祀に参加した人々が根絶した三尸の虫の供養のために建立したものです。,http://www.city.aira.lg.jp/bunkazai/kanko/bunka/bunkazai/shisiteisiseki.html,html,2026-07-12T11:52:49Z,JMH-462250-0001
鹿児島県,姶良市,天福寺磨崖仏(てんぷくじまがいぶつ),記念物(史跡・名勝・天然記念物),史跡,市指定,,鹿児島県姶良市鍋倉498,天福寺跡の西側岩壁に彫られた23体の磨崖仏です。天福寺は創建時期など分かりませんが、島津義弘の娘お下が亡夫伊集院忠真（ただざね）の菩堤を弔うために再興した可能性があります。,http://www.city.aira.lg.jp/bunkazai/kanko/bunka/bunkazai/shisiteisiseki.html,html,2026-07-12T11:52:49Z,JMH-462250-0007
鹿児島県,姶良市,島津義弘居館跡(御屋地跡)石垣,記念物(史跡・名勝・天然記念物),史跡,市指定,,鹿児島県姶良市鍋倉776・777,義弘は文禄4年(1595)に栗野から帖佐へ移り住みます。家老の新納旅庵が工事の監督をし、館の石垣は加治木の湯湾岳から運んだといわれています。この時、館周辺の町割りも整備されました。文献によれば、「築地石垣九十九間」であったといわれます。；慶長11年(1606)、義弘は平松へ移り、翌年には加治木へ移りますが、その後館には義弘の娘である御屋地（おやぢ）様(島津朝久の妻)が住みました。,http://www.city.aira.lg.jp/bunkazai/kanko/bunka/bunkazai/shisiteisiseki.html,html,2026-07-12T11:52:49Z,JMH-462250-0013
鹿児島県,姶良市,平松城跡,記念物(史跡・名勝・天然記念物),史跡,市指定,,鹿児島県姶良市平松5633、5636、5638-2,現在の重富小学校で、天文23年(1554)蒲生方の岩剣城が落城した後、在番することになった島津義弘が、麓に築いた館が始まりといわれています。；江戸時代中期の元文2年(1737)には、越前島津家が再興されて、重富郷が領地となり、ここには領主館が置かれました。現存する石垣はこの時に整備されたと考えられます。,http://www.city.aira.lg.jp/bunkazai/kanko/bunka/bunkazai/shisiteisiseki.html,html,2026-07-12T11:52:49Z,JMH-462250-0017
鹿児島県,姶良市,岩剣城跡（いわつるぎじょう）,記念物(史跡・名勝・天然記念物),史跡,市指定,,鹿児島県姶良市平松5219-6,重富小学校の西側にある岩剣城跡は、享禄2年(1529)頃に蒲生氏により築城された天然の要害に設けられた難攻不落の城です。天文年間に行われた大隅合戦では戦国島津氏にとって最大の激戦地となりました。島津義弘が初陣を飾った場所でもあります。,http://www.city.aira.lg.jp/bunkazai/kanko/bunka/bunkazai/shisiteisiseki.html,html,2026-07-12T11:52:49Z,JMH-462250-0012
鹿児島県,姶良市,肝付氏墓(きもつきしのはか)［東禅寺墓地］,記念物(史跡・名勝・天然記念物),史跡,市指定,,鹿児島県姶良市加治木町日木山522,加治木氏・伊地知氏に続いて加治木城主となったのが、肝付氏です。肝付氏は加治木が豊臣秀吉の直轄地になるまでの68年間、この地を領有しました。肝付兼演ははじめ溝辺城にいましたが、伊地知氏の乱に乗じて加治木に入り、反島津勢力として戦いました。しかし、その後は島津氏に忠誠を示し、戦国島津家の一翼を担いました。；ここにある墓は、二代兼盛・兼盛側室・三代兼寛などのものです。,http://www.city.aira.lg.jp/bunkazai/kanko/bunka/bunkazai/shisiteisiseki.html,html,2026-07-12T11:52:49Z,JMH-462250-0033
