pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
高知県,安芸市,薬師如来像,有形文化財,彫刻,市指定,1963-05-10,安芸市庄之芝町 庄之芝大師堂,員数1体,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0004
高知県,安芸市,佐伯文書,有形文化財,古文書,市指定,1963-05-10,安芸市本町 西岡邦子,員数5通,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0001
高知県,安芸市,広形銅鉾,有形文化財,考古資料,市指定,1963-05-10,安芸市土居953―イ 安芸市立歴史民俗資料館,員数1本,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0002
高知県,安芸市,有樋石剣,有形文化財,考古資料,市指定,1963-05-10,安芸市土居953―イ 安芸市立歴史民俗資料館,員数1本,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0003
高知県,安芸市,浄貞寺山門,有形文化財,建造物,市指定,1964-10-23,安芸市黒鳥 浄貞寺,員数1宇,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0005
高知県,安芸市,短刀 銘正宣,有形文化財,工芸品,市指定,1965-04-16,安芸市土居953―イ 安芸市立歴史民俗資料館,員数1振,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0006
高知県,安芸市,古瀬戸骨壺,有形文化財,考古資料,市指定,1967-02-10,安芸市土居953―イ 安芸市立歴史民俗資料館,員数1口,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0007
高知県,安芸市,安芸城跡,記念物(史跡・名勝・天然記念物),史跡,市指定,1969-03-11,安芸市土居廓中 安芸市,,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0008
高知県,安芸市,五百石船模型,民俗文化財,民俗資料,市指定,1975-09-08,安芸市伊尾木 伊尾木八幡宮,員数1艘,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0009
高知県,安芸市,川北大師堂 絵馬,有形文化財,絵画,市指定,1980-04-07,安芸市川北中田 川北大師堂,員数屏風　5隻　絵額12枚,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0014
高知県,安芸市,奈比賀天満宮棟札,有形文化財,民俗資料,市指定,1980-04-07,安芸市奈比賀 奈比賀天満宮,員数5枚,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0013
高知県,安芸市,包国文書,有形文化財,古文書,市指定,1980-04-07,安芸市土居953―イ 安芸市立歴史民俗資料館,員数5冊,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0012
高知県,安芸市,一ノ宮万才,民俗文化財,民俗芸能,市指定,1980-04-07,安芸市井ノ口一ノ宮 一ノ宮神社 一ノ宮万才保存会,,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0010
高知県,安芸市,入河内獅子舞,民俗文化財,民俗芸能,市指定,1980-04-07,安芸市入河内 船岡神社 入河内獅子舞保存会,,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0011
高知県,安芸市,木造阿弥陀如来立像,有形文化財,彫刻,市指定,1985-04-12,安芸市本町1丁目1―21 妙山寺,員数1体,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0015
高知県,安芸市,川北文書,有形文化財,古文書,市指定,1991-04-26,安芸市矢ノ丸3丁目12―29 安芸市教育委員会 (安芸市民図書館),"員数1,562通",https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0016
高知県,安芸市,戸長役場文書,有形文化財,古文書,市指定,1993-07-15,安芸市矢ノ丸3丁目12―29 安芸市教育委員会 (安芸市民図書館),"員数2,242通",https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0018
高知県,安芸市,五藤家伝来美術工芸品,有形文化財,工芸品,市指定,1993-07-15,安芸市土居953―イ 安芸市立歴史民俗資料館,員数27点,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0017
高知県,安芸市,仁井田神社 「懇親会席上演説絵馬」,有形文化財,絵画,市指定,2016-05-27,安芸市栃ノ木 仁井田神社,員数1点,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0019
高知県,安芸市,住吉神社鰐口,有形文化財,工芸品,市指定,2016-05-27,安芸市土居953―イ 安芸市立歴史民俗資料館,員数2点,https://www.city.aki.kochi.jp/reiki/reiki_honbun/o304RG00000266.html,html,2026-07-12T00:00:00Z,JMH-392031-0020
高知県,日高村,小村神社,有形文化財,建造物,村指定,,小村神社,,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0009
高知県,日高村,木造菩薩面,有形文化財,彫刻,村指定,,小村神社,時代:鎌倉時代,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0019
高知県,日高村,銅矛（2口）,有形文化財,工芸品,村指定,,小村神社,時代:弥生時代,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0028
高知県,日高村,須恵器,有形文化財,工芸品,村指定,,小村神社,時代:平安時代,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0029
高知県,日高村,伝小野道風書 竪額,有形文化財,工芸品,村指定,,小村神社,時代:平安時代,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0003
高知県,日高村,後奈良院和歌短冊,有形文化財,工芸品,村指定,,小村神社,時代:室町時代,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0014
高知県,日高村,板絵三十六歌仙（9枚）,有形文化財,工芸品,村指定,,小村神社,時代:室町時代,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0021
高知県,日高村,牡丹杉（燈明杉）,記念物(史跡・名勝・天然記念物),天然記念物,村指定,,小村神社,,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0022
高知県,日高村,大日大聖不動明王,有形文化財,彫刻,村指定,,九頭護国寺,時代:鎌倉時代,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0007
高知県,日高村,役行者,有形文化財,彫刻,村指定,,九頭護国寺,,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0011
高知県,日高村,不動尊,有形文化財,彫刻,村指定,,九頭護国寺,,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0002
高知県,日高村,蔵王権現,有形文化財,彫刻,村指定,,九頭護国寺,,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0027
高知県,日高村,役行者木像2躯①,有形文化財,彫刻,村指定,,九頭護国寺,,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0012
高知県,日高村,役行者木像2躯②,有形文化財,彫刻,村指定,,九頭護国寺,,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0013
高知県,日高村,木造弥勒菩薩坐像,有形文化財,彫刻,村指定,,中村弥勒堂,時代:平安時代,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0018
高知県,日高村,木造地蔵菩薩半跏像（渡地蔵尊）,有形文化財,彫刻,村指定,,神宮寺,時代:鎌倉時代,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0017
高知県,日高村,日下・加茂古地図,有形文化財,工芸品,村指定,,教育委員会,,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0015
高知県,日高村,小村神社頭家なばれ,民俗文化財,無形の民俗文化財,村指定,,小村,,https://www.vill.hidaka.kochi.jp/kurashi/files/202615184747.pdf,pdf,2026-07-12T00:00:00Z,JMH-394106-0010
