pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
熊本県,天草市,日輪碑（切石様）,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0085
熊本県,天草市,竜王宮,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0122
熊本県,天草市,本渡南の梵字板碑と礎石,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0089
熊本県,天草市,市ノ瀬橋と石碑,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0073
熊本県,天草市,下浦石工元祖松室五郎左衛門の墓,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0024
熊本県,天草市,上津浦（こうつうら）五輪塔,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0018
熊本県,天草市,岩宗のキリシタン墓碑群,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0070
熊本県,天草市,常夜燈,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0075
熊本県,天草市,法界平等碑,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0107
熊本県,天草市,下ノ門五輪塔,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0019
熊本県,天草市,豪商松坂屋（石本家）屋敷,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0135
熊本県,天草市,平野成政碑,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0078
熊本県,天草市,巌戸山（いわとやま）観音寺の板碑,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0072
熊本県,天草市,楠甫（くすぼ）五輪塔,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0097
熊本県,天草市,平ノ口五輪塔,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0077
熊本県,天草市,大河内六地蔵,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0051
熊本県,天草市,馬場の義民塔,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0145
熊本県,天草市,下浦丸田薬師堂の梵字板碑,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0023
熊本県,天草市,立浦の板碑,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0121
熊本県,天草市,志安橋,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0083
熊本県,天草市,大宮地五輪塔,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0048
熊本県,天草市,ぺーが墓（キリシタン墓碑群）,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0005
熊本県,天草市,河内六十六部塔,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0105
熊本県,天草市,轟橋,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0137
熊本県,天草市,眼鏡橋,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0117
熊本県,天草市,尼港事変殉難者碑,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0067
熊本県,天草市,芳證寺衆寮堂（ほうしょうじしゅうりょうどう）,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0128
熊本県,天草市,御領神社二の鳥居,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0082
熊本県,天草市,唐津武士の墓,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0042
熊本県,天草市,干拓記念碑,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0076
熊本県,天草市,伊賀倉権現古塔群,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0032
熊本県,天草市,亀川古寺古塔群,有形文化財,建造物,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00791.html,html,2026-07-12T11:03:02Z,JMH-432156-0030
熊本県,天草市,徒党禁止高札,有形文化財,歴史資料,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00793.html,html,2026-07-12T11:03:04Z,JMH-432156-0079
熊本県,天草市,高浜八幡宮社宝「天草伊豆守鎮種献納軍旗」,有形文化財,歴史資料,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00793.html,html,2026-07-12T11:03:04Z,JMH-432156-0148
熊本県,天草市,あぶみ（一対）,有形文化財,歴史資料,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00793.html,html,2026-07-12T11:03:04Z,JMH-432156-0003
熊本県,天草市,ロザリオと壺,有形文化財,歴史資料,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00793.html,html,2026-07-12T11:03:04Z,JMH-432156-0013
熊本県,天草市,高札,有形文化財,歴史資料,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00793.html,html,2026-07-12T11:03:04Z,JMH-432156-0146
熊本県,天草市,鈴木明神伝碑,有形文化財,歴史資料,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00793.html,html,2026-07-12T11:03:04Z,JMH-432156-0143
熊本県,天草市,正覚寺文書,有形文化財,書跡・古文書,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00795.html,html,2026-07-12T11:03:05Z,JMH-432156-0101
熊本県,天草市,大内義隆の書状,有形文化財,書跡・古文書,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00795.html,html,2026-07-12T11:03:05Z,JMH-432156-0046
熊本県,天草市,小崎義明遺墨,有形文化財,書跡・古文書,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00795.html,html,2026-07-12T11:03:05Z,JMH-432156-0065
熊本県,天草市,大堂家（おおどうけ）古文書,有形文化財,書跡・古文書,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00795.html,html,2026-07-12T11:03:05Z,JMH-432156-0047
熊本県,天草市,松浦家古文書,有形文化財,書跡・古文書,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00795.html,html,2026-07-12T11:03:05Z,JMH-432156-0092
熊本県,天草市,四郎乱物語,有形文化財,書跡・古文書,市指定,,,,https://www.city.amakusa.kumamoto.jp/list00795.html,html,2026-07-12T11:03:05Z,JMH-432156-0043
