pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
京都府,綾部市,宝篋印塔,有形文化財,建造物,市指定,1970-03-20,安国寺町 安国寺,員数:3基、時代:南北朝,https://www.city.ayabe.lg.jp/0000002174.html,html,2026-07-12T06:25:00Z,JMH-262030-0005
京都府,綾部市,石碑,有形文化財,建造物,市指定,1975-09-11,十倉名畑町 河牟奈備神社,員数:1基、時代:平安,https://www.city.ayabe.lg.jp/0000002174.html,html,2026-07-12T06:25:00Z,JMH-262030-0018
京都府,綾部市,宝篋印塔,有形文化財,建造物,市指定,1975-09-11,睦寄町 光明寺,員数:1基、時代:南北朝,https://www.city.ayabe.lg.jp/0000002174.html,html,2026-07-12T06:25:00Z,JMH-262030-0015
京都府,綾部市,町石,有形文化財,建造物,市指定,2019-01-11,睦寄町 光明寺,員数:1基、時代:室町,https://www.city.ayabe.lg.jp/0000002174.html,html,2026-07-12T06:25:00Z,JMH-262030-0039
京都府,綾部市,絹本著色釈迦十六善神画像,有形文化財,絵画,市指定,,舘町 楞厳寺,員数:1幅、時代:室町,https://www.city.ayabe.lg.jp/0000002174.html,html,2026-07-12T06:25:00Z,JMH-262030-0042
京都府,綾部市,紙本淡彩墨画白衣観音図,有形文化財,絵画,市指定,1975-09-11,武吉町 玉泉寺,員数:1幅、時代:室町,https://www.city.ayabe.lg.jp/0000002174.html,html,2026-07-12T06:25:00Z,JMH-262030-0019
京都府,綾部市,本堂襖絵,有形文化財,絵画,市指定,1987-04-01,八津合町 上林禅寺,員数:34面、時代:江戸,https://www.city.ayabe.lg.jp/0000002174.html,html,2026-07-12T06:25:00Z,JMH-262030-0028
京都府,綾部市,紙本著色八幡縁起絵,有形文化財,絵画,市指定,1999-06-22,高津町 八幡宮,員数:1巻、時代:室町,https://www.city.ayabe.lg.jp/0000002174.html,html,2026-07-12T06:25:00Z,JMH-262030-0036
京都府,綾部市,紙本淡彩墨画大槻辰高像,有形文化財,絵画,市指定,1999-06-22,高津町 八幡宮,員数:1幅、時代:江戸,https://www.city.ayabe.lg.jp/0000002174.html,html,2026-07-12T06:25:00Z,JMH-262030-0035
京都府,綾部市,木造千手観音立像,有形文化財,彫刻,市指定,1970-03-20,寺町 正暦寺,員数:1躯、時代:平安,https://www.city.ayabe.lg.jp/0000002174.html,html,2026-07-12T06:25:00Z,JMH-262030-0006
京都府,綾部市,木造薬師如来坐像,有形文化財,彫刻,市指定,1970-03-20,味方町 宝住寺,員数:1躯、時代:平安,https://www.city.ayabe.lg.jp/0000002174.html,html,2026-07-12T06:25:00Z,JMH-262030-0008
京都府,綾部市,木造大日如来坐像,有形文化財,彫刻,市指定,1970-03-20,里町 仏南寺,員数:1躯、時代:平安,https://www.city.ayabe.lg.jp/0000002174.html,html,2026-07-12T06:25:00Z,JMH-262030-0007
京都府,綾部市,木造虚空蔵菩薩立像,有形文化財,彫刻,市指定,1970-03-20,里町 仏南寺,員数:1躯、時代:平安,https://www.city.ayabe.lg.jp/0000002174.html,html,2026-07-12T06:25:00Z,JMH-262030-0009
