pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
宮城県,東松島市,醫王寺薬師堂,有形文化財,建造物,市指定,,宮城県東松島市,,https://miyagi.dataeye.jp/resources/736,csv,2026-07-03T23:42:48+09:00,JMH-042170-0026
宮城県,東松島市,木造薬師三尊、不動明王・毘沙門天立像並びに十二神将立像,有形文化財,彫刻,市指定,,宮城県東松島市,,https://miyagi.dataeye.jp/resources/736,csv,2026-07-03T23:42:48+09:00,JMH-042170-0017
宮城県,東松島市,木造毘沙門天立像,有形文化財,彫刻,市指定,,宮城県東松島市,,https://miyagi.dataeye.jp/resources/736,csv,2026-07-03T23:42:48+09:00,JMH-042170-0016
宮城県,東松島市,大塚不動尊梵鐘,有形文化財,工芸品,市指定,,宮城県東松島市,,https://miyagi.dataeye.jp/resources/736,csv,2026-07-03T23:42:48+09:00,JMH-042170-0003
宮城県,東松島市,建治二年板碑,有形文化財,歴史資料,市指定,,宮城県東松島市,,https://miyagi.dataeye.jp/resources/736,csv,2026-07-03T23:42:48+09:00,JMH-042170-0012
宮城県,東松島市,天保八年三界万霊供養碑,有形文化財,歴史資料,市指定,,宮城県東松島市,,https://miyagi.dataeye.jp/resources/736,csv,2026-07-03T23:42:48+09:00,JMH-042170-0006
宮城県,東松島市,東齋塩場の碑,有形文化財,歴史資料,市指定,,宮城県東松島市,,https://miyagi.dataeye.jp/resources/736,csv,2026-07-03T23:42:48+09:00,JMH-042170-0018
宮城県,東松島市,正和四年板碑,有形文化財,歴史資料,市指定,,宮城県東松島市,,https://miyagi.dataeye.jp/resources/736,csv,2026-07-03T23:42:48+09:00,JMH-042170-0019
宮城県,東松島市,小野道しるべ石,有形文化財,歴史資料,市指定,,宮城県東松島市,,https://miyagi.dataeye.jp/resources/736,csv,2026-07-03T23:42:48+09:00,JMH-042170-0010
宮城県,東松島市,上下堤道しるべ石,有形文化財,歴史資料,市指定,,宮城県東松島市,,https://miyagi.dataeye.jp/resources/736,csv,2026-07-03T23:42:48+09:00,JMH-042170-0002
宮城県,東松島市,文永十年板碑,有形文化財,歴史資料,市指定,,宮城県東松島市,,https://miyagi.dataeye.jp/resources/736,csv,2026-07-03T23:42:48+09:00,JMH-042170-0013
宮城県,東松島市,阿弥陀三尊種子板碑,有形文化財,歴史資料,市指定,,宮城県東松島市,,https://miyagi.dataeye.jp/resources/736,csv,2026-07-03T23:42:48+09:00,JMH-042170-0029
宮城県,東松島市,阿弥陀三尊来迎図像板碑,有形文化財,歴史資料,市指定,,宮城県東松島市,,https://miyagi.dataeye.jp/resources/736,csv,2026-07-03T23:42:48+09:00,JMH-042170-0028
