都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
042072,0000000001,宮城県,名取市,雷神山古墳,ライジンヤマコフン,,,国指定記念物,史跡（古墳）,,名取市植松字山､愛島小豆島字片平山,,38.15124998,140.87988488,022-724-7176,,1,基,8000020042072,名取市,1956-12-28,月火水木金土日,,,,,,,,,,https://www.city.natori.miyagi.jp/site/bunkazai/4543.html,指定地内に小塚古墳（円墳）1基あり。土地の追加指定(1968-12-5)
042072,0000000002,宮城県,名取市,飯野坂古墳群,イイノザカコフングン,,,国指定記念物,史跡（古墳）,,名取市飯野坂五丁目､名取が丘一丁目,,38.16228003,140.87728684,022-724-7176,,7,基,8000020042072,名取市,1978-03-16,月火水木金土日,,,,,,,,,,https://www.city.natori.miyagi.jp/site/bunkazai/4543.html,前方後方墳5基＋方墳2基
042072,0000000003,宮城県,名取市,洞口家住宅,ホラグチケジュウタク,,,重要文化財,建造物,,名取市大曲字中小路26,,38.17289439,140.91535616,,,6,棟,,民有地、一部名取市,1971-12-28,,,,,,,,,,,https://www.city.natori.miyagi.jp/site/bunkazai/4543.html,祈祷札1枚も附指定。馬屋・表門・宅地(1985-5-18)、蔵3棟・宅地一部(2012-7-9)を追加指定。
042072,0000000004,宮城県,名取市,旧中沢家住宅,キュウナカザワケジュウタク,,,重要文化財,建造物,十三塚公園,名取市手倉田字山216-93,,38.16283141,140.8695504,022-724-7176,,1,棟,8000020042072,名取市,1974-05-21,火木土日,10:00,15:30,4月中旬～11月中旬の120日間が開放日。  それ以外の期間は市へ要相談。,,,,,,,https://www.city.natori.miyagi.jp/site/bunkazai/4543.html,
042072,0000000005,宮城県,名取市,熊野那智神社懸仏、銅鏡,クマノナチジンジャカケボトケ、ドウキョウ,,,重要文化財,美術工芸品(工芸品）,熊野那智神社,名取市高舘吉田字舘山8,,38.187559,140.838525,,,41,面,8370805000043,熊野那智神社,1974-06-08,,,,,,,,,,,https://www.city.natori.miyagi.jp/site/bunkazai/4543.html,
042072,0000000006,宮城県,名取市,新宮寺一切経,クマノシングウジイッサイキョウ,,,重要文化財,美術工芸品（典籍）,熊野新宮寺,名取市高舘熊野堂字岩口中35,,38.202686,140.842366,,,2568,巻,5370805000021,熊野新宮寺,1987-06-06,,,,,,,,,,,https://www.city.natori.miyagi.jp/site/bunkazai/4543.html,
041017,0000000007,宮城県,仙台市,埴輪甲、埴輪家残闕、埴輪円筒,ハニワヨロイ、ハニワイエザンケツ、ハニワエントウ,,,重要文化財,美術工芸品(考古資料),国立大学法人東北大学,仙台市青葉区片平2-1-1,,38.25348767,140.87329296,,,4,個,7370005002147,国立大学法人東北大学,1959-06-27,,,,,,,,,,,,資料は市外にあるが、名取市からの出土品のため掲載。
042072,0000000008,宮城県,名取市,熊野新宮社本殿,クマノシングウシャホンデン,,,県指定有形文化財,建造物,熊野神社,名取市高舘熊野堂字岩口上51,,38.2043,140.844308,,,3,棟,1370805000041,熊野神社,1985-05-24,,,,,,,,,,,https://www.city.natori.miyagi.jp/site/bunkazai/4543.html,
042072,0000000009,宮城県,名取市,熊野那智神社懸仏、銅鏡,クマノナチジンジャカケボトケ、ドウキョウ,,,県指定有形文化財,美術工芸品(工芸品）,熊野那智神社,名取市高舘吉田字舘山8,,38.187559,140.838525,,,122,面,8370805000043,熊野那智神社,1966-03-31,,,,,,,,,,,https://www.city.natori.miyagi.jp/site/bunkazai/4543.html,
042072,0000000010,宮城県,名取市,熊野堂神楽,クマノドウカグラ,,,県指定民俗文化財,無形民俗文化財(民俗芸能),熊野神社,名取市高舘熊野堂字岩口上51,,38.204241,140.846765,,,1,,,熊野堂神楽保存会,1986-11-28,,,,,,,,,,,https://www.city.natori.miyagi.jp/site/bunkazai/4543.html,
042072,0000000011,宮城県,名取市,道祖神神楽,ドウソジンカグラ,,,県指定民俗文化財,無形民俗文化財(民俗芸能),道祖神社,名取市愛島笠島字西台1-4,,38.162007,140.846679,,,1,,,道祖神神楽保存会,1986-11-28,,,,,,,,,,,https://www.city.natori.miyagi.jp/site/bunkazai/4543.html,
042072,0000000012,宮城県,名取市,熊野堂舞楽,クマノドウブガク,,,県指定民俗文化財,無形民俗文化財(民俗芸能),熊野神社,名取市高舘熊野堂字岩口上51,,38.204241,140.846765,,,1,,,熊野堂舞楽保存会,2003-01-31,,,,,,,,,,,https://www.city.natori.miyagi.jp/site/bunkazai/4543.html,
042072,0000000013,宮城県,名取市,熊野堂横穴墓群,クマノドウヨコアナボグン,,,市指定記念物,史跡(横穴墓）,,名取市高舘熊野堂字大門山35,,38.203225,140.841637,,,1,,,民有地,1966-03-31,,,,,,,,,,,https://www.city.natori.miyagi.jp/site/bunkazai/4543.html,
042072,0000000014,宮城県,名取市,十三塚遺跡,ジュウサンヅカイセキ,,,市指定記念物,史跡(集落跡）,,名取市手倉田字山外,,38.161742,140.868888,022-724-7176,,1,,8000020042072,名取市,1990-03-31,月火水木金土日,,,,,,,,,,https://www.city.natori.miyagi.jp/site/bunkazai/4543.html,
042072,0000000015,宮城県,名取市,大門山遺跡,ダイモンヤマイセキ,,,市指定記念物,史跡（供養所跡）,,名取市高舘熊野堂字大門山52､53,,38.198681,140.844684,,,1,,,民有地､一部名取市,1990-03-31,,,,,,,,,,,https://www.city.natori.miyagi.jp/site/bunkazai/4543.html,
042072,0000000016,宮城県,名取市,高舘山古墳,タカダテヤマコフン,,,市指定記念物,史跡(古墳）,,名取市高舘吉田字西真坂,,38.190966,140.838675,022-724-7176,,1,基,8000020042072,名取市,1990-03-31,,,,,,,,,,,https://www.city.natori.miyagi.jp/site/bunkazai/4543.html,
