都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
42137,10001,宮城県,栗原市,木造薬師如来坐像,モクゾウヤクシニョライザゾウ,,,重要文化財,美術工芸品,宮城県栗原市築館薬師台（双林寺）,,38.73055,141.01791,,,,,,,,,,,,,,,,,,,
42137,10002,宮城県,栗原市,木造二天王立像,モクゾウニテンノウリュウゾウ,,,重要文化財,美術工芸品,宮城県栗原市築館薬師台（双林寺）,,38.73055,141.01791,,,,,,,,,,,,,,,,,,,
42137,100001,宮城県,栗原市,銅像蔵王権現立像,ドウゾウザオウゴンゲンリュウゾウ,,,重要文化財,美術工芸品,宮城県栗原市花山（盗難不明）,,,,,,,,,,,,,,,,,,,,,,
42137,80001,宮城県,栗原市,小迫の延年,オバサマノエンネン,,,重要無形民俗文化財,民俗芸能,宮城県栗原市金成小迫,,38.81401449,141.0655405,,,,,,,,,,,,,,,,,,,
42137,100002,宮城県,栗原市,仙台藩花山村寒湯番所跡,センダイハンハナヤマムラヌルユバンショアト,,,史跡,,宮城県栗原市花山字本沢温湯地内,,38.8616984,140.7779075,,,,,,,,,,,,,,,,,,,
42137,80002,宮城県,栗原市,旧有壁宿本陣,キュウアリカベジュクホンジン,,,史跡,,宮城県栗原市金成有壁本町31,,38.86795946,141.1252884,,,,,,,,,,,,,,,,,,,
42137,50001,宮城県,栗原市,山王囲遺跡,サンノウガコイイセキ,,,史跡,,宮城県栗原市一迫真坂字山王,,38.74128112,140.9487092,,,,,,,,,,,,,,,,,,,
42137,10003,宮城県,栗原市,伊治城跡,イジジョウアト,,,史跡,,宮城県栗原市築館字城生野,,38.45538,141.02162,,,,,,,,,,,,,,,,,,,
42137,10004,宮城県,栗原市,入の沢遺跡,イリノサワイセキ,,,史跡,,宮城県栗原市築館字城生野ほか,,38.45329,141.02009,,,,,,,,,,,,,,,,,,,
42137,80003,宮城県,栗原市,沢辺ゲンジボタル発生地,サワベゲンジボタルハッセイチ,,,天然記念物,,宮城県栗原市金成沢辺,,38.47475,141.04097,,,,,,,,,,,,,,,,,,,
42137,1,宮城県,栗原市,伊豆沼・内沼の鳥類およびその生息地,イズヌマ・ウチヌマノチョウルイオヨビソノセイソクチ,,,天然記念物,,宮城県栗原市、登米市,,38.43188,141.05382,,,,,,,,,,,,,,,,,,,
