全国地方公共団体コード	ID	地方公共団体名	名称	名称_カナ	名称_通称	名称_英語	文化財分類	種類	場所名称	所在地_全国地方公共団体コード	町字ID	所在地_連結表記	所在地_都道府県	所在地_市区町村	所在地_町字	所在地_番地以下	建物名等(方書)	緯度	経度	高度の種別	高度の値	電話番号	内線番号	連絡先メールアドレス	連絡先FormURL	連絡先備考（その他、SNSなど）	郵便番号	員数（数）	員数（単位）	法人番号	所有者等	文化財指定日	利用可能曜日	開始時間	終了時間	利用可能日時特記事項	画像	画像_ライセンス	概要	概要_英語	説明	説明_英語	URL	備考	優先駐車場	オストメイト対応トイレ	授乳室	おむつ替えコーナー	飲食可否	ベビーカー貸出	ベビーカー利用	URL	画像	画像ライセンス	備考
42021		宮城県石巻市	岩版	ガンバン		Stone Tablet	重要文化財	美術工芸品	石巻市博物館	42021		宮城県石巻市開成1-8	宮城県	石巻市	開成	1月8日	マルホンまきあーとテラス内	38.459161	141.306034			(0225)98-4831		culcenter@city.ishinomaki.lg.jp		X:@icm_gakugei、Facebook：https://www.facebook.com/ishinomaki.city.museum/、Instagram：＠icm_ishinomakimuseum	9860032				石巻市	1961/2/17	火水木金土日	9:00	17:00	最終入館16:30。月曜日祝日の場合は翌日休館。12/28～1/4休館。							https://ishinomaki-fukugo.net/makiart/		有	無	有	有	無	有	有				飲食可否：共有スペースは可、博物館内は不可
42021		宮城県石巻市	沼津貝塚	ヌマヅカイヅカ		Numazu Shell Mound	史跡			42021		宮城県石巻市沼津字出外	宮城県	石巻市	沼津字出外							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				石巻市	1972/10/21																							
42021		宮城県石巻市	石井閘門	イシイコウモン		Ishii Komon Lock	重要文化財	建造物		42021		宮城県石巻市水押三丁目	宮城県	石巻市	水押三丁目							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				国土交通省	2002/5/23																							
42021		宮城県石巻市	イヌワシの繁殖地	イヌワシノハンショクチ		Sardine Breeding Grounds	天然記念物			42021		宮城県石巻市北上町翁倉山	宮城県	石巻市	北上町							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				農林水産省	1976/12/22																							
42021		宮城県石巻市	八景島暖地性植物群落	ヤケイジマダンチセイショクブツグンラク		The Warm-climate Plant Community of Yakeijima Island	天然記念物			42021		宮城県石巻市雄勝町名振	宮城県	石巻市	雄勝町名振							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				名振地区会	1964/6/27																							
42021		宮城県石巻市	雄勝法印神楽	オガツホウインカグラ		Ogatsu Hoin Kagura	重要無形民俗文化財	芸能		42021		宮城県石巻市雄勝町大浜字大浜	宮城県	石巻市	雄勝町大浜字大浜							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				雄勝法印神楽保存会	1996/12/20																							
42021		宮城県石巻市	木造十一面観音立像	モクゾウジュウイチメンカンノンリュウゾウ		Wooden Eleven-faced Kannon Statue	重要文化財	美術工芸品	陽山寺	42021		宮城県石巻市給分浜後山	宮城県	石巻市	給分浜後山							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				石巻市	1915/8/10				毎年7月26・27日に開帳。ほかは要予約。																			
42021		宮城県石巻市	齋藤氏庭園	サイトウシテイエン		Saito Garden	名勝			42021		宮城県石巻市前谷地字黒沢73-1	宮城県	石巻市	前谷地字黒沢	Jan-73		38.506323	141.193864			(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				石巻市	2005/7/14	火水木金土日	9:30	16:30	12/1～3/31までは終了時間16:00。月曜日祝日の場合は翌日休園。12/28～1/4休園。									無	無	無	無	無	無	有				
42021		宮城県石巻市	石井閘門	イシイコウモン		Ishii Komon Lock	重要文化財	建造物		42021		宮城県石巻市水押三丁目6地先	宮城県	石巻市	水押三丁目	6地先		38.446911	141.291239			(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				国土交通省	2002/5/23																							
42021		宮城県石巻市	旧相川診療所	キュウアイカワシンリョウジョ		Former Aikawa Clinic	登録有形文化財	建造物		42021		宮城県石巻市北上町十三浜字崎山	宮城県	石巻市	北上町十三浜字崎山							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				有限会社熊谷産業	2012/8/13																							
42021		宮城県石巻市	金華山灯台	キンカサントウダイ		Kinkasan Lighthouse	登録有形文化財	建造物		42021		宮城県石巻市金華山	宮城県	石巻市	金華山			38.276548	141.584238			(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				海上保安庁第二管区海上保安本部	2017/6/28																							
42021		宮城県石巻市	遠藤家住宅主屋	エンドウケジュウタクシュオク		Endo Family Residence Main Building	登録有形文化財	建造物		42021		宮城県石巻市北村字小崎一	宮城県	石巻市	北村							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				個人	2019/3/29																							
42021		宮城県石巻市	遠藤家住宅土蔵	エンドウケジュウタクドゾウ		Endo Family Residence Storehouse	登録有形文化財	建造物		42021		宮城県石巻市北村字小崎一	宮城県	石巻市	北村							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				個人	2019/3/29																							
42021		宮城県石巻市	臣屋阿部家住宅主屋	シンヤアベケジュウタクシュオク		Vassal Abe Residence Main Building	登録有形文化財	建造物		42021		宮城県石巻市田代浜仁斗田	宮城県	石巻市	田代浜仁斗田							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				八興漁業株式会社	2019/9/10																							
42021		宮城県石巻市	臣屋阿部家住宅隠居屋	シンヤアベケジュウタクインキョヤ		Vassal Abe Residence Retirement Building	登録有形文化財	建造物		42021		宮城県石巻市田代浜仁斗田	宮城県	石巻市	田代浜仁斗田							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				八興漁業株式会社	2019/9/10																							
42021		宮城県石巻市	牡鹿法印神楽	オシカホウインカグラ		Oshika Hoin Kagura	県指定無形民俗文化財	芸能		42021		宮城県石巻市湊字牧山	宮城県	石巻市	湊字牧山							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				牡鹿神楽古実会	1971/3/2																							
42021		宮城県石巻市	仁斗田貝塚	ニトダカイヅカ		Nitoda Shell Mound	県指定史跡			42021		宮城県石巻市田代字仁斗田	宮城県	石巻市	田代字仁斗田							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				個人	1975/4/30																							
42021		宮城県石巻市	奥州石ノ巻図	オウシュウイシノマキズ		Oshu Ishinomaki Illustration	県指定有形文化財	美術工芸品	羽黒山鳥屋神社	42021		宮城県石巻市羽黒町一丁目	宮城県	石巻市	羽黒町一丁目							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				羽黒山鳥屋神社	1988/11/29																							
42021		宮城県石巻市	木造男神像	モクゾウダンシンゾウ		Wooden Idols	県指定有形文化財	美術工芸品	賀茂小鋭神社	42021		宮城県石巻市福地字加茂崎	宮城県	石巻市	福地字加茂崎							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				賀茂小鋭神社	1956/3/9																							
42021		宮城県石巻市	皿貝法印神楽	サラガイホウインカグラ		Saragai Hoin Kagura	県指定無形民俗文化財	芸能		42021		宮城県石巻市皿貝小沢	宮城県	石巻市	皿貝小沢							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				皿貝法印神楽保存会	1990/1/26																							
42021		宮城県石巻市	和泉沢古墳群	イズミサワコフングン		Izumisawa Ancient Burial Mounds	県指定史跡			42021		宮城県石巻市中島字和泉沢畑	宮城県	石巻市	中島字和泉沢畑							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				個人	1987/4/24																							
42021		宮城県石巻市	大指海域および双子島、鞍掛島、蹄島、黒島のウミネコ、ゴイサギ、アマツバメ、ウトウ等の繁殖地	オオザシカイイキオヨビフタゴジマ、クラカケジマ、ヒヅメジマ、クロシマのウミネコ、ゴイサギ、アマツバメ、ウトウトウノハンショクチ			県指定天然記念物			42021		宮城県石巻市北上町十三浜字大指ほか	宮城県	石巻市	北上町十三浜字大指ほか							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				石巻市	1968/12/13																							
42021		宮城県石巻市	おめつき	オメツキ		Ometsuki Festival	県指定無形民俗文化財	芸能		42021		宮城県石巻市雄勝町名振	宮城県	石巻市	雄勝町名振							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				名振秋葉神社氏子会	1994/11/29																							
42021		宮城県石巻市	寺崎の法印神楽	テラサキノホウインカグラ		Terasaki Hoin Kagura	県指定無形民俗文化財	芸能		42021		宮城県石巻市桃生町寺崎	宮城県	石巻市	桃生町寺崎							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				寺崎の法印神楽保存会	1973/11/6																							
42021		宮城県石巻市	樫崎法印神楽	カシザキホウインカグラ		Kashizaki Hoin Kagura	県指定無形民俗文化財	芸能		42021		宮城県石巻市桃生町樫崎	宮城県	石巻市	桃生町樫崎							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				樫崎法印神楽保存会	1990/1/26																							
42021		宮城県石巻市	木造聖観音立像	モクゾウショウカンノンリュウゾウ		Wooden Sho-Kannon Standing Statue	県指定有形文化財	美術工芸品	常春寺潮音堂	42021		宮城県石巻市網地浜網地	宮城県	石巻市	網地浜網地							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				常春寺	1962/6/28																							
42021		宮城県石巻市	持福音観音堂	ジフクインカンノンドウ		Jifuku-in Kannon-do Temple	県指定有形文化財	建造物	陽山寺	42021		宮城県石巻市給分浜後山	宮城県	石巻市	給分浜後山							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				陽山寺	1998/7/31																							
42021		宮城県石巻市	寺崎のはねこ踊	テラサキノハネコオドリ		Terasaki Haneko Odori	県指定無形民俗文化財	芸能		42021		宮城県石巻市桃生町寺崎	宮城県	石巻市	桃生町寺崎							(0225)95-1111	5056	islstudy@city.ishinomaki.lg.jp			9868501				寺崎はねこ踊り保存会	2009/4/28																							
