全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
042129,0000000001,宮城県登米市,旧登米高等尋常小学校校舎,キュウトヨマコウトウジンジョウショウガッコウコウシャ,教育資料館,,重要文化財,建造物,,042129,,宮城県登米市登米町寺池桜小路6,宮城県,登米市,登米町寺池桜小路,6,,38.655333,141.279829,階数,2,0220-52-2496,,,,,987-0702,1,棟,'1000020042129,登米市,'1981-06-05,月火水木金土日,09:00,16:30,12/31～1/3は休業,,,1888（明治21）年に建てられた小学校校舎。,,1888（明治21）年に建てられた小学校校舎で、コの字型木造2階建・瓦葺である。校舎正面に吹抜け式玄関があり、その2階はバルコニーになっている。廊下は吹抜けで欄干を持つ。校舎の両翼先端に、六角形を半分にした形状の生徒用昇降口がある。明治期の学校建築の特徴を残している。,,,
042129,0000000002,宮城県登米市,旧登米警察署庁舎,キュウトメケイサツショチョウシャ,警察資料館,,県指定重要有形文化財,建造物,,042129,,宮城県登米市登米町寺池中町3,宮城県,登米市,登米町寺池中町,3,,38.651337,141.281224,階数,2,0220-52-2595,,,,,987-0702,1,棟,'1000020042129,登米市,'1988-08-26,月火水木金土日,09:00,16:30,12/31～1/3は休業,,,1889（明治22）年に建てられた警察署庁舎。,,1889（明治22）年に建てられた警察署庁舎。木造2階建の寄棟瓦葺で、外壁は板張りペンキ塗りである。明治中期の擬洋風建築として貴重なものである。,,,
042129,0000000003,宮城県登米市,旧水沢県庁庁舎,キュウミズサワケンチョウチョウシャ,水沢県庁記念館,,市指定有形文化財,建造物,,042129,,宮城県登米市登米町寺池桜小路1,宮城県,登米市,登米町寺池桜小路,1,,38.654252,141.280795,階数,1,0220-52-2160,,,,,987-0702,1,棟,'1000020042129,登米市,'1976-05-27,月火水木金土日,09:00,16:30,12/28～1/4は休業,,,1872（明治5）年に落成した県庁舎。,,はじめは登米県庁舎として着工されたが、落成から1875(明治8)年まで水沢県庁舎として使用された。その後は旧登米小学校校舎、旧治安裁判所庁舎、旧登米区裁判所として使われた。洋風の中に和風を取り入れた和洋折衷の様式である。,,,
042129,0000000004,宮城県登米市,旧鈴木家住宅,キュウスズキケジュウタク,春蘭亭,,市指定有形文化財,建造物,,042129,,宮城県登米市登米町寺池桜小路79,宮城県,登米市,登米町寺池桜小路,79,,38.653490,141.281278,階数,1,0220-52-2960,,,,,987-0702,1,棟,'1000020042129,登米市,'1989-09-29,月火水木金土日,09:00,16:30,12/28～1/4は休業,,,約400年以上前の武家屋敷である。,,春蘭亭は、この地に自生する春蘭の花を加工した「春蘭茶」を提供することから名づけられた。囲炉裏を囲んで春蘭茶や抹茶等が楽しめる。,,,
042129,0000000005,宮城県登米市,不老仙館,フロウセンカン,不老仙館,,市指定有形文化財,建造物,,042129,,宮城県登米市東和町米谷字秈荷65,宮城県,登米市,東和町米谷字秈荷,65,,38.706850,141.290279,階数,2,0220-42-2002,,,,,987-0902,1,棟,'1000020042129,登米市,'1972-10-13,火水木金土日,10:00,15:00,月が祝日の場合はその翌日休業、12/28～1/3は休業,,,第13代仙台藩主伊達慶邦の宿泊所で、1852（嘉永5）年建築。,,第13代仙台藩主伊達慶邦の宿泊所として、旧狼河原村（米川）に1852（嘉永5）年建築された。その後、1906（明治39）年から3年かけて現在の場所に移築された。玄関から西の2階建部分は1921（大正10）年に増築されたものである。,,,
042129,0000000006,宮城県登米市,仙台城二の丸屏風「錦鶏鳥図」半双,センダイジョウニノマルビョウブ「キンケイチョウズ」ハンソウ,,,市指定有形文化財,美術工芸品,登米市歴史博物館,042129,,宮城県登米市迫町佐沼字内町63-20,宮城県,登米市,迫町佐沼字内町,63-20,,38.693964,141.194889,,,0220-21-5411,,,,,987-0511,1,双,'1000020042129,登米市,'1978-02-01,火水木金土日,09:00,16:30,月が祝日の場合は翌日休業、年末年始休業,,,錦鶏鳥（アカキジ）が描かれた屏風。,,仙台城二の丸で使用されていた二曲半双の絵屏風で、亘理氏が高清水から佐沼に移封された際に伊達家から拝領したと伝えられている。,,,
042129,0000000007,宮城県登米市,安土桃山時代の食器一式,アヅチモモヤマジダイノショッキイッシキ,,,市指定有形文化財,美術工芸品,登米市歴史博物館,042129,,宮城県登米市迫町佐沼字内町63-20,宮城県,登米市,迫町佐沼字内町,63-20,,38.693964,141.194889,,,0220-21-5411,,,,,987-0511,1,式,'1000020042129,登米市,'1978-02-01,火水木金土日,09:00,16:30,月が祝日の場合は翌日休業、年末年始休業,,,佐沼亘理氏初代宗根の母である香の前が太閤豊臣秀吉から賜ったもの。,,香の前が豊臣秀吉から賜った食器で、盆５点、大中小の椀、、へら、これらを収める唐櫃からなる。蒔絵から安土桃山時代の漆工芸品と推察される。,,,
042129,0000000008,宮城県登米市,太刀一振,タチヒトフリ,,,市指定有形文化財,美術工芸品,登米市歴史博物館,042129,,宮城県登米市迫町佐沼字内町63-20,宮城県,登米市,迫町佐沼字内町,63-20,,38.693964,141.194889,,,0220-21-5411,,,,,987-0511,1,振,'1000020042129,登米市,'1984-09-20,火水木金土日,09:00,16:30,月が祝日の場合は翌日休業、年末年始休業,,,津田春康によって八幡神社に奉納された太刀。,,佐沼領主の津田春康によって、1691（元禄4）年8月15日に八幡神社に奉納された。刀長126.2cm、反り5.8cm。,,,
042129,0000000009,宮城県登米市,脇指（伊達綱宗慰打ち）,ワキザシ（ダテツナムネナグサミウチ）,,,市指定有形文化財,美術工芸品,登米懐古館,042129,,宮城県登米市登米町寺池桜小路72-6,宮城県,登米市,登米町寺池桜小路,'72-6,,38.655149,141.281599,,,0220-52-3578,,,,,987-0702,1,振,'1000020042129,登米市,'2015-03-23,月火水木金土日,09:00,16:30,12/28～1/4は休業,,,隠居した第3代仙台藩主伊達綱宗によって作られた刀。,,第3代仙台藩主伊達綱宗が隠居後に作った刀のうちの１振で、後に登米伊達家が仙台藩主から拝領したものと伝わる。,,,
042129,0000000010,宮城県登米市,太刀,タチ,,,市指定有形文化財,美術工芸品,登米懐古館,042129,,宮城県登米市登米町寺池桜小路72-6,宮城県,登米市,登米町寺池桜小路,'72-6,,38.655149,141.281599,,,0220-52-3578,,,,,987-0702,1,振,'1000020042129,登米市,'2015-03-23,月火水木金土日,09:00,16:30,12/28～1/4は休業,,,南北朝時代後期に作られた刀身と江戸時代初期の拵えからなる。,,南北朝時代後期の刀工「恒弘」作の生ぶ茎の刀身に贅を尽くした拵えが施された、仙台伊達家旧蔵の太刀である。,,,
042129,0000000011,宮城県登米市,脇指,ワキザシ,,,市指定有形文化財,美術工芸品,登米懐古館,042129,,宮城県登米市登米町寺池桜小路72-6,宮城県,登米市,登米町寺池桜小路,'72-6,,38.655149,141.281599,,,0220-52-3578,,,,,987-0702,1,振,'1000020042129,登米市,'2015-03-23,月火水木金土日,09:00,16:30,12/28～1/4は休業,,,2代将軍徳川秀忠から仙台伊達家が拝領した脇差である。,,平安時代末期～鎌倉時代初期に作られた太刀を磨り上げて作られた脇差である。拵えも上質の材料を使用して緻密に作られている。,,,
042129,0000000012,宮城県登米市,打刀拵,ウチガタナコシラエ,,,市指定有形文化財,美術工芸品,登米懐古館,042129,,宮城県登米市登米町寺池桜小路72-6,宮城県,登米市,登米町寺池桜小路,'72-6,,38.655149,141.281599,,,0220-52-3578,,,,,987-0702,1,振,'1000020042129,登米市,'2015-03-23,月火水木金土日,09:00,16:30,12/28～1/4は休業,,,仙台藩主の差料に付属する拵えである。,,幕府お抱えの金工であった後藤程乗による作で、伊達家の家紋の一つである縦三つ引両紋などが彫られている。,,,
042129,0000000013,宮城県登米市,洋剣合口拵,ヨウケンアイクチコシラエ,,,市指定有形文化財,美術工芸品,登米懐古館,042129,,宮城県登米市登米町寺池桜小路72-6,宮城県,登米市,登米町寺池桜小路,'72-6,,38.655149,141.281599,,,0220-52-3578,,,,,987-0702,1,振,'1000020042129,登米市,'2015-03-23,月火水木金土日,09:00,16:30,12/28～1/4は休業,,,江戸時代初期に製作された、洋剣に倣った拵えである。,,支倉常長が持ち帰った洋剣に倣って作られたものとされる。柄に十字マークがあり、キリシタン文化を偲ぶことができる文化財である。,,,
042129,0000000014,宮城県登米市,新井雙龍子玉英刀剣,アライソウリュウシタマヒデトウケン,,,市指定有形文化財,美術工芸品,登米懐古館,042129,,宮城県登米市登米町寺池桜小路72-6,宮城県,登米市,登米町寺池桜小路,'72-6,,38.655149,141.281599,,,0220-52-3578,,,,,987-0702,1,振,'1000020042129,登米市,'2005-01-26,月火水木金土日,09:00,16:30,12/28～1/4は休業,,,幕末期の中田町石森の刀工が作った刀,,中田町石森の刀工新井雙龍子藤原玉秀が1847（弘化4）年56歳の時に作った刀である。鍛冶場跡は今も残る。,,,
042129,0000000015,宮城県登米市,毛詩集疏十三巻,モウシシュウソジュウサンカン,,,市指定有形文化財,美術工芸品,登米市歴史博物館,042129,,宮城県登米市迫町佐沼字内町63-20,宮城県,登米市,迫町佐沼字内町,63-20,,38.693964,141.194889,,,0220-21-5411,,,,,987-0511,1,点,'1000020042129,登米市,'1978-03-28,火水木金土日,09:00,16:30,月が祝日の場合は翌日休業、年末年始休業,,,亘理家に献上された漢籍。,,亘理家の家老を務めた目々澤鉅鹿が著した漢籍で、亘理家に献上されたものである。,,,
042129,0000000016,宮城県登米市,東海漁唱一巻,トウカイギョショウイッカン,,,市指定有形文化財,美術工芸品,登米市歴史博物館,042129,,宮城県登米市迫町佐沼字内町63-20,宮城県,登米市,迫町佐沼字内町,63-20,,38.693964,141.194889,,,0220-21-5411,,,,,987-0511,1,巻,'1000020042129,登米市,'1978-03-28,火水木金土日,09:00,16:30,月が祝日の場合は翌日休業、年末年始休業,,,1815（文化12）年に編集された詩集,,文化12年に目々澤鉅鹿の弟子佐藤光遠によって編集された詩集,,,
042129,0000000017,宮城県登米市,仙台藩における享保改革時の関係文書,センダイハンニオケルキョウホウカイカクジノカンケイモンジョ,,,市指定有形文化財,美術工芸品,登米市歴史博物館,042129,,宮城県登米市迫町佐沼字内町63-20,宮城県,登米市,迫町佐沼字内町,63-20,,38.693964,141.194889,,,0220-21-5411,,,,,987-0511,1,点,'1000020042129,登米市,'1972-08-28,火水木金土日,09:00,16:30,月が祝日の場合は翌日休業、年末年始休業,,,仙台藩における享保改革時の関係文書,,,,,
042129,0000000018,宮城県登米市,黄門君親翰,コウモンクンシンカン,,,市指定有形文化財,美術工芸品,登米懐古館,042129,,宮城県登米市登米町寺池桜小路72-6,宮城県,登米市,登米町寺池桜小路,'72-6,,38.655149,141.281599,,,0220-52-3578,,,,,987-0702,1,点,'1000020042129,登米市,'1978-09-26,月火水木金土日,09:00,16:30,12/28～1/4は休業,,,登米伊達家に伝わる伊達政宗書状を巻物に収めたもの。,,登米伊達家では白石宗実・宗直宛ての伊達政宗書状は2巻に表装されていたとされ、この資料はそのうちの1巻である。主に宗実宛ての書状が27通収められている。資料名の黄門とは中納言の唐名であり、政宗の最終官職が権中納言だったことから、政宗のことを意味する。,,,
042129,0000000019,宮城県登米市,伊達政宗筆　古歌「咲時ハ」,ダテマサムネヒツ　コカ「サクトキハ」,,,市指定有形文化財,美術工芸品,登米懐古館,042129,,宮城県登米市登米町寺池桜小路72-6,宮城県,登米市,登米町寺池桜小路,'72-6,,38.655149,141.281599,,,0220-52-3578,,,,,987-0702,1,点,'1000020042129,登米市,'2015-03-23,月火水木金土日,09:00,16:30,12/28～1/4は休業,,,伊達政宗の書いた古歌に、伊達政宗の肖像を描き添えたものである。,,肖像は狩野探幽、賛は江月宗玩によるもので、政宗没後の間もないころに加えられたと考えられる。、,,,
042129,0000000020,宮城県登米市,佐沼城跡中の板碑一基,サヌマジョウアトチュウノイタビイッキ,,,市指定有形文化財,美術工芸品,鹿ヶ城公園,042129,,宮城県登米市迫町佐沼字内町12,宮城県,登米市,迫町佐沼字内町,12,,38.694818,141.196176,,,,,,,,987-0511,1,基,'1000020042129,登米市,'1978-02-01,月火水木金土日,,,,,,1191（建久2）年建立と推察される板碑。,,阿弥陀如来を表す梵字がある板碑で、登米郡内では最も古い部類に入る。,,,
042129,0000000021,宮城県登米市,戊辰の役登米藩士起請文,ボシンノエキトヨマハンシキショウモン,,,市指定有形文化財,美術工芸品,登米懐古館,042129,,宮城県登米市登米町寺池桜小路72-6,宮城県,登米市,登米町寺池桜小路,'72-6,,38.655149,141.281599,,,0220-52-3578,,,,,987-0702,1,点,'1000020042129,登米市,'1978-09-26,月火水木金土日,09:00,16:30,12/28～1/4は休業,,,戊辰戦争に従軍した登米伊達家家中による起請文,,戊辰戦争に従軍した登米伊達家家中404名の起請文で、氏名・花押・血判が押されている。,,,
042129,0000000022,宮城県登米市,太政官高札,ダジョウカンコウサツ,,,市指定有形文化財,美術工芸品,平筒沼農村文化自然学習館,042129,,宮城県登米市豊里町久寿田64-1,宮城県,登米市,豊里町久寿田,'64-1,,38.610017,141.239102,,,0225-76-0071,,,,,987-0351,1,点,'1000020042129,登米市,'1995-02-27,火水木金土日,10:00,16:00,年末年始は休業,,,,,,,,
042129,0000000023,宮城県登米市,カマ神,カマガミ,,,県指定有形民俗文化財,,平筒沼農村文化自然学習館,042129,,宮城県登米市豊里町久寿田64-1,宮城県,登米市,豊里町久寿田,'64-1,,38.610017,141.239102,,,0225-76-0071,,,,,987-0351,20,点,'1000020042129,登米市,'1985-05-24,火水木金土日,10:00,16:00,年末年始は休業,,,火難除け・魔除け・家内繁盛を願って飾ったもの。,,土製で、目の部分にアワビの貝殻を用いたものもある。台所の柱や竃の上などに外をにらむように飾っていた。,,,
042129,0000000024,宮城県登米市,天文五郎兵衛関係資料,テンモンゴロベエカンケイシリョウ,,,市指定有形文化財,美術工芸品,登米市歴史博物館,042129,,宮城県登米市迫町佐沼字内町63-20,宮城県,登米市,迫町佐沼字内町,63-20,,38.693964,141.194889,,,0220-21-5411,,,,,987-0511,4,点,'1000020042129,登米市,'2023-08-25,火水木金土日,09:00,16:30,月が祝日の場合は翌日休業、年末年始休業,,,江戸時代の天文学に関係する資料,,江戸時代、寺池村に住んでいた佐藤五郎兵衛が学んだ天文学に関係する資料である。『渾天儀』、『潮汐天地儀盤』、『黒印の許状』、『春海先生実記』の４件からなる。,,,
042129,0000000025,宮城県登米市,旧亘理家住宅主屋,キュウワタリケジュウタクオモヤ,,,国登録有形文化財,建造物,旧亘理邸,042129,,宮城県登米市迫町佐沼字内町12,宮城県,登米市,迫町佐沼字内町,12,,38.694646,141.194422,階数,1,0220-21-5411,,,,,987-0511,1,棟,'1000020042129,登米市,'2024-12-03,火水木金土日,09:00,16:30,月が祝日の場合は翌日休業、年末年始休業,,,仙台藩佐沼要害の旧要害主である佐沼亘理家の住宅主や,,平屋建て寄棟造りの茅葺きで、南面西寄りに入母屋造りの屋根玄関を付す。玄関の西側は土間と板の間、東側は畳敷きの３部屋が続き間となっており、南に広がる庭を望める。床廻りに良質なケヤキを用いた洗練されたつくりの和風住宅である。,,,
042129,0000000026,宮城県登米市,旧亘理家住宅茶室,キュウワタリケジュウタクチャシツ,,,国登録有形文化財,建造物,旧亘理邸,042129,,宮城県登米市迫町佐沼字内町12,宮城県,登米市,迫町佐沼字内町,12,,38.694613,141.194594,階数,1,0220-21-5411,,,,,987-0511,1,棟,'1000020042129,登米市,'2024-12-03,月火水木金土日,,,,,,仙台藩佐沼要害の旧要害主である佐沼亘理家の住宅茶室,,主屋の南東に接続する茶室。屋根は寄棟造りの茅葺き。内部は六畳一室で、東面南寄りに床の間を設け、西面北寄りに茶道口を設ける。南庭に面した西側と南側に半間幅の縁がめぐる開放的なつくりの茶室。,,,
