都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
4215,1,宮城県,大崎市,木造千手観音坐像附木造不動明王毘沙門天立像,モクゾウセンジュカンノンザゾウツケタリモクゾウフドウミョウオウビシャモンテンリュウゾウ,,,重要文化財,美術工芸品,大崎市田尻総合支所,宮城県大崎市田尻沼部,,,,,,3,軀,,お薬師様文化財保存会（管理団体大崎市）,2017/9/15,火水木金土日,9:00,16:00,毎週月曜日は非公開日(祝日の場合は翌日)12/29、12/30、12/31、1/1、1/2、1/3は非公開日,,,,,,,,
4215,2,宮城県,大崎市,山畑横穴群,ヤマハタヨコアナグン,,,国指定史跡名勝天然記念物,史跡,,宮城県大崎市三本木蟻ヶ袋,,,,,,,,,大崎市,1973/12/15,,,,,,,,,,,,
4215,3,宮城県,大崎市,木戸瓦窯跡,キドカワラカマアト,,,国指定史跡名勝天然記念物,史跡,,宮城県大崎市田尻沼部,,,,,,,,,大崎市,1976/3/16,,,,,,,,,,,,
4215,4,宮城県,大崎市,大吉山瓦窯跡,ダイキチヤマカワラカマアト,,,国指定史跡名勝天然記念物,史跡,,宮城県大崎市古川小林,,,,,,,,,大崎市,1976/3/31,,,,,,,,,,,,
4215,5,宮城県,大崎市,宮沢遺跡,ミヤザワイセキ,,,国指定史跡名勝天然記念物,史跡,,宮城県大崎市古川宮沢ほか,,,,,,,,,大崎市,1976/7/13,,,,,,,,,,,,文化財指定日は愛宕山地区の指定。長者原地区は1989/8/14に指定。
4215,6,宮城県,大崎市,名生館官衙遺跡,ミョウダテカンガイセキ,,,国指定史跡名勝天然記念物,史跡,,宮城県大崎市古川大崎,,,,,,,,,大崎市ほか,1987/8/17,,,,,,,,,,,,
4215,7,宮城県,大崎市,中沢目貝塚,ナカザワメカイヅカ,,,国指定史跡名勝天然記念物,史跡,,宮城県大崎市田尻蕪栗,,,,,,,,,大崎市,1988/10/14,,,,,,,,,,,,
4215,8,宮城県,大崎市,陸奥上街道,ムツカミカイドウ,,,国指定史跡名勝天然記念物,史跡,,宮城県大崎市岩出山葛岡ほか,,,,,,,,,大崎市ほか,1990/2/22,,,,,,,,,,,,
4215,9,宮城県,大崎市,出羽仙台街道中山越,デワセンダイカイドウナカヤマゴエ,,,国指定史跡名勝天然記念物,史跡,,宮城県大崎市鳴子温泉尿前ほか,,,,,,,,,大崎市ほか,1990/2/22,,,,,,,,,,,,
4215,10,宮城県,大崎市,旧有備館および庭園,キュウユウビカンオヨビテイエン,,,国指定史跡名勝天然記念物,史跡・名勝,,宮城県大崎市岩出山字上川原町ほか,,,,,,,,,大崎市ほか,1933/2/28,火水木金土日,9:00,17:00,毎週月曜日は休館(祝日の場合は翌日)12/29、12/30、12/31、1/1、1/2、1/3は休館_最終入館16：30,,,,,,,https://yubikan.jp/top.html,1972/5/26に追加指定され，指定範囲が拡大。
4215,11,宮城県,大崎市,鬼首の雌釜、および雄釜間歇温泉,オニコウベノメガマオヨビオガマカンケツオンセン,,,国指定史跡名勝天然記念物,天然記念物,,宮城県大崎市鳴子温泉鬼首,,,,,,,,,農林水産省(宮城北部森林管理署),1933/4/13,,,,,,,,,,,,1952/3/29に特別指定
4215,12,宮城県,大崎市,衹劫寺のコウヤマキ,ギコウジノコウヤマキ,,,国指定史跡名勝天然記念物,天然記念物,衹劫寺,宮城県大崎市田尻大貫,,,,,,,,,衹劫寺,1976/7/26,,,,,,,,,,,,
4215,13,宮城県,大崎市,茂庭家霊屋（附石灯籠）,モニワケオタマヤツケタリイシトウロウ,,,県指定有形文化財,建造物,石雲寺,宮城県大崎市松山千石,,,,,,1,基,,石雲寺,1986/5/13,,,,,,,,,,,,
4215,14,宮城県,大崎市,須江家住宅附棟門・塀中門・土地,スエケジュウタクツケタリムネモン　ヘイチュウモン　トチ,,,県指定有形文化財,建造物,,宮城県大崎市岩出山上野目,,,,,,3,棟,,個  人,2001/6/29,,,,,,,,,,,,非公開
