全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像ライセンス,備考
42099,BB0420990001,宮城県多賀城市,多賀城跡附寺跡,タガジョウアトツケタリテラアト,,,史跡,,多賀城跡,42099,,宮城県多賀城市市川等,宮城県,多賀城市,,,,,,,,022-368-5094,,bunkazai@city.tagajo.miyagi.jp,,,,,,,多賀城市,1922/10/12,,,,,,,,,,,,,,,,,,,,,,,
42099,BB0420990002,宮城県多賀城市,白長覆輪太刀,シロナガフクリンタチ,,,国指定重要文化財,,東北歴史博物館,42099,,宮城県多賀城市高崎１丁目２２-１,宮城県,多賀城市,,,,,,,,022-368-5094,,bunkazai@city.tagajo.miyagi.jp,,,,1,口,,宮城県,1939/5/27,,,,,,,,,,,,,,,,,,,,,,,
42099,BB0420990003,宮城県多賀城市,埴輪武装男子半身像,ハニワブソウダンシハンシンゾウ,,,国指定重要文化財,,東北歴史博物館,42099,,宮城県多賀城市高崎１丁目２２-１,宮城県,多賀城市,,,,,,,,022-368-5094,,bunkazai@city.tagajo.miyagi.jp,,,,1,躯,,宮城県,1940/5/3,,,,,,,,,,,,,,,,,,,,,,,
42099,BB0420990004,宮城県多賀城市,硬玉製有孔玉器,コウギョクセイユウコウギョクキ,,,国指定重要文化財,,東北歴史博物館,42099,,宮城県多賀城市高崎１丁目２２-１,宮城県,多賀城市,,,,,,,,022-368-5094,,bunkazai@city.tagajo.miyagi.jp,,,,1,箇,,宮城県,1962/2/2,,,,,,,,,,,,,,,,,,,,,,,
42099,BB0420990005,宮城県多賀城市,硬玉製磨製石斧,コウギョクセイマセイセキフ,,,国指定重要文化財,,東北歴史博物館,42099,,宮城県多賀城市高崎１丁目２２-１,宮城県,多賀城市,,,,,,,,022-368-5094,,bunkazai@city.tagajo.miyagi.jp,,,,1,箇,,宮城県,1973/6/6,,,,,,,,,,,,,,,,,,,,,,,
42099,BB0420990006,宮城県多賀城市,南安楽寺古碑群,ミナミアンラクジコヒグン,,,市指定史跡,,多賀城市新田字南安楽寺,42099,,宮城県多賀城市新田字南安楽寺,宮城県,多賀城市,,,,,,,,022-368-5094,,bunkazai@city.tagajo.miyagi.jp,,,,8,基,,多賀城市,1973/12/18,,,,,,,,,,,,,,,,,,,,,,,
42099,BB0420990007,宮城県多賀城市,伏石,フセイシ,,,市指定史跡,,多賀城跡内,42099,,宮城県多賀城市市川字坂下,宮城県,多賀城市,,,,,,,,022-368-5094,,bunkazai@city.tagajo.miyagi.jp,,,,1,基,,個人,1973/12/18,,,,,,,,,,,,,,,,,,,,,,,
42099,BB0420990008,宮城県多賀城市,カマ神,カマガミ,,,県指定有形民俗文化財,,東北歴史博物館,42099,,宮城県多賀城市高崎１丁目２２-１,宮城県,多賀城市,,,,,,,,022-368-5094,,bunkazai@city.tagajo.miyagi.jp,,,,8,体,,宮城県,1985/5/24,,,,,,,,,,,,,,,,,,,,,,,
42099,BB0420990009,宮城県多賀城市,今野家住宅母屋及び中門,コンノケジュウタクオモヤオヨビチュウモン,,,県指定建造物,,東北歴史博物館,42099,,宮城県多賀城市高崎１丁目２２-１,宮城県,多賀城市,,,,,,,,022-368-5094,,bunkazai@city.tagajo.miyagi.jp,,,,2,棟,,宮城県,1996/12/28,,,,,,,,,,,,,,,,,,,,,,,
42099,BB0420990010,宮城県多賀城市,多賀城碑,タガジョウヒ,,,国宝,,多賀城跡,42099,,宮城県多賀城市市川字田屋場,宮城県,多賀城市,,,,,,,,022-368-5094,,bunkazai@city.tagajo.miyagi.jp,,,,1,基,,文化庁,1998/6/30,,,,,,,,,,,,,,,,,,,,,,,
