全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像ライセンス,備考
042145,,宮城県東松島市,松島,マツシマ,,,特別名勝,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,里浜貝塚,サトハマカイヅカ,,,史跡,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,赤井官衙遺跡群,アカイカンガイセキグン,,,史跡,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,月浜のえんずのわり,ツキハマノエンズノワリ,,,重要無形民俗文化財,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,平田原貝塚,ヘダハラカイヅカ,,,県指定史跡,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,新山神社の姥杉,ニイヤマジンジャノウバスギ,,,県指定天然記念物,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,月観の松,ツキミノマツ,,,県指定天然記念物,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,醫王寺薬師堂,イオウジヤクシドウ,,,市指定有形文化財,建造物,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,木造薬師三尊、不動明王・毘沙門天立像並びに十二神将立像,モクゾウヤクシサンゾン、フドウミョウオウ・ビシャモンテンリュウゾウナラビニジュウニシンショウリュウゾウ,,,市指定有形文化財,彫刻,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,木造毘沙門天立像,モクゾウビシャモンテンリュウゾウ,,,市指定有形文化財,彫刻,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,大塚不動尊梵鐘,オオツカフドウソンボンショウ,,,市指定有形文化財,工芸品,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,建治二年板碑,ケンジニネンイタビ,,,市指定有形文化財,歴史資料,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,天保八年三界万霊供養碑,テンポウハチネンサンガイバンレイクヨウヒ,,,市指定有形文化財,歴史資料,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,東齋塩場の碑,トウサイエンバノヒ,,,市指定有形文化財,歴史資料,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,正和四年板碑,ショウワヨネンイタビ,,,市指定有形文化財,歴史資料,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,小野道しるべ石,オノミチシルベイシ,,,市指定有形文化財,歴史資料,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,上下堤道しるべ石,ジョウゲツツミミチシルベイシ,,,市指定有形文化財,歴史資料,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,文永十年板碑,ブンエイジュウネンイタビ,,,市指定有形文化財,歴史資料,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,阿弥陀三尊種子板碑,アミダサンゾンシュジイタビ,,,市指定有形文化財,歴史資料,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,阿弥陀三尊来迎図像板碑,アミダサンゾンライゴウズゾウイタビ,,,市指定有形文化財,歴史資料,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,日本最初の世界周航者　多十郎の墓碑,ニホンサイショノセカイシュウコウシャ　タジュウロウノボヒ,,,市指定有形文化財,歴史資料,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,日本最初の世界周航者　多十郎の服,ニホンサイショノセカイシュウコウシャ　タジュウロウノフク,,,市指定有形文化財,歴史資料,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,立石水門改築記碑,タテイシスイモンカイチクキヒ,,,市指定有形文化財,歴史資料,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,石棒,セキボウ,,,市指定有形文化財,考古資料,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,革帯,カクタイ,,,市指定有形文化財,考古資料,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,大曲浜獅子舞,オオマガリハマシシマイ,,,市指定無形民俗文化財,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,鹿妻の鹿踊,カヅマノシシオドリ,,,市指定無形民俗文化財,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,餅田貝塚,モチタカイヅカ,,,市指定史跡,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,小分木貝塚,コブギカイヅカ,,,市指定史跡,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,矢本館跡,ヤモトタテアト,,,市指定史跡,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,小野館跡,オノタテアト,,,市指定史跡,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,野蒜築港中央公園跡,ノビルチッコウチュウオウコウエンアト,,,市指定史跡,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,大塩小学校の高野槙,オオシオショウガッコウノコウヤマキ,,,市指定天然記念物,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,滝不動尊の欅,タキフドウソンノケヤキ,,,市指定天然記念物,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,むろの木,ムロノキ,,,市指定天然記念物,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,高松寺のイチョウ,コウショウジノイチョウ,,,市指定天然記念物,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,醫王寺のカヤ,イオウジノカヤ,,,市指定天然記念物,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,醫王寺のイチョウ,イオウジノイチョウ,,,市指定天然記念物,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,定林寺のイチョウ,ジョウリンジノイチョウ,,,市指定天然記念物,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042145,,宮城県東松島市,宮戸島のセッコク,ミヤトジマノセッコク,,,市指定天然記念物,,,,,宮城県東松島市,宮城県,東松島市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
