全国地方公共団体コード,ID,地方公共団体名,名称,名称＿カナ,名称＿通称,名称＿英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,概要,概要_英語,説明,説明_英語,URL,備考
44016,BB0440160001,宮城県松島町,瑞巌寺本堂（附御成玄関）,ズイガンジホンドウ（ツケタリオナリゲンカン）,,,国宝,建造物,,44016,,宮城県宮城郡松島町松島字町内,宮城県,松島町,松島字町内,,,38.3721014,141.0598219,,,,,,,,,1,棟,2370605000273 ,宗教法人瑞巌寺,1953/3/31,,8:30,,終了時間は季節により変更,,,,,,"https://www.town.miyagi-matsushima.lg.jp/index.cfm/9,0,55,html",
44016,BB0440160002,宮城県松島町,瑞巌寺庫裏及び廊下,ズイガンジクリオヨビロウカ,,,国宝,建造物,,44016,,宮城県宮城郡松島町松島字町内,宮城県,松島町,松島字町内,,,38.37222547,141.0602913,,,,,,,,,2,棟,2370605000273 ,宗教法人瑞巌寺,1959/6/27,,8:30,,終了時間は季節により変更,,,,,,"https://www.town.miyagi-matsushima.lg.jp/index.cfm/9,0,56,html",
44016,BB0440160003,宮城県松島町,瑞巌寺御成門,ズイガンジオナリモン,,,重要文化財,建造物,,44016,,宮城県宮城郡松島町松島字町内,宮城県,松島町,松島字町内,,,38.37179438,141.0599506,,,,,,,,,1,棟,2370605000273 ,宗教法人瑞巌寺,1956/6/28,,8:30,,終了時間は季節により変更,,,,,,"https://www.town.miyagi-matsushima.lg.jp/index.cfm/9,0,57,html",
44016,BB0440160004,宮城県松島町,瑞巌寺中門,ズイガンジチュウモン,,,重要文化財,建造物,,44016,,宮城県宮城郡松島町松島字町内,宮城県,松島町,松島字町内,,,38.37199205,141.0600579,,,,,,,,,1,棟,2370605000273 ,宗教法人瑞巌寺,1956/6/28,,8:30,,終了時間は季節により変更,,,,,,"https://www.town.miyagi-matsushima.lg.jp/index.cfm/9,0,58,html",
44016,BB0440160005,宮城県松島町,円通院霊屋,エンツウインオタマヤ,,,重要文化財,建造物,,44016,,宮城県宮城郡松島町松島字町内,宮城県,松島町,松島字町内,,,38.37121399,141.058741,,,,,,,,,1,棟,9370605000267 ,宗教法人円通院,1985/5/18,,9:00,16:00,,,,,,,"https://www.town.miyagi-matsushima.lg.jp/index.cfm/9,0,59,html",
44016,BB0440160006,宮城県松島町,陽徳院霊屋,ヨウトクインオタマヤ,,,重要文化財,建造物,,44016,,宮城県宮城郡松島町松島字町内,宮城県,松島町,松島字町内,,,38.37318646,141.0601464,,,,,,,,,1,棟,8370605000284 ,宗教法人陽徳院,2012/7/9,,,,,,,,,,"https://www.town.miyagi-matsushima.lg.jp/index.cfm/9,0,60,html",
44016,BB0440160007,宮城県松島町,瑞巌寺五大堂,ズイガンジゴダイドウ,,,重要文化財,建造物,,44016,,宮城県宮城郡松島町松島字町内,宮城県,松島町,松島字町内,,,"38.36976195033015,",141.0642274,,,,,,,,,1,棟,2370605000273 ,宗教法人瑞巌寺,1950/8/29,,,,,,,,,,"https://www.town.miyagi-matsushima.lg.jp/index.cfm/9,0,61,html",
44016,BB0440160008,宮城県松島町,木造五大明王像,モクゾウゴダイミョウオウゾウ,,,重要文化財,美術美術工芸品,瑞巌寺宝物館,44016,,宮城県宮城郡松島町松島字町内,宮城県,松島町,松島字町内,,,"38.36976195033015,",141.0642274,,,,,,,,,5,躯,2370605000273 ,宗教法人瑞巌寺,1995/6/15,,,,,,,,,,"https://www.town.miyagi-matsushima.lg.jp/index.cfm/9,0,62,html",
44016,BB0440160009,宮城県松島町,瑞巌寺本堂障壁画,ズイガンジホンドウショウヘキガ,,,重要文化財,美術工芸品,瑞巌寺宝物館,44016,,宮城県宮城郡松島町松島字町内,宮城県,松島町,松島字町内,,,38.37192462,141.0607632,,,,,,,,,161,面,2370605000273 ,宗教法人瑞巌寺,1980/6/6,,,,,,,,,,"https://www.town.miyagi-matsushima.lg.jp/index.cfm/9,0,63,html",
44016,BB0440160010,宮城県松島町,観瀾亭障壁画,カンランテイショウヘキガ,,,重要文化財,美術工芸品,瑞巌寺宝物館,44016,,宮城県宮城郡松島町松島字町内,宮城県,松島町,松島字町内,,,38.36937172,141.0617529,,,,,,,,,21,面,3000020044016 ,松島町,1980/6/6,,,,,,,,,,"https://www.town.miyagi-matsushima.lg.jp/index.cfm/9,0,64,html",
