都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
42111,1,宮城県,岩沼市,「おくのほそ道の風景地」武隈の松,「オクノホソミチノフウケイチ」タケクマノマツ,,,国指定記念物,名勝,,宮城県岩沼市二木二丁目,,,,,,,,,岩沼市,2014/3/18,,,,,,,,,,,https://www.city.iwanuma.miyagi.jp/kanko/bunkazai/shitei-ichiran.html,
42111,2,宮城県,岩沼市,かめ塚古墳,カメヅカコフン,,,県指定記念物,史跡,,宮城県岩沼市字亀塚,,,,,,,,,岩沼市,1950/9/25,,,,,,,,,,,https://www.city.iwanuma.miyagi.jp/kanko/bunkazai/shitei-ichiran.html,
42111,3,宮城県,岩沼市,竹駒神社唐門,タケコマジンジャカラモン,,,県指定有形文化財,建造物,,宮城県岩沼市稲荷町,,,,,,,,,竹駒神社,2019/2/15,,,,,,,,,,,https://www.city.iwanuma.miyagi.jp/kanko/bunkazai/shitei-ichiran.html,
42111,4,宮城県,岩沼市,米づくりの額・藍づくりの額,コメヅクリノガク・アイヅクリノガク,,,市指定有形文化財,絵画,,宮城県岩沼市下野郷字上中筋,,,,,,,,,愛宕神社,1973/3/27,,,,,,,,,,,https://www.city.iwanuma.miyagi.jp/kanko/bunkazai/shitei-ichiran.html,
42111,5,宮城県,岩沼市,竹駒神社楼門（随身門）,タケコマジンジャロウモン（ズイシンモン）,,,市指定有形文化財,建造物,,宮城県岩沼市稲荷町,,,,,,,,,竹駒神社,1990/5/11,,,,,,,,,,,https://www.city.iwanuma.miyagi.jp/kanko/bunkazai/shitei-ichiran.html,
42111,6,宮城県,岩沼市,竹駒神社境内三社（愛宕神社・八幡神社・総社宮）,タケコマジンジャケイダイサンシャ（アタゴジンジャ・ハチマンジンジャ・ソウジャノミヤ）,,,市指定有形文化財,建造物,,宮城県岩沼市稲荷町,,,,,,,,,竹駒神社,2020/2/13,,,,,,,,,,,https://www.city.iwanuma.miyagi.jp/kanko/bunkazai/shitei-ichiran.html,
42111,7,宮城県,岩沼市,竹駒奴,タケコマヤッコ,,,市指定無形民俗文化財,民俗芸能,,宮城県岩沼市,,,,,,,,,竹駒奴奉仕講,1969/5/29,,,,,,,,,,,https://www.city.iwanuma.miyagi.jp/kanko/bunkazai/shitei-ichiran.html,
42111,8,宮城県,岩沼市,二木の松（武隈の松）,フタキノマツ（タケクマノマツ）,,,市指定記念物,天然記念物,,宮城県岩沼市二木二丁目,,,,,,,,,岩沼市,1969/5/29,,,,,,,,,,,https://www.city.iwanuma.miyagi.jp/kanko/bunkazai/shitei-ichiran.html,
42111,9,宮城県,岩沼市,竹駒神社馬事博物館,タケコマジンジャバジハクブツカン,,,国登録有形文化財,建造物,,宮城県岩沼市稲荷町,,,,,,,,,竹駒神社,2021/10/14,,,,,,,,,,,https://www.city.iwanuma.miyagi.jp/kanko/bunkazai/shitei-ichiran.html,
42111,10,宮城県,岩沼市,日本基督教団岩沼教会,ニホンキリストキョウダンイワヌマキョウカイ,,,国登録有形文化財,建造物,,宮城県岩沼市桜二丁目,,,,,,,,,岩沼教会,2024/8/15,,,,,,,,,,,https://www.city.iwanuma.miyagi.jp/kanko/bunkazai/shitei-ichiran.html,
42111,11,宮城県,岩沼市,伊達政宗騎馬石膏像,ダテマサムネキバセッコウゾウ,,,市指定有形文化財,彫刻,,宮城県岩沼市稲荷町,,,,,,,,,竹駒神社,2025/3/6,,,,,,,,,,,https://www.city.iwanuma.miyagi.jp/kanko/bunkazai/shitei-ichiran.html,
