pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
長野県,阿南町,早稲田神社の大杉,記念物(史跡・名勝・天然記念物),天然記念物,町指定,1977-07-21,,通し番号11,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0004
長野県,阿南町,公孫樹,記念物(史跡・名勝・天然記念物),天然記念物,町指定,1977-07-21,,通し番号12,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0001
長野県,阿南町,関昌寺寺叢,記念物(史跡・名勝・天然記念物),天然記念物,町指定,1977-07-21,,通し番号13,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0007
長野県,阿南町,関昌寺燈籠,有形文化財,有形文化財,町指定,1977-07-21,,通し番号14,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0008
長野県,阿南町,古城八幡社の神像,有形文化財,有形文化財,町指定,1985-01-23,,通し番号15,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0010
長野県,阿南町,早稲田観音堂の薬師如来像,有形文化財,有形文化財,町指定,1985-01-23,,通し番号16,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0013
長野県,阿南町,早稲田観音堂の十王像,有形文化財,有形文化財,町指定,1985-01-23,,通し番号17,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0012
長野県,阿南町,瑞光院古鐘,有形文化財,有形文化財,町指定,1977-07-21,,通し番号18,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0005
長野県,阿南町,早稲田神社の一括出土銭と甕,有形文化財,有形文化財,町指定,2015-01-26,,通し番号19,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0014
長野県,阿南町,北條三郷神社の本殿,有形文化財,有形文化財,町指定,2019-09-01,,通し番号20,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0015
長野県,阿南町,和合熊野社の本殿,有形文化財,有形文化財,町指定,2019-09-01,,通し番号21,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0016
長野県,阿南町,和知野の役行者像,有形文化財,有形文化財,町指定,2021-05-25,,通し番号22,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0017
長野県,阿南町,行者山の役行者像,有形文化財,有形文化財,町指定,2021-05-25,,通し番号23,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0018
長野県,阿南町,関昌寺山門,有形文化財,有形文化財,町指定,2023-03-23,,通し番号24,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0020
長野県,阿南町,関昌寺の薬師如来坐像,有形文化財,有形文化財,町指定,2023-03-23,,通し番号25,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0019
長野県,阿南町,上栗の塚,記念物(史跡・名勝・天然記念物),史跡,町指定,1985-01-23,,通し番号26,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0009
長野県,阿南町,種田塚,記念物(史跡・名勝・天然記念物),史跡,町指定,1977-07-21,,通し番号27,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0006
長野県,阿南町,大畑の塚,記念物(史跡・名勝・天然記念物),史跡,町指定,1985-01-23,,通し番号28,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0011
長野県,阿南町,帯川関所跡,記念物(史跡・名勝・天然記念物),史跡,町指定,1977-07-21,,通し番号29,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0002
長野県,阿南町,心川関所跡,記念物(史跡・名勝・天然記念物),史跡,町指定,1977-07-21,,通し番号30,http://www.town.anan.nagano.jp/anan_town/bunkazai/,html,2026-07-12T04:28:28Z,JMH-204048-0003
長野県,青木村,東山道浦野駅跡（トウサンドウウラノウマヤアト）,記念物(史跡・名勝・天然記念物),史跡,村指定,1979-04-01,青木村当郷,史跡、製作年代:平安時代初期、所有者:当郷区,http://www.vill.aoki.nagano.jp/kyouikuinkai/bunkazai.html,html,2026-07-12T04:28:08Z,JMH-203491-0010
長野県,青木村,塚穴古墳（ツカアナコフン）,記念物(史跡・名勝・天然記念物),史跡,村指定,1979-04-01,青木村村松原,史跡、員数:1基、製作年代:奈良時代、所有者:村松区,http://www.vill.aoki.nagano.jp/kyouikuinkai/bunkazai.html,html,2026-07-12T04:28:08Z,JMH-203491-0002
長野県,青木村,木造千手観音立像（モクゾウセンジュカンノンリユウゾウ）,有形文化財,美術工芸品（彫刻）,村指定,1979-04-01,青木村村松原,美術工芸品（彫刻）、員数:1躯、製作年代:藤原時代末期、所有者:村松区,http://www.vill.aoki.nagano.jp/kyouikuinkai/bunkazai.html,html,2026-07-12T04:28:08Z,JMH-203491-0009
長野県,青木村,文明五輪塔（ブンメイゴリントウ）,有形文化財,建造物(石造物）,村指定,1979-04-01,青木村夫神庚申山,建造物(石造物）、員数:2基、製作年代:文明16年、所有者:夫神区,http://www.vill.aoki.nagano.jp/kyouikuinkai/bunkazai.html,html,2026-07-12T04:28:08Z,JMH-203491-0007
長野県,青木村,諏訪社社殿（スワシャシャデン）,有形文化財,建造物,村指定,1979-04-01,青木村中挾,建造物、員数:1棟、製作年代:桃山時代、所有者:中挾区,http://www.vill.aoki.nagano.jp/kyouikuinkai/bunkazai.html,html,2026-07-12T04:28:08Z,JMH-203491-0014
