pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
長崎県,五島市,天満神社宝物,有形文化財,有形文化財,市指定,1968-04-01,五島市下大津町716番地1,指定番号1号,https://www.city.goto.nagasaki.jp/s009/010/040/010/020/20190424204533.html,html,2026-07-12T08:53:55Z,JMH-422118-0004
長崎県,五島市,武家屋敷松園邸,有形文化財,有形文化財,市指定,1992-06-24,五島市武家屋敷2丁目2番7号,指定番号2号,https://www.city.goto.nagasaki.jp/s009/010/040/010/020/20190424204533.html,html,2026-07-12T08:53:55Z,JMH-422118-0029
長崎県,五島市,五社神社の筥崎鳥居,有形文化財,有形文化財,市指定,1999-01-21,五島市上大津町（五社神社）,指定番号3号,https://www.city.goto.nagasaki.jp/s009/010/040/010/020/20190424204533.html,html,2026-07-12T08:53:55Z,JMH-422118-0031
長崎県,五島市,白浜徴氏筆犬の絵,有形文化財,有形文化財,市指定,1999-01-21,五島観光歴史資料館,指定番号4号,https://www.city.goto.nagasaki.jp/s009/010/040/010/020/20190424204533.html,html,2026-07-12T08:53:55Z,JMH-422118-0034
長崎県,五島市,佐藤一斎の手紙,有形文化財,有形文化財,市指定,1999-01-21,五島観光歴史資料館,指定番号5号,https://www.city.goto.nagasaki.jp/s009/010/040/010/020/20190424204533.html,html,2026-07-12T08:53:55Z,JMH-422118-0032
長崎県,五島市,坂部貞兵衛の手紙,有形文化財,有形文化財,市指定,2004-02-20,五島観光歴史資料館,指定番号6号,https://www.city.goto.nagasaki.jp/s009/010/040/010/020/20190424204533.html,html,2026-07-12T08:53:55Z,JMH-422118-0036
長崎県,五島市,富江五島家古文書,有形文化財,有形文化財,市指定,2010-03-26,五島市富江町富江165-1（富江支所内）,指定番号7号,https://www.city.goto.nagasaki.jp/s009/010/040/010/020/20190424204533.html,html,2026-07-12T08:53:55Z,JMH-422118-0039
長崎県,五島市,大宝寺奥の院五重の層塔,有形文化財,有形文化財,市指定,2010-03-26,五島市玉之浦町大宝631（大宝寺）,指定番号8号,https://www.city.goto.nagasaki.jp/s009/010/040/010/020/20190424204533.html,html,2026-07-12T08:53:55Z,JMH-422118-0038
長崎県,五島市,狩立オネオンデ踊,民俗文化財,無形民俗文化財,市指定,1975-08-18,五島市富江町狩立,指定番号9号,https://www.city.goto.nagasaki.jp/s009/010/040/010/020/20190424204533.html,html,2026-07-12T08:53:55Z,JMH-422118-0010
長崎県,五島市,山下オネオンデ踊,民俗文化財,無形民俗文化財,市指定,1975-08-18,五島市富江町山下,指定番号10号,https://www.city.goto.nagasaki.jp/s009/010/040/010/020/20190424204533.html,html,2026-07-12T08:53:55Z,JMH-422118-0009
