pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
奈良県,明日香村,飛鳥ホタル,記念物(史跡・名勝・天然記念物),天然記念物,村指定,,,,https://www.asukamura.jp/gyosei_bunkazai_about_shiteibunkazai.html,html,2026-07-12T06:42:56Z,JMH-294021-0005
奈良県,明日香村,南淵請安先生の墓,記念物(史跡・名勝・天然記念物),史跡,村指定,,,,https://www.asukamura.jp/gyosei_bunkazai_about_shiteibunkazai.html,html,2026-07-12T06:42:56Z,JMH-294021-0001
奈良県,明日香村,飛鳥川の飛び石,記念物(史跡・名勝・天然記念物),史跡,村指定,,,,https://www.asukamura.jp/gyosei_bunkazai_about_shiteibunkazai.html,html,2026-07-12T06:42:56Z,JMH-294021-0006
奈良県,明日香村,竜福寺層塔,有形文化財,建造物,村指定,,,,https://www.asukamura.jp/gyosei_bunkazai_about_shiteibunkazai.html,html,2026-07-12T06:42:56Z,JMH-294021-0003
奈良県,明日香村,薬師如来像,有形文化財,彫刻,村指定,,,,https://www.asukamura.jp/gyosei_bunkazai_about_shiteibunkazai.html,html,2026-07-12T06:42:56Z,JMH-294021-0004
奈良県,明日香村,四天王,有形文化財,彫刻,村指定,,,,https://www.asukamura.jp/gyosei_bunkazai_about_shiteibunkazai.html,html,2026-07-12T06:42:56Z,JMH-294021-0002
奈良県,五條市,阿陀比売神社本殿・摂社八坂神社,有形文化財,建造物,市指定,1987-03-05,原町,2棟。所有者：阿陀比売神社,https://www.city.gojo.lg.jp/soshiki/bunka/1_1/1/3114.html,html,2026-07-12T06:42:32Z,JMH-292079-0007
奈良県,五條市,地蔵六面石幢,有形文化財,建造物,市指定,1987-03-05,畑田町,1基。所有者：西福寺,https://www.city.gojo.lg.jp/soshiki/bunka/1_1/1/3114.html,html,2026-07-12T06:42:32Z,JMH-292079-0001
奈良県,五條市,龍池神社本殿・御霊神社本殿,有形文化財,建造物,市指定,1988-03-26,三在町,2棟。所有者：龍池神社,https://www.city.gojo.lg.jp/soshiki/bunka/1_1/1/3114.html,html,2026-07-12T06:42:32Z,JMH-292079-0016
奈良県,五條市,栗山家住宅,有形文化財,建造物,市指定,1989-06-10,五條1丁目,1棟。所有者：金久商事株式会社,https://www.city.gojo.lg.jp/soshiki/bunka/1_1/1/3114.html,html,2026-07-12T06:42:32Z,JMH-292079-0022
奈良県,五條市,五輪塔,有形文化財,建造物,市指定,2003-02-27,今井町,1基。所有者：今井天神町自治会,https://www.city.gojo.lg.jp/soshiki/bunka/1_1/1/3114.html,html,2026-07-12T06:42:32Z,JMH-292079-0034
奈良県,五條市,春日曼荼羅図,有形文化財,絵画,市指定,1988-03-26,野原西3丁目,1幅。所有者：金剛寺,https://www.city.gojo.lg.jp/soshiki/bunka/1_1/1/3114.html,html,2026-07-12T06:42:32Z,JMH-292079-0013
奈良県,五條市,弘法大師画像,有形文化財,絵画,市指定,1988-03-26,犬飼町,1幅。所有者：転法輪寺,https://www.city.gojo.lg.jp/soshiki/bunka/1_1/1/3114.html,html,2026-07-12T06:42:32Z,JMH-292079-0011
奈良県,五條市,五條古絵図,有形文化財,絵画,市指定,1989-06-10,五條1丁目（市立五條文化博物館）,1枚。所有者：個人,https://www.city.gojo.lg.jp/soshiki/bunka/1_1/1/3114.html,html,2026-07-12T06:42:32Z,JMH-292079-0018
奈良県,五條市,絹本著色十三仏図,有形文化財,絵画,市指定,2000-12-20,木ノ原町（市立五條文化博物館）,1幅。所有者：成願寺,https://www.city.gojo.lg.jp/soshiki/bunka/1_1/1/3114.html,html,2026-07-12T06:42:32Z,JMH-292079-0032
奈良県,五條市,菩薩立像,有形文化財,彫刻,市指定,1987-03-05,北山町,1躯。所有者：草谷寺,https://www.city.gojo.lg.jp/soshiki/bunka/1_1/1/3114.html,html,2026-07-12T06:42:32Z,JMH-292079-0004
奈良県,五條市,地蔵菩薩立像,有形文化財,彫刻,市指定,1996-01-24,北山町,1躯。所有者：草谷寺,https://www.city.gojo.lg.jp/soshiki/bunka/1_1/1/3114.html,html,2026-07-12T06:42:32Z,JMH-292079-0029
奈良県,五條市,文殊菩薩騎獅像・普賢菩薩騎象像,有形文化財,彫刻,市指定,1988-03-26,中之町,2躯。所有者：大善寺,https://www.city.gojo.lg.jp/soshiki/bunka/1_1/1/3114.html,html,2026-07-12T06:42:32Z,JMH-292079-0012
奈良県,五條市,持国天立像,有形文化財,彫刻,市指定,1989-06-10,大沢町,1躯。所有者：大澤寺,https://www.city.gojo.lg.jp/soshiki/bunka/1_1/1/3114.html,html,2026-07-12T06:42:32Z,JMH-292079-0021
奈良県,五條市,増長天立像,有形文化財,彫刻,市指定,1989-06-10,大沢町,1躯。所有者：大澤寺,https://www.city.gojo.lg.jp/soshiki/bunka/1_1/1/3114.html,html,2026-07-12T06:42:32Z,JMH-292079-0019
奈良県,五條市,地蔵菩薩坐像,有形文化財,彫刻,市指定,1991-06-21,二見7丁目,1躯。附　胎内仏1躯。所有者：生蓮寺,https://www.city.gojo.lg.jp/soshiki/bunka/1_1/1/3114.html,html,2026-07-12T06:42:32Z,JMH-292079-0023
奈良県,五條市,阿弥陀如来立像,有形文化財,彫刻,市指定,1991-06-21,二見7丁目,1躯。所有者：生蓮寺,https://www.city.gojo.lg.jp/soshiki/bunka/1_1/1/3114.html,html,2026-07-12T06:42:32Z,JMH-292079-0028
