pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
新潟県,阿賀町,木造千手観音菩薩立像,有形文化財,彫刻,町指定,,鹿瀬,年代:平安時代後期,https://www.town.aga.niigata.jp/agamachi_soshiki/shakai_kyoiku/rekishi_bunkazai/840.html,html,2026-07-12T03:41:50Z,JMH-153851-0012
新潟県,阿賀町,石戸獅子舞（活動休止中）,民俗文化財,有形民俗文化財,町指定,,三川,年代:江戸時代後期〜,https://www.town.aga.niigata.jp/agamachi_soshiki/shakai_kyoiku/rekishi_bunkazai/840.html,html,2026-07-12T03:41:50Z,JMH-153851-0014
新潟県,阿賀町,八木山の一り石,記念物(史跡・名勝・天然記念物),史跡,町指定,,津川,年代:江戸時代　享和元(1801),https://www.town.aga.niigata.jp/agamachi_soshiki/shakai_kyoiku/rekishi_bunkazai/840.html,html,2026-07-12T03:41:50Z,JMH-153851-0008
新潟県,阿賀町,津川河港,記念物(史跡・名勝・天然記念物),史跡,町指定,,津川,年代:江戸時代,https://www.town.aga.niigata.jp/agamachi_soshiki/shakai_kyoiku/rekishi_bunkazai/840.html,html,2026-07-12T03:41:50Z,JMH-153851-0013
新潟県,阿賀町,旧会津街道石畳,記念物(史跡・名勝・天然記念物),史跡,町指定,,津川,年代:江戸時代,https://www.town.aga.niigata.jp/agamachi_soshiki/shakai_kyoiku/rekishi_bunkazai/840.html,html,2026-07-12T03:41:50Z,JMH-153851-0010
新潟県,阿賀町,一里塚(福取),記念物(史跡・名勝・天然記念物),史跡,町指定,,津川,年代:江戸時代,https://www.town.aga.niigata.jp/agamachi_soshiki/shakai_kyoiku/rekishi_bunkazai/840.html,html,2026-07-12T03:41:50Z,JMH-153851-0006
新潟県,阿賀町,一里塚(柳新田),記念物(史跡・名勝・天然記念物),史跡,町指定,,津川,年代:江戸時代,https://www.town.aga.niigata.jp/agamachi_soshiki/shakai_kyoiku/rekishi_bunkazai/840.html,html,2026-07-12T03:41:50Z,JMH-153851-0005
新潟県,阿賀町,保科正興の塚,記念物(史跡・名勝・天然記念物),史跡,町指定,,鹿瀬,年代:江戸時代,https://www.town.aga.niigata.jp/agamachi_soshiki/shakai_kyoiku/rekishi_bunkazai/840.html,html,2026-07-12T03:41:50Z,JMH-153851-0007
新潟県,阿賀町,谷沢甌穴群,記念物(史跡・名勝・天然記念物),名勝,町指定,,三川,,https://www.town.aga.niigata.jp/agamachi_soshiki/shakai_kyoiku/rekishi_bunkazai/840.html,html,2026-07-12T03:41:50Z,JMH-153851-0015
新潟県,阿賀町,月山動植物生息地並びに自生地,記念物(史跡・名勝・天然記念物),天然記念物,町指定,,上川,,https://www.town.aga.niigata.jp/agamachi_soshiki/shakai_kyoiku/rekishi_bunkazai/840.html,html,2026-07-12T03:41:50Z,JMH-153851-0011
新潟県,阿賀町,日本平大池,記念物(史跡・名勝・天然記念物),天然記念物,町指定,,三川,,https://www.town.aga.niigata.jp/agamachi_soshiki/shakai_kyoiku/rekishi_bunkazai/840.html,html,2026-07-12T03:41:50Z,JMH-153851-0009
新潟県,阿賀町,木造宝冠釈迦如来坐像,有形文化財,彫刻,町指定,2005-04-01,新潟県東蒲原郡阿賀町鹿瀬7801,多宝寺本尊; 年代:安貞2年(1228年)頃(南北朝時代造立と推定),https://www.aga-info.jp/cultural-assets/town-designated-cultural-property/,html,2026-07-12T06:10:00Z,JMH-153851-0002
新潟県,阿賀町,木造地蔵菩薩立像,有形文化財,彫刻,町指定,2005-04-01,新潟県東蒲原郡阿賀町日出谷甲3709,護徳寺観音堂安置; 年代:室町時代,https://www.aga-info.jp/cultural-assets/town-designated-cultural-property/,html,2026-07-12T06:10:00Z,JMH-153851-0001
新潟県,阿賀町,木造聖観音菩薩立像,有形文化財,彫刻,町指定,2005-04-01,新潟県東蒲原郡阿賀町日出谷甲3709,護徳寺観音堂安置; 年代:室町時代,https://www.aga-info.jp/cultural-assets/town-designated-cultural-property/,html,2026-07-12T06:10:00Z,JMH-153851-0003
新潟県,阿賀町,木造菩薩形立像,有形文化財,彫刻,町指定,2005-04-01,新潟県東蒲原郡阿賀町両郷甲1088,極楽寺観音堂本尊; 年代:南北朝時代(14世紀中頃),https://www.aga-info.jp/cultural-assets/town-designated-cultural-property/,html,2026-07-12T06:10:00Z,JMH-153851-0004
新潟県,阿賀野市,安田町割直り屋敷図,有形文化財,古文書,市指定,1987-12-01,安田八幡宮,員数:1枚、所有管理者:安田八幡宮、時代:貞享年間,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0022
新潟県,阿賀野市,磨崖石仏（如意輪観音座像）,有形文化財,彫刻,市指定,1987-12-01,阿賀野市,員数:1基、所有管理者:阿賀野市、時代:南北朝初期,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0025
新潟県,阿賀野市,立石,記念物(史跡・名勝・天然記念物),史跡,市指定,1987-12-01,立石神社,員数:1基、所有管理者:立石神社,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0027
新潟県,阿賀野市,福正寺の五百羅漢像・羅漢堂版木,有形文化財,書跡・典籍,市指定,1987-12-01,大徳寺,所有管理者:大徳寺、時代:寛政4年,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0026
新潟県,阿賀野市,刀剣（銘福井又吉郎信興）,有形文化財,工芸品,市指定,1987-12-01,個人所有,員数:2振、所有管理者:個人所有、時代:文久年間,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0021
新潟県,阿賀野市,ツベタ遺跡出土品,有形文化財,考古資料,市指定,1987-12-01,阿賀野市教育委員会,員数:一括、所有管理者:阿賀野市教育委員会、時代:縄文中期・後期,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0020
新潟県,阿賀野市,久保八幡社社殿・十二支彫刻,有形文化財,彫刻,市指定,1989-03-01,久保八幡神社,員数:1棟・12軀、所有管理者:久保八幡神社、時代:文久2年,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0031
新潟県,阿賀野市,火除土手,記念物(史跡・名勝・天然記念物),史跡,市指定,1987-12-01,阿賀野市・保田財産区,員数:2ヶ所、所有管理者:阿賀野市・保田財産区、時代:貞享2年、備考:（追加 平成16年12月1日）,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0023
新潟県,阿賀野市,観音寺大イチョウ・大スギ,記念物(史跡・名勝・天然記念物),天然記念物,市指定,1987-12-01,観音寺,員数:3本、所有管理者:観音寺,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0028
新潟県,阿賀野市,石井家の大ケヤキ,記念物(史跡・名勝・天然記念物),天然記念物,市指定,1987-12-01,個人所有,員数:1本、所有管理者:個人所有,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0024
新潟県,阿賀野市,赤松城山,記念物(史跡・名勝・天然記念物),史跡,市指定,1987-12-01,保田財産区,員数:1跡、所有管理者:保田財産区、時代:不詳,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0029
新潟県,阿賀野市,郷蔵,有形文化財,建造物,市指定,2000-04-01,個人所有,員数:1棟、所有管理者:個人所有、時代:江戸中期,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0040
新潟県,阿賀野市,高礼（キリシタン制礼）,有形文化財,古文書,市指定,1989-03-01,個人所有,員数:1枚、所有管理者:個人所有、時代:元和2年,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0033
新潟県,阿賀野市,五榜の掲示（制礼）,有形文化財,古文書,市指定,2000-04-01,個人所有,員数:5枚、所有管理者:個人所有、時代:慶応4年,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0038
新潟県,阿賀野市,渡場新田開発免許状・安田組渡場新村御検地帳,有形文化財,古文書,市指定,2000-04-01,個人所有渡場区有,員数:1枚1冊、所有管理者:個人所有渡場区有、時代:正保2年慶安元年,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0039
新潟県,阿賀野市,宗寿寺の大イチョウ,記念物(史跡・名勝・天然記念物),天然記念物,市指定,1989-03-01,宗寿寺,員数:1本、所有管理者:宗寿寺,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0032
新潟県,阿賀野市,猫山遺跡出土品,有形文化財,考古資料,市指定,2003-03-25,阿賀野市教育委員会,員数:9点、所有管理者:阿賀野市教育委員会、時代:弥生時代・中期,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0046
新潟県,阿賀野市,町道上遺跡出土品,有形文化財,考古資料,市指定,2003-03-25,阿賀野市教育委員会,員数:3点、所有管理者:阿賀野市教育委員会、時代:中世,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0047
新潟県,阿賀野市,本田裏遺跡出土品,有形文化財,考古資料,市指定,2003-03-25,阿賀野市教育委員会,員数:一括、所有管理者:阿賀野市教育委員会、時代:中世,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0045
新潟県,阿賀野市,山口坎山道中日記,有形文化財,古文書,市指定,1965-09-09,阿賀野市教育委員会,員数:1冊、所有管理者:阿賀野市教育委員会、時代:江戸,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0004
新潟県,阿賀野市,越後野志稿本,有形文化財,古文書,市指定,1965-09-09,阿賀野市教育委員会,員数:2冊、所有管理者:阿賀野市教育委員会、時代:江戸,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0005
新潟県,阿賀野市,元禄八年水原村屋並絵図,有形文化財,古文書,市指定,1969-06-28,個人所有,員数:1点、所有管理者:個人所有、時代:江戸,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0006
新潟県,阿賀野市,延享二年水原絵図,有形文化財,古文書,市指定,1969-06-28,阿賀野市教育委員会,員数:1点、所有管理者:阿賀野市教育委員会、時代:江戸,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0007
新潟県,阿賀野市,水原町関係絵図,有形文化財,古文書,市指定,1969-10-04,阿賀野市教育委員会,員数:10点、所有管理者:阿賀野市教育委員会、時代:江戸,https://www.city.agano.niigata.jp/soshiki/shogaigakushuka/rekishi_bunkazai/1/3021.html,html,2026-07-12T03:41:38Z,JMH-152234-0009
