pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
大分県,別府市,後畑宝篋印塔,有形文化財,建造物,市指定,1967-04-11,東山,所有（管理）者: 個人,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0007
大分県,別府市,赤松石幢,有形文化財,建造物,市指定,1967-04-11,赤松,所有（管理）者: 個人,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0016
大分県,別府市,永正板碑,有形文化財,建造物,市指定,1967-04-11,鉄輪（神和苑）,所有（管理）者: 個人,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0012
大分県,別府市,永享石幢,有形文化財,建造物,市指定,1967-04-11,鉄輪（神和苑）,所有（管理）者: 個人,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0011
大分県,別府市,朝見大日種子板碑,有形文化財,建造物,市指定,1967-04-11,朝見,所有（管理）者: 個人,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0009
大分県,別府市,應永宝塔,有形文化財,建造物,市指定,1967-04-11,中央町,所有（管理）者: 個人,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0008
大分県,別府市,宝篋印塔,有形文化財,建造物,市指定,1967-04-11,中島町,所有（管理）者: （有）ひまわり,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0004
大分県,別府市,寛永キリシタン塔,有形文化財,建造物,市指定,1967-04-11,東荘園,所有（管理）者: 個人,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0005
大分県,別府市,古殿板碑,有形文化財,建造物,市指定,1981-05-01,火売,所有（管理）者: 個人,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0023
大分県,別府市,吉弘統幸墓,有形文化財,建造物,市指定,1972-05-10,石垣西,所有（管理）者: 吉弘神社,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0019
大分県,別府市,宗像掃部墓,有形文化財,建造物,市指定,1972-05-20,南立石本町,所有（管理）者: 天満神社,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0020
大分県,別府市,渡辺五郎右衛門墓,有形文化財,建造物,市指定,1978-05-01,鶴見,所有（管理）者: 個人,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0022
大分県,別府市,野口原五輪塔群,有形文化財,建造物,市指定,1982-07-23,野口原,所有（管理）者: 別府市,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0024
大分県,別府市,経堂内に包蔵する輪蔵,有形文化財,建造物,市指定,1967-04-11,亀川中央,所有（管理）者: 西光寺,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0014
大分県,別府市,松音寺の古塔,有形文化財,建造物,市指定,1992-03-01,赤松1組,所有（管理）者: 赤松自治会,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0026
大分県,別府市,別府市公会堂,有形文化財,建造物,市指定,1994-11-26,上田の湯,所有（管理）者: 別府市,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0027
大分県,別府市,東別府駅本屋,有形文化財,建造物,市指定,2003-02-05,東別府,所有（管理）者: ＪＲ九州,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0028
大分県,別府市,見地改書,有形文化財,古文書,市指定,1967-04-11,朝見,所有（管理）者: 個人,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0015
大分県,別府市,明礬関係史料,有形文化財,古文書,市指定,1978-05-01,明礬,所有（管理）者: 個人,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0021
大分県,別府市,別府・浜脇・田の口古地図,有形文化財,古文書,市指定,1967-04-11,別府市立図書館,所有（管理）者: 別府市,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0001
大分県,別府市,木彫阿弥陀立像,有形文化財,彫刻,市指定,1967-04-11,亀川中央,所有（管理）者: 西光寺,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0010
大分県,別府市,小児甕棺,有形文化財,考古資料,市指定,1967-04-11,野口ふれあい交流センター歴史文化展示室,所有（管理）者: 別府市,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0006
大分県,別府市,塚原出土の須恵器,有形文化財,考古資料,市指定,1967-04-11,野口ふれあい交流センター歴史文化展示室,所有（管理）者: 別府市,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0003
大分県,別府市,浜脇薬師祭りの見立て細工,民俗文化財,無形民俗文化財,市指定,2013-03-01,浜脇,種別: 風俗慣習,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0029
大分県,別府市,照湯,記念物(史跡・名勝・天然記念物),史跡,市指定,1967-04-11,小倉,所有（管理）者: 小倉自治会,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0013
大分県,別府市,吉祥寺跡及開山塔,記念物(史跡・名勝・天然記念物),史跡,市指定,1967-04-11,乙原2組,所有（管理）者: 個人,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0002
大分県,別府市,千辛萬苦之場,記念物(史跡・名勝・天然記念物),史跡,市指定,1968-01-29,上田の湯,所有（管理）者: 別府市,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0018
大分県,別府市,龍巻地獄,記念物(史跡・名勝・天然記念物),天然記念物,市指定,1967-04-11,野田,所有（管理）者: ㈱龍巻地獄,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0017
大分県,別府市,海門寺のクロマツ,記念物(史跡・名勝・天然記念物),天然記念物,市指定,1982-08-11,北浜2丁目,所有（管理）者: 海門護国禅寺,https://www.city.beppu.oita.jp/gakusyuu/bunkazai/bunkazai_shiteibunkazai.html,html,2026-07-12T09:53:31Z,JMH-442020-0025
大分県,豊後大野市,輪蔵,有形文化財,有形文化財,市指定,,三重町内山,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0346
大分県,豊後大野市,吉祥寺薬師堂,有形文化財,有形文化財,市指定,,三重町松尾,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0105
大分県,豊後大野市,石造宝塔,有形文化財,有形文化財,市指定,,三重町赤嶺,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0296
大分県,豊後大野市,石造多層塔,有形文化財,有形文化財,市指定,,三重町赤嶺,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0295
大分県,豊後大野市,円福寺石幢,有形文化財,有形文化財,市指定,,三重町上田原,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0081
大分県,豊後大野市,白泉寺石幢,有形文化財,有形文化財,市指定,,三重町中津留,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0288
大分県,豊後大野市,石造宝篋印塔,有形文化財,有形文化財,市指定,,三重町白谷,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0297
大分県,豊後大野市,川辺石幢,有形文化財,有形文化財,市指定,,三重町川辺,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0187
大分県,豊後大野市,正福寺宝篋印塔,有形文化財,有形文化財,市指定,,三重町上田原,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0252
大分県,豊後大野市,宮山石幢,有形文化財,有形文化財,市指定,,三重町百枝,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0155
大分県,豊後大野市,瀬戸谷宝塔,有形文化財,有形文化財,市指定,,三重町松尾,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0273
大分県,豊後大野市,植松石幢,有形文化財,有形文化財,市指定,,三重町久田,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0248
大分県,豊後大野市,大楽寺宝塔,有形文化財,有形文化財,市指定,,三重町久田,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0127
大分県,豊後大野市,代多層塔,有形文化財,有形文化財,市指定,,三重町奥畑,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0063
大分県,豊後大野市,西岸寺石幢,有形文化財,有形文化財,市指定,,三重町久田,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0336
大分県,豊後大野市,妙照院宝篋印塔,有形文化財,有形文化財,市指定,,三重町赤嶺,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0143
大分県,豊後大野市,浄運寺一石五輪塔,有形文化財,有形文化財,市指定,,三重町内田,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0263
大分県,豊後大野市,中小坂石幢,有形文化財,有形文化財,市指定,,三重町小坂,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0041
大分県,豊後大野市,並石石幢,有形文化財,有形文化財,市指定,,三重町鷲谷,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0036
大分県,豊後大野市,脇清水石幢,有形文化財,有形文化財,市指定,,三重町宮野,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0314
大分県,豊後大野市,正福寺天文宝篋印塔,有形文化財,有形文化財,市指定,,三重町上田原,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0251
大分県,豊後大野市,辻宝塔,有形文化財,有形文化財,市指定,,三重町向野,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0348
大分県,豊後大野市,五重塔,有形文化財,有形文化財,市指定,,三重町内山,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0058
大分県,豊後大野市,中小坂無縫塔,有形文化財,有形文化財,市指定,,三重町小坂,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0040
大分県,豊後大野市,慈雲庵石幢2号,有形文化財,有形文化財,市指定,,三重町秋葉,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0215
大分県,豊後大野市,平野石幢(1号),有形文化財,有形文化財,市指定,,三重町秋葉,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0198
大分県,豊後大野市,平野石幢(2号),有形文化財,有形文化財,市指定,,三重町秋葉,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0199
大分県,豊後大野市,下赤嶺石幢,有形文化財,有形文化財,市指定,,三重町赤嶺,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0030
大分県,豊後大野市,慈現庵石幢,有形文化財,有形文化財,市指定,,三重町小坂,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0214
大分県,豊後大野市,森迫石幢,有形文化財,有形文化財,市指定,,三重町井迫,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0247
大分県,豊後大野市,大無礼板碑,有形文化財,有形文化財,市指定,,三重町伏野,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0129
大分県,豊後大野市,荒谷石幢,有形文化財,有形文化財,市指定,,三重町奥畑,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0324
大分県,豊後大野市,黒木石幢,有形文化財,有形文化財,市指定,,三重町上田原,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0384
大分県,豊後大野市,久部層塔,有形文化財,有形文化財,市指定,,三重町大白谷,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0053
大分県,豊後大野市,間所石幢,有形文化財,有形文化財,市指定,,三重町井迫,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0367
大分県,豊後大野市,地蔵原石幢,有形文化財,有形文化財,市指定,,三重町小田,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0108
大分県,豊後大野市,千人塚宝塔,有形文化財,有形文化財,市指定,,三重町小田,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0093
大分県,豊後大野市,平野石幢,有形文化財,有形文化財,市指定,,三重町伏野,区分: 建造物 三重町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0197
大分県,豊後大野市,萩田家宝篋印塔,有形文化財,有形文化財,市指定,,清川町宇田枝,区分: 建造物 清川町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0328
大分県,豊後大野市,萩田家五輪塔,有形文化財,有形文化財,市指定,,清川町宇田枝,区分: 建造物 清川町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0327
大分県,豊後大野市,野仲家石幢,有形文化財,有形文化財,市指定,,清川町左右知,区分: 建造物 清川町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0355
大分県,豊後大野市,ロン地石幢,有形文化財,有形文化財,市指定,,清川町左右知,区分: 建造物 清川町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0004
大分県,豊後大野市,宮津留石幢,有形文化財,有形文化財,市指定,,清川町六種,区分: 建造物 清川町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0158
大分県,豊後大野市,宇田枝石幢,有形文化財,有形文化財,市指定,,清川町宇田枝,区分: 建造物 清川町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0150
大分県,豊後大野市,後藤家板碑,有形文化財,有形文化財,市指定,,清川町臼尾,区分: 建造物 清川町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0202
大分県,豊後大野市,中の原石幢,有形文化財,有形文化財,市指定,,清川町三玉,区分: 建造物 清川町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0038
大分県,豊後大野市,下田家五輪塔,有形文化財,有形文化財,市指定,,清川町左右知,区分: 建造物 清川町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0027
大分県,豊後大野市,宝生寺石幢,有形文化財,有形文化財,市指定,,清川町宇田枝,区分: 建造物 清川町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0154
大分県,豊後大野市,宝生寺石塔,有形文化財,有形文化財,市指定,,清川町宇田枝,区分: 建造物 清川町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0153
大分県,豊後大野市,普門寺山門,有形文化財,有形文化財,市指定,,清川町六種,区分: 建造物 清川町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0221
大分県,豊後大野市,内平石塔群,有形文化財,有形文化財,市指定,,清川町伏野,区分: 建造物 清川町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0079
大分県,豊後大野市,深谷橋,有形文化財,有形文化財,市指定,,清川町左右知,区分: 建造物 清川町,https://www.bungo-ohno.jp/docs/2015022000035/,html,2026-07-12T09:53:46Z,JMH-442127-0267
