pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
岡山県,赤磐市,吉祥院鰐口,有形文化財,工芸品,市指定,,,赤磐市指定文化財（市指定文化財一覧より。指定年月日・所在地は原典に記載なし）,https://www.city.akaiwa.lg.jp/bunkazai/ichiran/shitei/shi/index.html,html,2026-07-12T00:00:00Z,JMH-332135-0012
岡山県,赤磐市,西光寺鰐口,有形文化財,工芸品,市指定,,,赤磐市指定文化財（市指定文化財一覧より。指定年月日・所在地は原典に記載なし）,https://www.city.akaiwa.lg.jp/bunkazai/ichiran/shitei/shi/index.html,html,2026-07-12T00:00:00Z,JMH-332135-0051
岡山県,赤磐市,備前焼獅子(狛犬),有形文化財,工芸品,市指定,,,赤磐市指定文化財（市指定文化財一覧より。指定年月日・所在地は原典に記載なし）,https://www.city.akaiwa.lg.jp/bunkazai/ichiran/shitei/shi/index.html,html,2026-07-12T00:00:00Z,JMH-332135-0007
岡山県,赤磐市,五鈷鈴,有形文化財,工芸品,市指定,,,赤磐市指定文化財（市指定文化財一覧より。指定年月日・所在地は原典に記載なし）,https://www.city.akaiwa.lg.jp/bunkazai/ichiran/shitei/shi/index.html,html,2026-07-12T00:00:00Z,JMH-332135-0004
岡山県,赤磐市,太刀 無銘,有形文化財,工芸品,市指定,,,赤磐市指定文化財（市指定文化財一覧より。指定年月日・所在地は原典に記載なし）,https://www.city.akaiwa.lg.jp/bunkazai/ichiran/shitei/shi/index.html,html,2026-07-12T00:00:00Z,JMH-332135-0016
岡山県,赤磐市,鳥取上高塚古墳,記念物(史跡・名勝・天然記念物),史跡,市指定,,,赤磐市指定文化財（市指定文化財一覧より。指定年月日・所在地は原典に記載なし）,https://www.city.akaiwa.lg.jp/bunkazai/ichiran/shitei/shi/index.html,html,2026-07-12T00:00:00Z,JMH-332135-0056
岡山県,赤磐市,縄目石,記念物(史跡・名勝・天然記念物),史跡,市指定,,,赤磐市指定文化財（市指定文化財一覧より。指定年月日・所在地は原典に記載なし）,https://www.city.akaiwa.lg.jp/bunkazai/ichiran/shitei/shi/index.html,html,2026-07-12T00:00:00Z,JMH-332135-0050
岡山県,赤磐市,石蓮寺 不動の滝 不動の岩および石造観音菩薩坐像,記念物(史跡・名勝・天然記念物),史跡,市指定,,,赤磐市指定文化財（市指定文化財一覧より。指定年月日・所在地は原典に記載なし）,https://www.city.akaiwa.lg.jp/bunkazai/ichiran/shitei/shi/index.html,html,2026-07-12T00:00:00Z,JMH-332135-0040
岡山県,赤磐市,石蓮寺 蓮華岩,記念物(史跡・名勝・天然記念物),史跡,市指定,,,赤磐市指定文化財（市指定文化財一覧より。指定年月日・所在地は原典に記載なし）,https://www.city.akaiwa.lg.jp/bunkazai/ichiran/shitei/shi/index.html,html,2026-07-12T00:00:00Z,JMH-332135-0041
岡山県,赤磐市,石蓮寺 金堂跡,記念物(史跡・名勝・天然記念物),史跡,市指定,,,赤磐市指定文化財（市指定文化財一覧より。指定年月日・所在地は原典に記載なし）,https://www.city.akaiwa.lg.jp/bunkazai/ichiran/shitei/shi/index.html,html,2026-07-12T00:00:00Z,JMH-332135-0042
岡山県,赤磐市,武宮古墳,記念物(史跡・名勝・天然記念物),史跡,市指定,,,赤磐市指定文化財（市指定文化財一覧より。指定年月日・所在地は原典に記載なし）,https://www.city.akaiwa.lg.jp/bunkazai/ichiran/shitei/shi/index.html,html,2026-07-12T00:00:00Z,JMH-332135-0033
岡山県,赤磐市,伝和気清麻呂公墓所,記念物(史跡・名勝・天然記念物),史跡,市指定,,,赤磐市指定文化財（市指定文化財一覧より。指定年月日・所在地は原典に記載なし）,https://www.city.akaiwa.lg.jp/bunkazai/ichiran/shitei/shi/index.html,html,2026-07-12T00:00:00Z,JMH-332135-0005
岡山県,赤磐市,東雲谷古墳群,記念物(史跡・名勝・天然記念物),史跡,市指定,,,赤磐市指定文化財（市指定文化財一覧より。指定年月日・所在地は原典に記載なし）,https://www.city.akaiwa.lg.jp/bunkazai/ichiran/shitei/shi/index.html,html,2026-07-12T00:00:00Z,JMH-332135-0030
岡山県,赤磐市,周匝池田家墓地,記念物(史跡・名勝・天然記念物),史跡,市指定,,,赤磐市指定文化財（市指定文化財一覧より。指定年月日・所在地は原典に記載なし）,https://www.city.akaiwa.lg.jp/bunkazai/ichiran/shitei/shi/index.html,html,2026-07-12T00:00:00Z,JMH-332135-0013
