pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
沖縄県,北谷町,ちぶ川（井泉）,有形文化財,,町指定,,基地内(要申請),,https://www.chatan.jp/smph/haisai/rekishi/bunkazai/shitei_toroku/index.html,html,2026-07-12T00:00:00Z,JMH-473260-0001
沖縄県,北谷町,北谷城内「東ノ御嶽（あがりのうたき）」,民俗文化財,,町指定,,基地内(要申請),,https://www.chatan.jp/smph/haisai/rekishi/bunkazai/shitei_toroku/index.html,html,2026-07-12T00:00:00Z,JMH-473260-0002
沖縄県,北谷町,北谷城内「殿（とぅん）」,民俗文化財,,町指定,,基地内(要申請),,https://www.chatan.jp/smph/haisai/rekishi/bunkazai/shitei_toroku/index.html,html,2026-07-12T00:00:00Z,JMH-473260-0003
沖縄県,北谷町,史跡浜川ウガン遺跡,記念物(史跡・名勝・天然記念物),史跡,町指定,,,,https://www.chatan.jp/smph/haisai/rekishi/bunkazai/shitei_toroku/index.html,html,2026-07-12T00:00:00Z,JMH-473260-0004
沖縄県,宜野湾市,野嵩クシヌカー,記念物(史跡・名勝・天然記念物),史跡,市指定,,野嵩,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0020
沖縄県,宜野湾市,普天間の獅子舞,民俗文化財,無形民俗文化財,市指定,,普天間,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0016
沖縄県,宜野湾市,普天満宮洞穴,記念物(史跡・名勝・天然記念物),名勝,市指定,,普天間,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0015
沖縄県,宜野湾市,喜友名の石獅子群,民俗文化財,有形民俗文化財,市指定,,喜友名,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0004
沖縄県,宜野湾市,伊佐「たけたう原」銘の印部土手,記念物(史跡・名勝・天然記念物),史跡,市指定,,喜友名,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0002
沖縄県,宜野湾市,伊佐浜「新造佐阿天橋碑」,記念物(史跡・名勝・天然記念物),史跡,市指定,,伊佐,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0003
沖縄県,宜野湾市,大山御嶽碑,記念物(史跡・名勝・天然記念物),史跡,市指定,,大山,私有地のため所有者に配慮して見学すること,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0006
沖縄県,宜野湾市,大山マヤーガマ洞穴遺跡,記念物(史跡・名勝・天然記念物),史跡,市指定,,大山,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0005
沖縄県,宜野湾市,真志喜佐喜真家文書,有形文化財,古文書,市指定,,真志喜,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0018
沖縄県,宜野湾市,西森碑記,記念物(史跡・名勝・天然記念物),史跡,市指定,,真志喜,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0019
沖縄県,宜野湾市,明治土地台帳附属地図,有形文化財,歴史資料,市指定,,宇地泊,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0014
沖縄県,宜野湾市,大謝名の獅子舞,民俗文化財,無形民俗文化財,市指定,,大謝名,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0007
沖縄県,宜野湾市,大謝名メーヌカー,記念物(史跡・名勝・天然記念物),史跡,市指定,,大謝名,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0008
沖縄県,宜野湾市,大謝名メーヌカー淡水紅藻,記念物(史跡・名勝・天然記念物),天然記念物,市指定,,大謝名,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0009
沖縄県,宜野湾市,小禄墓石彫香炉,有形文化財,彫刻,市指定,,嘉数,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0011
沖縄県,宜野湾市,小禄墓石彫獅子,有形文化財,彫刻,市指定,,嘉数,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0010
沖縄県,宜野湾市,我如古ヒージャーガー,民俗文化財,有形民俗文化財,市指定,,我如古,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0013
沖縄県,宜野湾市,我如古スンサーミー,民俗文化財,無形民俗文化財,市指定,,我如古,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0012
沖縄県,宜野湾市,本部御殿墓,記念物(史跡・名勝・天然記念物),史跡,市指定,,我如古,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0017
沖縄県,宜野湾市,ウデナガサワダムシ,記念物(史跡・名勝・天然記念物),天然記念物,市指定,,市内全域,,https://www.city.ginowan.lg.jp/soshiki/kyoiku/1/6/7816.html,html,2026-07-12T00:00:00Z,JMH-472051-0001
沖縄県,宜野座村,字宜野座の十五夜アシビ,民俗文化財,無形民俗文化財,村指定,,宜野座,,https://www.vill.ginoza.okinawa.jp/material/files/group/3/79617351.pdf,pdf,2026-07-12T00:00:00Z,JMH-473138-0002
