pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
大阪府,千早赤阪村,不本見神社層塔,有形文化財,建造物（工作物）,村指定,2012-08-31,千早赤阪村東阪,指定番号1、員数1、所有者不本見神社、鎌倉中期,https://www.pref.osaka.lg.jp/documents/26653/030chihayaakasaka.pdf,pdf,2026-07-12T06:57:30Z,JMH-273830-0001
大阪府,千早赤阪村,小吹墓地の文中元年宝篋印塔,有形文化財,建造物（工作物）,村指定,2018-03-29,千早赤阪村小吹,指定番号3、員数1、所有者個人、南北朝後期,https://www.pref.osaka.lg.jp/documents/26653/030chihayaakasaka.pdf,pdf,2026-07-12T06:57:30Z,JMH-273830-0003
大阪府,千早赤阪村,建水分神社の延元5年扁額,有形文化財,美工（歴史）,村指定,2019-04-01,千早赤阪村水分,指定番号4、員数1、所有者建水分神社、南北朝前期,https://www.pref.osaka.lg.jp/documents/26653/030chihayaakasaka.pdf,pdf,2026-07-12T06:57:30Z,JMH-273830-0005
大阪府,千早赤阪村,川野辺遺跡出土墨書土器,有形文化財,美工（歴史）,村指定,2025-03-27,大阪市中央区大手前2丁目1-22,指定番号6、員数10、所有者大阪府、9世紀中頃～後半,https://www.pref.osaka.lg.jp/documents/26653/030chihayaakasaka.pdf,pdf,2026-07-12T06:57:30Z,JMH-273830-0006
大阪府,千早赤阪村,建水分神社の木造狛犬群,民俗文化財,有形民俗,村指定,2015-08-24,千早赤阪村水分,指定番号2、員数8、所有者建水分神社、鎌倉後期～室町時代,https://www.pref.osaka.lg.jp/documents/26653/030chihayaakasaka.pdf,pdf,2026-07-12T06:57:30Z,JMH-273830-0002
大阪府,千早赤阪村,千早の凍り豆腐づくりとその道具,民俗文化財,有形民俗,村指定,2019-04-01,千早赤阪村水分,指定番号5、員数10、所有者千早赤阪村教育委員会,https://www.pref.osaka.lg.jp/documents/26653/030chihayaakasaka.pdf,pdf,2026-07-12T06:57:30Z,JMH-273830-0004
大阪府,大東市,弥生式大型短頸壺型土器,有形文化財,美術工芸品（考古）,市指定,,歴史民俗資料館,指定指定第1号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0014
大阪府,大東市,石造九重層塔,有形文化財,建造物（工作物）,市指定,,野崎（野崎観音裏山）,指定指定第2号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0018
大阪府,大東市,石造地蔵菩薩立像（延徳銘地蔵）,有形文化財,美術工芸品（彫刻）,市指定,,大字龍間（龍光寺跡）,指定指定第3号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0019
大阪府,大東市,石造地蔵菩薩立像（永禄銘地蔵）,有形文化財,美術工芸品（彫刻）,市指定,,御領（西福寺南側）,指定指定第4号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0020
大阪府,大東市,一石二段六地蔵板碑,有形文化財,美術工芸品（彫刻）,市指定,,大字龍間,指定指定第5号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0001
大阪府,大東市,一石十三仏板碑,有形文化財,美術工芸品（彫刻）,市指定,,大字龍間（称迎寺境内）,指定指定第6号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0002
大阪府,大東市,諸福天満宮本殿,有形文化財,建造物（建築物）,市指定,,諸福,指定指定第7号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0021
大阪府,大東市,北新町遺跡出土戸口装置,有形文化財,美術工芸品（考古）,市指定,,歴史民俗資料館,指定指定第8号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0005
大阪府,大東市,北新町遺跡出土東大寺刻印平瓦,有形文化財,美術工芸品（考古）,市指定,,歴史民俗資料館,指定指定第9号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0006
大阪府,大東市,北新町遺跡出土翡翠製勾玉,有形文化財,美術工芸品（考古）,市指定,,歴史民俗資料館,指定指定第10号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0007
大阪府,大東市,北新町遺跡出土花枝双鳥文鏡,有形文化財,美術工芸品（考古）,市指定,,歴史民俗資料館,指定指定第11号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0008
大阪府,大東市,堂山古墳群,記念物(史跡・名勝・天然記念物),史跡（古墳）,市指定,,野崎・寺川,指定指定第12号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0009
大阪府,大東市,北新町遺跡出土人面墨書土器,有形文化財,美術工芸品（考古）,市指定,,歴史民俗資料館,指定指定第13号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0004
大阪府,大東市,龍間の石工道具,民俗文化財,民俗（有形民俗）,市指定,,歴史民俗資料館,指定指定第14号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0023
大阪府,大東市,正覺寺　絹本着色　阿弥陀如来絵像,有形文化財,美術工芸品（絵画）,市指定,,三箇・正覺寺,指定指定第15号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0016
大阪府,大東市,専応寺　絹本着色　阿弥陀如来絵像,有形文化財,美術工芸品（絵画）,市指定,,野崎・専応寺,指定指定第16号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0010
大阪府,大東市,平野屋新田会所文書,有形文化財,美術工芸品（書籍等）,市指定,,歴史民俗資料館,指定指定第17号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0013
大阪府,大東市,慈眼寺　十一面観音立像,有形文化財,美術工芸品（彫刻）,市指定,,野崎・慈眼寺,指定指定第18号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0015
大阪府,大東市,平野屋新田会所　千石蔵跡・道具蔵跡・船着場跡・周濠跡,記念物(史跡・名勝・天然記念物),史跡（その他）,市指定,,平野屋,指定指定第19号,https://www.city.daito.lg.jp/site/history/2748.html,html,2026-07-12T09:50:00Z,JMH-272183-0012
