pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
埼玉県,入間市,高倉寺観音堂付棟札一枚,有形文化財,建造物,市指定,,,指定番号1,https://www.city.iruma.saitama.jp/soshiki/hakubutsukan/rekishi_bunkazai/3/4/index.html,html,2026-07-07T06:10:00Z,JMH-112259-0069
埼玉県,入間市,円照寺の板碑,有形文化財,考古資料,市指定,,,指定番号2,https://www.city.iruma.saitama.jp/soshiki/hakubutsukan/rekishi_bunkazai/3/4/index.html,html,2026-07-07T06:10:00Z,JMH-112259-0009
埼玉県,入間市,円照寺裏墓跡出土蔵骨器及び板石塔婆付板石塔婆残欠6,有形文化財,考古資料,市指定,,,指定番号3,https://www.city.iruma.saitama.jp/soshiki/hakubutsukan/rekishi_bunkazai/3/4/index.html,html,2026-07-07T06:10:00Z,JMH-112259-0011
埼玉県,入間市,西久保観世音の鉦はり,有形文化財,工芸品,市指定,,,指定番号4,https://www.city.iruma.saitama.jp/soshiki/hakubutsukan/rekishi_bunkazai/3/4/index.html,html,2026-07-07T06:10:00Z,JMH-112259-0058
埼玉県,入間市,東光寺の梵鐘,有形文化財,工芸品,市指定,,,指定番号5,https://www.city.iruma.saitama.jp/soshiki/hakubutsukan/rekishi_bunkazai/3/4/index.html,html,2026-07-07T06:10:00Z,JMH-112259-0039
埼玉県,入間市,藤沢の獅子舞,無形文化財,無形民俗文化財,市指定,,,指定番号6,https://www.city.iruma.saitama.jp/soshiki/hakubutsukan/rekishi_bunkazai/3/4/index.html,html,2026-07-07T06:10:00Z,JMH-112259-0051
埼玉県,入間市,製茶用具一式,有形文化財,有形民俗文化財,市指定,,,指定番号7,https://www.city.iruma.saitama.jp/soshiki/hakubutsukan/rekishi_bunkazai/3/4/index.html,html,2026-07-07T06:10:00Z,JMH-112259-0053
埼玉県,入間市,重闢茶場碑及び茶場後碑,記念物(史跡・名勝・天然記念物),史跡,市指定,,,指定番号8,https://www.city.iruma.saitama.jp/soshiki/hakubutsukan/rekishi_bunkazai/3/4/index.html,html,2026-07-07T06:10:00Z,JMH-112259-0061
埼玉県,入間市,西三ツ木の高札場,有形文化財,建造物,市指定,,,指定番号9,https://www.city.iruma.saitama.jp/soshiki/hakubutsukan/rekishi_bunkazai/3/4/index.html,html,2026-07-07T06:10:00Z,JMH-112259-0054
埼玉県,入間市,西久保観世音のカヤ,記念物(史跡・名勝・天然記念物),天然記念物,市指定,,,指定番号10,https://www.city.iruma.saitama.jp/soshiki/hakubutsukan/rekishi_bunkazai/3/4/index.html,html,2026-07-07T06:10:00Z,JMH-112259-0057
埼玉県,入間市,蓮花院の鰐口,有形文化財,工芸品,市指定,,,指定番号11,https://www.city.iruma.saitama.jp/soshiki/hakubutsukan/rekishi_bunkazai/3/4/index.html,html,2026-07-07T06:10:00Z,JMH-112259-0049
埼玉県,入間市,新井家文書付鑓一口,有形文化財,古文書,市指定,,,指定番号12,https://www.city.iruma.saitama.jp/soshiki/hakubutsukan/rekishi_bunkazai/3/4/index.html,html,2026-07-07T06:10:00Z,JMH-112259-0030
埼玉県,入間市,出雲祝神社文書,有形文化財,古文書,市指定,,,指定番号13,https://www.city.iruma.saitama.jp/soshiki/hakubutsukan/rekishi_bunkazai/3/4/index.html,html,2026-07-07T06:10:00Z,JMH-112259-0012
埼玉県,入間市,金子氏一族の宝篋印塔付位牌,記念物(史跡・名勝・天然記念物),史跡,市指定,,,指定番号14,https://www.city.iruma.saitama.jp/soshiki/hakubutsukan/rekishi_bunkazai/3/4/index.html,html,2026-07-07T06:10:00Z,JMH-112259-0065
埼玉県,入間市,大森氏・加藤氏の宝篋印塔,記念物(史跡・名勝・天然記念物),史跡,市指定,,,指定番号15,https://www.city.iruma.saitama.jp/soshiki/hakubutsukan/rekishi_bunkazai/3/4/index.html,html,2026-07-07T06:10:00Z,JMH-112259-0015
