pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
島根県,海士町,東古墳,記念物(史跡・名勝・天然記念物),史跡,町指定,1997-07-10,海士町大字海士2678番地,指定番号史第１号、員数一所、所有者海士町大字海士2673-3村井 正治,https://www.town.ama.shimane.jp/kurashi-tetsuduki/bunka-sports/bunka/1tbofvyngk,html,2026-07-12T08:43:14Z,JMH-325252-0021
島根県,海士町,承久楽,民俗文化財,無形民俗文化財,町指定,1997-07-10,海士町大字海士1475番地10,指定番号芸第１号、所有者海士町大字海士1475-10松枝 初枝,https://www.town.ama.shimane.jp/kurashi-tetsuduki/bunka-sports/bunka/1tbofvyngk,html,2026-07-12T08:43:14Z,JMH-325252-0014
島根県,海士町,恵美須祭の風流〔だんじり〕,民俗文化財,無形民俗文化財,町指定,1997-07-10,海士町大字崎崎区,指定番号芸第２号、員数(九人)、所有者だんじり保存会代表 清水 昭一,https://www.town.ama.shimane.jp/kurashi-tetsuduki/bunka-sports/bunka/1tbofvyngk,html,2026-07-12T08:43:14Z,JMH-325252-0013
島根県,海士町,大般若経,有形文化財,書跡,町指定,1997-07-10,海士町大字海士1521番地１（海士町歴史民俗資料館),指定番号書第１号、員数434巻、所有者海士町大字宇受賀747宇受賀命神社,https://www.town.ama.shimane.jp/kurashi-tetsuduki/bunka-sports/bunka/1tbofvyngk,html,2026-07-12T08:43:14Z,JMH-325252-0010
島根県,海士町,大般若経,有形文化財,書跡,町指定,1997-07-10,,指定番号書第２号、員数208巻、所有者海士町大字海士1723-２源福寺,https://www.town.ama.shimane.jp/kurashi-tetsuduki/bunka-sports/bunka/1tbofvyngk,html,2026-07-12T08:43:14Z,JMH-325252-0011
島根県,海士町,源福寺隠岐院額,有形文化財,書跡,町指定,1997-07-10,,指定番号書第３号、員数一個,https://www.town.ama.shimane.jp/kurashi-tetsuduki/bunka-sports/bunka/1tbofvyngk,html,2026-07-12T08:43:14Z,JMH-325252-0022
島根県,海士町,台子皆具一式,有形文化財,工芸品,町指定,1997-07-10,,指定番号工第１号、員数一式、所有者海士町大字海士1784隠岐神社,https://www.town.ama.shimane.jp/kurashi-tetsuduki/bunka-sports/bunka/1tbofvyngk,html,2026-07-12T08:43:14Z,JMH-325252-0009
島根県,海士町,宇受賀命神社本殿,有形文化財,建造物,町指定,1997-07-10,海士町大字宇受賀747番地,指定番号建第１号、員数一棟、所有者海士町大字宇受賀747宇受賀命神社,https://www.town.ama.shimane.jp/kurashi-tetsuduki/bunka-sports/bunka/1tbofvyngk,html,2026-07-12T08:43:14Z,JMH-325252-0012
島根県,海士町,隠岐神社社殿,有形文化財,建造物,町指定,1997-07-10,海士町大字海士1784番地,指定番号建第２号、員数一棟、所有者海士町大字海士1784隠岐神社,https://www.town.ama.shimane.jp/kurashi-tetsuduki/bunka-sports/bunka/1tbofvyngk,html,2026-07-12T08:43:14Z,JMH-325252-0025
島根県,海士町,村上助九郎邸,有形文化財,建造物,町指定,1997-07-10,海士町大字海士1700番地2,指定番号建第３号、員数母屋一棟、所有者海士町大字海士1700-２村上 助九郎,https://www.town.ama.shimane.jp/kurashi-tetsuduki/bunka-sports/bunka/1tbofvyngk,html,2026-07-12T08:43:14Z,JMH-325252-0020
