pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
静岡県,熱海市,起雲閣（旧内田信也及び根津嘉一郎別邸）,有形文化財,建造物,市指定,,昭和町4-2,員数：4棟1門／所有者・管理団体：熱海市,https://www.city.atami.lg.jp/kosodate/bunka/1011168/1001062.html,html,2026-07-12T03:51:19Z,JMH-222054-0028
静岡県,熱海市,湯前神社石鳥居,有形文化財,建造物,市指定,,上宿町4-8,員数：1基／所有者・管理団体：湯前神社,https://www.city.atami.lg.jp/kosodate/bunka/1011168/1001062.html,html,2026-07-12T03:51:19Z,JMH-222054-0023
静岡県,熱海市,湯前神社石燈籠,有形文化財,建造物,市指定,,上宿町4-8,員数：2基／所有者・管理団体：湯前神社,https://www.city.atami.lg.jp/kosodate/bunka/1011168/1001062.html,html,2026-07-12T03:51:19Z,JMH-222054-0022
静岡県,熱海市,木造狛犬,有形文化財,彫刻,市指定,,伊豆山708-1,員数：2躯／所有者・管理団体：伊豆山神社,https://www.city.atami.lg.jp/kosodate/bunka/1011168/1001062.html,html,2026-07-12T03:51:19Z,JMH-222054-0019
静岡県,熱海市,木造男神・女神像,有形文化財,彫刻,市指定,,伊豆山708-1,員数：2躯／所有者・管理団体：伊豆山神社,https://www.city.atami.lg.jp/kosodate/bunka/1011168/1001062.html,html,2026-07-12T03:51:19Z,JMH-222054-0020
静岡県,熱海市,木造地蔵菩薩像,有形文化財,彫刻,市指定,,伊豆山土沢951,員数：1躯／所有者・管理団体：個人,https://www.city.atami.lg.jp/kosodate/bunka/1011168/1001062.html,html,2026-07-12T03:51:19Z,JMH-222054-0017
静岡県,熱海市,銅造延命地蔵菩薩像及脇童子像,有形文化財,彫刻,市指定,,伊豆山日金1151,員数：3躯／所有者・管理団体：般若院,https://www.city.atami.lg.jp/kosodate/bunka/1011168/1001062.html,html,2026-07-12T03:51:19Z,JMH-222054-0030
静岡県,熱海市,銅造延命地蔵菩薩像,有形文化財,彫刻,市指定,,泉136,員数：1躯／所有者・管理団体：保善院,https://www.city.atami.lg.jp/kosodate/bunka/1011168/1001062.html,html,2026-07-12T03:51:19Z,JMH-222054-0029
静岡県,熱海市,石造三十三所供養観音像,有形文化財,彫刻,市指定,,網代542長谷寺,員数：1括／所有者・管理団体：善修院,https://www.city.atami.lg.jp/kosodate/bunka/1011168/1001062.html,html,2026-07-12T03:51:19Z,JMH-222054-0024
静岡県,熱海市,木造役行者倚像,有形文化財,彫刻,市指定,,伊豆山708-1,員数：1躯／所有者・管理団体：伊豆山神社,https://www.city.atami.lg.jp/kosodate/bunka/1011168/1001062.html,html,2026-07-12T03:51:19Z,JMH-222054-0018
静岡県,熱海市,謡本熱海（伝沢庵宗彭自筆）,有形文化財,書跡・典籍,市指定,,桃山町26－2,員数：1冊／所有者・管理団体：世界救世教,https://www.city.atami.lg.jp/kosodate/bunka/1011168/1001062.html,html,2026-07-12T03:51:19Z,JMH-222054-0026
