pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
栃木県,足利市,紙本著色 鑁阿上人自画像,有形文化財,絵画,市指定,1959-02-17,家富町,員数:1幅 / 所有者・管理者:鑁阿寺,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0011
栃木県,足利市,絹本著色 柳堤聞鴬之図,有形文化財,絵画,市指定,1962-06-25,西宮町,員数:1幅 / 所有者・管理者:長林寺,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0042
栃木県,足利市,紙本著色 達磨像,有形文化財,絵画,市指定,1962-06-25,西宮町,員数:1幅 / 所有者・管理者:長林寺,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0041
栃木県,足利市,紙本金地著色 八ッ橋図六曲屏風 （田崎草雲筆）,有形文化財,絵画,市指定,1966-03-01,栄町1丁目,員数:1双 / 所有者・管理者:個人蔵,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0057
栃木県,足利市,絹本著色 瑞雲鳴鳳図（田崎草雲筆）,有形文化財,絵画,市指定,1966-03-01,家富町,員数:1幅 / 所有者・管理者:個人蔵,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0063
栃木県,足利市,絹本著色 花鳥図（田崎草雲筆）,有形文化財,絵画,市指定,1966-03-01,緑町2丁目,員数:3幅対 / 所有者・管理者:足利市,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0066
栃木県,足利市,絹本著色 筧に小禽図（田崎草雲筆）,有形文化財,絵画,市指定,1966-03-01,緑町2丁目,員数:1幅 / 所有者・管理者:足利市,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0065
栃木県,足利市,絹本著色 十指春風図（田崎草雲筆）,有形文化財,絵画,市指定,1966-03-01,通3丁目,員数:1幅 / 所有者・管理者:個人蔵,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0060
栃木県,足利市,絹本淡彩 春山暁靄図（田崎草雲筆）,有形文化財,絵画,市指定,1966-03-01,通3丁目,員数:1幅 / 所有者・管理者:個人蔵,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0058
栃木県,足利市,絹本著色 青松白帆図･山市雪霽図（田崎草雲筆）,有形文化財,絵画,市指定,1966-03-01,緑町2丁目,員数:双幅 / 所有者・管理者:足利市,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0068
栃木県,足利市,絹本著色 濠梁逸趣図（田崎草雲筆）,有形文化財,絵画,市指定,1966-03-01,相生町,員数:1幅 / 所有者・管理者:個人蔵,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0062
栃木県,足利市,絹本著色 武具曝虫図（田崎草雲筆）,有形文化財,絵画,市指定,1966-03-01,西宮町,員数:1幅 / 所有者・管理者:個人蔵,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0061
栃木県,足利市,絹本著色 白衣観音図（田崎草雲筆）,有形文化財,絵画,市指定,1966-03-01,通7丁目,員数:1幅 / 所有者・管理者:三宝院,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0064
栃木県,足利市,紙本著色 蕉蔭睡禽図（田崎草雲筆）,有形文化財,絵画,市指定,1966-03-01,家富町,員数:1幅 / 所有者・管理者:個人蔵,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0056
栃木県,足利市,絹本淡彩 月下漁眠図（田崎草雲筆）,有形文化財,絵画,市指定,1966-03-01,寿町,員数:1幅 / 所有者・管理者:個人蔵,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0059
栃木県,足利市,絹本著色 蓬莱山図（田崎草雲筆）,有形文化財,絵画,市指定,1966-03-01,緑町2丁目,員数:1幅 / 所有者・管理者:足利市,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0067
栃木県,足利市,紙本墨画 松林仙館図（田崎草雲筆）,有形文化財,絵画,市指定,1966-03-01,昌平町,員数:1幅 / 所有者・管理者:個人蔵,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0055
栃木県,足利市,絹本著色 秋草群虫図（椿椿山筆）,有形文化財,絵画,市指定,1967-09-19,上渋垂町,員数:1幅 / 所有者・管理者:個人蔵,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0074
栃木県,足利市,絹本著色 花鳥図（岡本秋暉筆）,有形文化財,絵画,市指定,1968-11-01,上渋垂町,員数:1幅 / 所有者・管理者:個人蔵,https://www.city.ashikaga.tochigi.jp/education/000029/000169/000627/p001321.html,html,2026-07-06T01:53:08Z,JMH-092029-0080
