pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
徳島県,藍住町,伊比良咩神社社殿,有形文化財,建造物,町指定,,,藍住町文化財保存活用地域計画は文化財を分野別件数（町指定47件）のみ集計し、個別一覧表を掲載していないため、本文の記述から個別名称が判明した文化財のみ記録（指定年月日の記載なし）,https://www.town.aizumi.lg.jp/docs/2024072200012/file_contents/chiikikeikaku.pdf,pdf,2026-07-12T07:35:17Z,JMH-364037-0003
徳島県,藍住町,諏訪神社本殿,有形文化財,建造物,町指定,,,藍住町文化財保存活用地域計画は文化財を分野別件数（町指定47件）のみ集計し、個別一覧表を掲載していないため、本文の記述から個別名称が判明した文化財のみ記録（指定年月日の記載なし）,https://www.town.aizumi.lg.jp/docs/2024072200012/file_contents/chiikikeikaku.pdf,pdf,2026-07-12T07:35:17Z,JMH-364037-0025
徳島県,藍住町,伊比良咩神社御旅所の緑泥片岩鳥居,有形文化財,建造物,町指定,,,藍住町文化財保存活用地域計画は文化財を分野別件数（町指定47件）のみ集計し、個別一覧表を掲載していないため、本文の記述から個別名称が判明した文化財のみ記録（指定年月日の記載なし）,https://www.town.aizumi.lg.jp/docs/2024072200012/file_contents/chiikikeikaku.pdf,pdf,2026-07-12T07:35:17Z,JMH-364037-0002
徳島県,藍住町,北野神社摂社弁天社太鼓橋,有形文化財,建造物,町指定,,,藍住町文化財保存活用地域計画は文化財を分野別件数（町指定47件）のみ集計し、個別一覧表を掲載していないため、本文の記述から個別名称が判明した文化財のみ記録（指定年月日の記載なし）,https://www.town.aizumi.lg.jp/docs/2024072200012/file_contents/chiikikeikaku.pdf,pdf,2026-07-12T07:35:17Z,JMH-364037-0005
徳島県,藍住町,敬台院肖像,有形文化財,絵画,町指定,,正法寺蔵,藍住町文化財保存活用地域計画は文化財を分野別件数（町指定47件）のみ集計し、個別一覧表を掲載していないため、本文の記述から個別名称が判明した文化財のみ記録（指定年月日の記載なし）。本県唯一の女性肖像画,https://www.town.aizumi.lg.jp/docs/2024072200012/file_contents/chiikikeikaku.pdf,pdf,2026-07-12T07:35:17Z,JMH-364037-0010
徳島県,藍住町,福成寺石造地蔵菩薩坐像,有形文化財,彫刻,町指定,,福成寺,藍住町文化財保存活用地域計画は文化財を分野別件数（町指定47件）のみ集計し、個別一覧表を掲載していないため、本文の記述から個別名称が判明した文化財のみ記録（指定年月日の記載なし）。凝灰岩製、室町時代前期頃の作,https://www.town.aizumi.lg.jp/docs/2024072200012/file_contents/chiikikeikaku.pdf,pdf,2026-07-12T07:35:17Z,JMH-364037-0020
徳島県,藍住町,正法寺聖観音像,有形文化財,彫刻,町指定,,正法寺蔵,藍住町文化財保存活用地域計画は文化財を分野別件数（町指定47件）のみ集計し、個別一覧表を掲載していないため、本文の記述から個別名称が判明した文化財のみ記録（指定年月日の記載なし）。前身の禅宗寺院正岡寺のもので中世の仏像,https://www.town.aizumi.lg.jp/docs/2024072200012/file_contents/chiikikeikaku.pdf,pdf,2026-07-12T07:35:17Z,JMH-364037-0013
徳島県,藍住町,龍池の高地蔵,有形文化財,彫刻,町指定,,,藍住町文化財保存活用地域計画は文化財を分野別件数（町指定47件）のみ集計し、個別一覧表を掲載していないため、本文の記述から個別名称が判明した文化財のみ記録（指定年月日の記載なし）,https://www.town.aizumi.lg.jp/docs/2024072200012/file_contents/chiikikeikaku.pdf,pdf,2026-07-12T07:35:17Z,JMH-364037-0027
徳島県,藍住町,観音庵の星兜鉢,有形文化財,工芸品,町指定,,観音庵,藍住町文化財保存活用地域計画は文化財を分野別件数（町指定47件）のみ集計し、個別一覧表を掲載していないため、本文の記述から個別名称が判明した文化財のみ記録（指定年月日の記載なし）。平安時代初期作とされる日本最古のもの,https://www.town.aizumi.lg.jp/docs/2024072200012/file_contents/chiikikeikaku.pdf,pdf,2026-07-12T07:35:17Z,JMH-364037-0023
徳島県,藍住町,経机,有形文化財,工芸品,町指定,,正法寺蔵,藍住町文化財保存活用地域計画は文化財を分野別件数（町指定47件）のみ集計し、個別一覧表を掲載していないため、本文の記述から個別名称が判明した文化財のみ記録（指定年月日の記載なし）。江戸時代前期のもの,https://www.town.aizumi.lg.jp/docs/2024072200012/file_contents/chiikikeikaku.pdf,pdf,2026-07-12T07:35:17Z,JMH-364037-0021
