pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
東京都,葛飾区,絹本着色東照大権現（徳川家康）像一幅 附 木造黒漆塗内箱及び外箱2口,有形文化財,有形文化財,区指定,,東四つ木,番号: 1,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0070
東京都,葛飾区,板絵着色赤穂浪士討入の図 1面,有形文化財,有形文化財,区指定,,東金町,番号: 2,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0048
東京都,葛飾区,木造聖徳太子立像 1躯　附木造仏形立像 1躯,有形文化財,有形文化財,区指定,,四つ木,番号: 3,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0036
東京都,葛飾区,梵鐘（松浦の鐘）1口,有形文化財,有形文化財,区指定,,東金町,番号: 4,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0056
東京都,葛飾区,浅野長吉添状 1点,有形文化財,有形文化財,区指定,,東金町,番号: 5,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0061
東京都,葛飾区,鈴木家文書 3点,有形文化財,有形文化財,区指定,,＊＊＊＊＊,番号: 6,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0088
東京都,葛飾区,金町・松戸関所関係文書 11点,有形文化財,有形文化財,区指定,,白鳥3-25-1郷土と天文の博物館,番号: 7,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0084
東京都,葛飾区,普賢寺庚申灯籠 1対,有形文化財,有形文化財,区指定,,東堀切,番号: 8,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0031
東京都,葛飾区,板絵着色鷹白鳥を捕える図 1面,有形文化財,有形文化財,区指定,,四つ木,番号: 9,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0050
東京都,葛飾区,刊本大般若経 600帖,有形文化財,有形文化財,区指定,,東堀切,番号: 10,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0011
東京都,葛飾区,紙本着色地蔵・十王図,有形文化財,有形文化財,区指定,,細田,番号: 11,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0069
東京都,葛飾区,五鈷種子鈴 1口,有形文化財,有形文化財,区指定,,東新小岩,番号: 12,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0005
東京都,葛飾区,正福寺惣門末起立録　正福寺本末帳 2冊,有形文化財,有形文化財,区指定,,東新小岩,番号: 13,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0057
東京都,葛飾区,出土銭一括 附壷1口・高札1面,有形文化財,有形文化財,区指定,,西亀有,番号: 14,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0010
東京都,葛飾区,木造薬師如来立像 1躯,有形文化財,有形文化財,区指定,,奥戸,番号: 15,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0038
東京都,葛飾区,金銅幡残欠 1坪,有形文化財,有形文化財,区指定,,柴又,番号: 16,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0087
東京都,葛飾区,紙本墨書胎蔵界私玉抄　紙本金剛界私糸玉抄 2冊,有形文化財,有形文化財,区指定,,水元,番号: 17,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0067
東京都,葛飾区,金町・松戸関所文書 2冊 附 関所印 印箱 御用箱 硯箱 船橋用虎綱残欠,有形文化財,有形文化財,区指定,,白鳥3-25-1郷土と天文の博物館他,番号: 18,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0083
東京都,葛飾区,絹本着色盤珪永琢禅師頂相 1幅,有形文化財,有形文化財,区指定,,東立石,番号: 19,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0071
東京都,葛飾区,絹本着色霊源周蔭禅師頂相 1幅,有形文化財,有形文化財,区指定,,東立石,番号: 20,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0072
東京都,葛飾区,真禅寺中興記 1巻,有形文化財,有形文化財,区指定,,東立石,番号: 21,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0065
東京都,葛飾区,水元小学校旧校舎 1棟,有形文化財,有形文化財,区指定,,水元,番号: 22,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0058
東京都,葛飾区,紙本墨画 豊臣秀吉 徳川家康 甲冑像 2幅 1対,有形文化財,有形文化財,区指定,,東四つ木,番号: 23,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0068
東京都,葛飾区,木造如来形立像 1躯,有形文化財,有形文化財,区指定,,東四つ木,番号: 24,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0033
東京都,葛飾区,木造金剛界大日如来坐像 1躯,有形文化財,有形文化財,区指定,,東四つ木,番号: 25,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0041
東京都,葛飾区,木造千手観世音菩薩立像 1躯,有形文化財,有形文化財,区指定,,東四つ木,番号: 26,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0032
東京都,葛飾区,木造釈迦如来及両脇侍坐像 3躯,有形文化財,有形文化財,区指定,,東四つ木,番号: 27,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0039
東京都,葛飾区,木造慈慧大師坐像 1躯,有形文化財,有形文化財,区指定,,東四つ木,番号: 28,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0035
東京都,葛飾区,葵紋入御簾 1張,有形文化財,有形文化財,区指定,,東四つ木,番号: 29,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0076
東京都,葛飾区,藤原家定薬師堂別当職并寺領等寄進状 1通,有形文化財,有形文化財,区指定,,東四つ木,番号: 30,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0078
東京都,葛飾区,青龍山薬師仏像縁記,有形文化財,有形文化財,区指定,,東四つ木,番号: 31,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0092
東京都,葛飾区,徳川家康書状 1通,有形文化財,有形文化財,区指定,,東四つ木,番号: 32,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0026
東京都,葛飾区,徳川家光・三世御ちキリ 1通,有形文化財,有形文化財,区指定,,東四つ木,番号: 33,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0025
東京都,葛飾区,文書収納箱,有形文化財,有形文化財,区指定,,白鳥3-25-1郷土と天文の博物館,番号: 34,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0027
東京都,葛飾区,熊野神社古墳出土遺物一括,有形文化財,有形文化財,区指定,,白鳥3-25-1郷土と天文の博物館,番号: 35,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0063
東京都,葛飾区,半田稲荷神社神泉遺構,有形文化財,有形文化財,区指定,,東金町,番号: 36,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0014
東京都,葛飾区,郷倉 1棟,有形文化財,有形文化財,区指定,,堀切,番号: 37,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0081
東京都,葛飾区,東京府南葛飾郡新宿町農事調査　1冊,有形文化財,有形文化財,区指定,,白鳥3-25-1郷土と天文の博物館,番号: 38,https://www.museum.city.katsushika.lg.jp/bunkazai/katsushika.php,html,2026-07-08T05:39:58Z,JMH-131229-0042
