pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
鳥取県,智頭町,那岐山シャクナゲ・ドウダン,記念物(史跡・名勝・天然記念物),天然記念物（植物）,町指定,1977-09-30,那岐山国定公園内,智頭町の指定・登録文化財（町指定文化財、更新日2022年07月25日）,https://www1.town.chizu.tottori.jp/chizu/kyouiku/27/bunkazai/,html,2026-07-12T00:00:00Z,JMH-313289-0005
鳥取県,智頭町,中田古墳群,記念物(史跡・名勝・天然記念物),史跡（古墳）,町指定,1977-09-30,中田,智頭町の指定・登録文化財（町指定文化財、更新日2022年07月25日）,https://www1.town.chizu.tottori.jp/chizu/kyouiku/27/bunkazai/,html,2026-07-12T00:00:00Z,JMH-313289-0002
鳥取県,智頭町,新田人形芝居人形頭,民俗文化財,有形民俗文化財（民俗資料）,町指定,1977-09-30,西谷522,智頭町の指定・登録文化財（町指定文化財、更新日2022年07月25日）,https://www1.town.chizu.tottori.jp/chizu/kyouiku/27/bunkazai/,html,2026-07-12T00:00:00Z,JMH-313289-0003
鳥取県,智頭町,興雲寺　弘法大師座像,有形文化財,保護文化財（彫刻）,町指定,1977-09-30,興雲寺,智頭町の指定・登録文化財（町指定文化財、更新日2022年07月25日）,https://www1.town.chizu.tottori.jp/chizu/kyouiku/27/bunkazai/,html,2026-07-12T00:00:00Z,JMH-313289-0004
鳥取県,智頭町,三田経筒,有形文化財,保護文化財（考古資料）,町指定,1977-09-30,個人蔵,智頭町の指定・登録文化財（町指定文化財、更新日2022年07月25日）,https://www1.town.chizu.tottori.jp/chizu/kyouiku/27/bunkazai/,html,2026-07-12T00:00:00Z,JMH-313289-0001
鳥取県,智頭町,智頭宿全図,有形文化財,保護文化財（古文書）,町指定,1987-11-25,諏訪神社,智頭町の指定・登録文化財（町指定文化財、更新日2022年07月25日）,https://www1.town.chizu.tottori.jp/chizu/kyouiku/27/bunkazai/,html,2026-07-12T00:00:00Z,JMH-313289-0007
鳥取県,智頭町,唐櫃城跡,記念物(史跡・名勝・天然記念物),史跡（城跡）,町指定,1987-11-25,木原・土師財産区,智頭町の指定・登録文化財（町指定文化財、更新日2022年07月25日）,https://www1.town.chizu.tottori.jp/chizu/kyouiku/27/bunkazai/,html,2026-07-12T00:00:00Z,JMH-313289-0006
鳥取県,智頭町,黒本谷古墳出土品,民俗文化財,有形民俗文化財（考古資料）,町指定,1988-01-27,教育委員会,智頭町の指定・登録文化財（町指定文化財、更新日2022年07月25日）,https://www1.town.chizu.tottori.jp/chizu/kyouiku/27/bunkazai/,html,2026-07-12T00:00:00Z,JMH-313289-0008
鳥取県,智頭町,法起菩薩堂,有形文化財,建造物,町指定,1995-08-01,西宇塚又毛谷左平1185-23,智頭町の指定・登録文化財（町指定文化財、更新日2022年07月25日）,https://www1.town.chizu.tottori.jp/chizu/kyouiku/27/bunkazai/,html,2026-07-12T00:00:00Z,JMH-313289-0009
鳥取県,智頭町,富沢古墳,記念物(史跡・名勝・天然記念物),史跡（古墳）,町指定,1996-07-01,新見字アソフ子セイミ890（新見部落有）,智頭町の指定・登録文化財（町指定文化財、更新日2022年07月25日）,https://www1.town.chizu.tottori.jp/chizu/kyouiku/27/bunkazai/,html,2026-07-12T00:00:00Z,JMH-313289-0010
鳥取県,智頭町,木造阿弥陀如来立像,有形文化財,彫刻,町指定,1999-03-01,豊乗寺,智頭町の指定・登録文化財（町指定文化財、更新日2022年07月25日）,https://www1.town.chizu.tottori.jp/chizu/kyouiku/27/bunkazai/,html,2026-07-12T00:00:00Z,JMH-313289-0011
鳥取県,智頭町,「藤原家住宅」主屋・付属屋及び敷地,有形文化財,建造物,町指定,1999-10-01,市瀬字上ミ手屋敷1949,智頭町の指定・登録文化財（町指定文化財、更新日2022年07月25日）,https://www1.town.chizu.tottori.jp/chizu/kyouiku/27/bunkazai/,html,2026-07-12T00:00:00Z,JMH-313289-0012
鳥取県,智頭町,草野原地蔵,有形文化財,石造物,町指定,2002-03-15,草野原地蔵保存会,智頭町の指定・登録文化財（町指定文化財、更新日2022年07月25日）,https://www1.town.chizu.tottori.jp/chizu/kyouiku/27/bunkazai/,html,2026-07-12T00:00:00Z,JMH-313289-0013
鳥取県,智頭町,豊乗寺の仏画（絹本著色十二天像（県立博物館寄託）・紙本版彩色十二天像・絹本著色愛染明王像・絹本著色釈迦三尊十羅刹女図・絹本著色真言八祖像）,有形文化財,保護文化財（絵画）,町指定,2004-10-01,豊乗寺,智頭町の指定・登録文化財（町指定文化財、更新日2022年07月25日）,https://www1.town.chizu.tottori.jp/chizu/kyouiku/27/bunkazai/,html,2026-07-12T00:00:00Z,JMH-313289-0015
鳥取県,智頭町,大原家「中世」文書,有形文化財,保護文化財（古文書）,町指定,2004-10-01,波多,智頭町の指定・登録文化財（町指定文化財、更新日2022年07月25日）,https://www1.town.chizu.tottori.jp/chizu/kyouiku/27/bunkazai/,html,2026-07-12T00:00:00Z,JMH-313289-0014
鳥取県,智頭町,中世・上原家文書,有形文化財,保護文化財（古文書）,町指定,2008-08-11,教育委員会（寄託）,智頭町の指定・登録文化財（町指定文化財、更新日2022年07月25日）,https://www1.town.chizu.tottori.jp/chizu/kyouiku/27/bunkazai/,html,2026-07-12T00:00:00Z,JMH-313289-0016
鳥取県,大山町,玉簾山清見寺千手観音,有形文化財,美術工芸品,町指定,1975-03-01,,大山町国・県・町指定文化財等一覧（令和6年6月18日現在）,https://www.daisen.jp/user/filer_public/13/19/13195ebc-30ef-4e1f-a8fa-a667bc1c498b/ooyamatyou-kuni-ken-mati-sitei-bunkazai-nado-itiranhyou.pdf,pdf,2026-07-12T00:00:00Z,JMH-313866-0002
鳥取県,大山町,徳楽方墳,記念物(史跡・名勝・天然記念物),史跡名勝天然記念物,町指定,1975-03-01,,大山町国・県・町指定文化財等一覧（令和6年6月18日現在）,https://www.daisen.jp/user/filer_public/13/19/13195ebc-30ef-4e1f-a8fa-a667bc1c498b/ooyamatyou-kuni-ken-mati-sitei-bunkazai-nado-itiranhyou.pdf,pdf,2026-07-12T00:00:00Z,JMH-313866-0001
鳥取県,大山町,退休寺山門・土塀・勅額,有形文化財,建造物,町指定,1976-03-25,,大山町国・県・町指定文化財等一覧（令和6年6月18日現在）,https://www.daisen.jp/user/filer_public/13/19/13195ebc-30ef-4e1f-a8fa-a667bc1c498b/ooyamatyou-kuni-ken-mati-sitei-bunkazai-nado-itiranhyou.pdf,pdf,2026-07-12T00:00:00Z,JMH-313866-0006
鳥取県,大山町,樋口神社本殿,有形文化財,建造物,町指定,1976-03-25,,大山町国・県・町指定文化財等一覧（令和6年6月18日現在）,https://www.daisen.jp/user/filer_public/13/19/13195ebc-30ef-4e1f-a8fa-a667bc1c498b/ooyamatyou-kuni-ken-mati-sitei-bunkazai-nado-itiranhyou.pdf,pdf,2026-07-12T00:00:00Z,JMH-313866-0004
鳥取県,大山町,赤坂大五輪塔,有形文化財,美術工芸品,町指定,1976-03-25,,大山町国・県・町指定文化財等一覧（令和6年6月18日現在）,https://www.daisen.jp/user/filer_public/13/19/13195ebc-30ef-4e1f-a8fa-a667bc1c498b/ooyamatyou-kuni-ken-mati-sitei-bunkazai-nado-itiranhyou.pdf,pdf,2026-07-12T00:00:00Z,JMH-313866-0005
鳥取県,大山町,岡岩屋堂古墳,記念物(史跡・名勝・天然記念物),史跡名勝天然記念物,町指定,1976-03-25,,大山町国・県・町指定文化財等一覧（令和6年6月18日現在）,https://www.daisen.jp/user/filer_public/13/19/13195ebc-30ef-4e1f-a8fa-a667bc1c498b/ooyamatyou-kuni-ken-mati-sitei-bunkazai-nado-itiranhyou.pdf,pdf,2026-07-12T00:00:00Z,JMH-313866-0003
鳥取県,大山町,大山並木松,記念物(史跡・名勝・天然記念物),史跡名勝天然記念物,町指定,1977-04-15,,大山町国・県・町指定文化財等一覧（令和6年6月18日現在）,https://www.daisen.jp/user/filer_public/13/19/13195ebc-30ef-4e1f-a8fa-a667bc1c498b/ooyamatyou-kuni-ken-mati-sitei-bunkazai-nado-itiranhyou.pdf,pdf,2026-07-12T00:00:00Z,JMH-313866-0007
