pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
富山県,朝日町,鹿嶋神社拝殿と組物及び彫刻,有形文化財,建造物,町指定,1995-02,宮崎鹿嶋神社,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0028
富山県,朝日町,千手観音坐像（清水寺式）,有形文化財,彫刻,町指定,1966-05,清水寺,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0005
富山県,朝日町,薬師瑠璃光如来座像,有形文化財,彫刻,町指定,1966-05,天香寺,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0013
富山県,朝日町,耳挽薬師如来座像,有形文化財,彫刻,町指定,1966-05,天香寺,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0011
富山県,朝日町,聖観音菩薩立像,有形文化財,彫刻,町指定,1966-05,松林寺,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0012
富山県,朝日町,阿弥陀如来立像,有形文化財,彫刻,町指定,1967-12,常光寺,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0018
富山県,朝日町,阿弥陀如来立像,有形文化財,彫刻,町指定,1971-09,改観寺,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0020
富山県,朝日町,類従旧例古格,有形文化財,古文書,町指定,1975-04,境関の館,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0023
富山県,朝日町,境関所御囲絵図,有形文化財,古文書,町指定,1975-04,境関の館,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0022
富山県,朝日町,笹川村古図,有形文化財,古文書,町指定,1966-05,笹川竹内益裕家,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0010
富山県,朝日町,三位組笹川村水防旗,有形文化財,歴史資料,町指定,1966-05,笹川竹内益裕家,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0001
富山県,朝日町,伊東彦四郎墳墓,有形文化財,歴史資料,町指定,1966-05,常光寺,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0002
富山県,朝日町,加賀千代尼との連歌,有形文化財,歴史資料,町指定,1966-05,横尾伊東家,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0004
富山県,朝日町,伊東彦四郎画像,有形文化財,歴史資料,町指定,1966-05,横尾伊東家,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0003
富山県,朝日町,臼ヶ谷中世古墳出土品,有形文化財,歴史資料,町指定,1995-02,笹川臼ヶ谷,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0027
富山県,朝日町,鹿嶋神社稚児舞,民俗文化財,無形民俗文化財,町指定,1971-09,宮崎鹿嶋神社,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0021
富山県,朝日町,諏訪神社獅子舞,民俗文化財,無形民俗文化財,町指定,1971-09,笹川諏訪神社,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0019
富山県,朝日町,横水一里塚,記念物(史跡・名勝・天然記念物),史跡,町指定,1967-12,横水,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0017
富山県,朝日町,柏原家墓塔群,記念物(史跡・名勝・天然記念物),史跡,町指定,1967-12,井の口,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0016
富山県,朝日町,板碑（陰刻板五輪塔婆）,記念物(史跡・名勝・天然記念物),史跡,町指定,1966-05,笹川淵尻,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0009
富山県,朝日町,小林家地神の五輪塔,記念物(史跡・名勝・天然記念物),史跡,町指定,1966-05,笹川小林家,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0006
富山県,朝日町,板碑（種子板石塔婆）,記念物(史跡・名勝・天然記念物),史跡,町指定,1966-05,笹川長井家,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0008
富山県,朝日町,岡与三右衛門政春墳墓,記念物(史跡・名勝・天然記念物),史跡,町指定,1966-05,松林寺,,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206320563.html,html,2026-07-12T00:00:00Z,JMH-163431-0007
