pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
和歌山県,有田市,画文帯環状乳神獣鏡（山田原古墳出土）,記念物(史跡・名勝・天然記念物),史跡,市指定,,,指定番号:2。有田市公式サイトの市指定文化財一覧（種別・年月日は原典に記載なし）。,https://www.city.arida.lg.jp/kurashi/sportsbunka/bunka/1000911/index.html,html,2026-07-12T00:00:00Z,JMH-302040-0062
和歌山県,有田市,装飾付須恵器壷（一本松古墳出土）,記念物(史跡・名勝・天然記念物),史跡,市指定,,,指定番号:3。有田市公式サイトの市指定文化財一覧（種別・年月日は原典に記載なし）。,https://www.city.arida.lg.jp/kurashi/sportsbunka/bunka/1000911/index.html,html,2026-07-12T00:00:00Z,JMH-302040-0073
和歌山県,有田市,有蓋脚付須恵器坩（一本松古墳出土）,記念物(史跡・名勝・天然記念物),史跡,市指定,,,指定番号:4。有田市公式サイトの市指定文化財一覧（種別・年月日は原典に記載なし）。,https://www.city.arida.lg.jp/kurashi/sportsbunka/bunka/1000911/index.html,html,2026-07-12T00:00:00Z,JMH-302040-0030
和歌山県,有田市,有蓋高杯（一本松古墳出土）,記念物(史跡・名勝・天然記念物),史跡,市指定,,,指定番号:5。有田市公式サイトの市指定文化財一覧（種別・年月日は原典に記載なし）。,https://www.city.arida.lg.jp/kurashi/sportsbunka/bunka/1000911/index.html,html,2026-07-12T00:00:00Z,JMH-302040-0031
和歌山県,有田市,練玉（一本松古墳出土）,記念物(史跡・名勝・天然記念物),史跡,市指定,,,指定番号:6。有田市公式サイトの市指定文化財一覧（種別・年月日は原典に記載なし）。,https://www.city.arida.lg.jp/kurashi/sportsbunka/bunka/1000911/index.html,html,2026-07-12T00:00:00Z,JMH-302040-0068
和歌山県,有田市,彷製複合鋸歯文鏡（野丁古墳出土）,記念物(史跡・名勝・天然記念物),史跡,市指定,,,指定番号:7。有田市公式サイトの市指定文化財一覧（種別・年月日は原典に記載なし）。,https://www.city.arida.lg.jp/kurashi/sportsbunka/bunka/1000911/index.html,html,2026-07-12T00:00:00Z,JMH-302040-0023
和歌山県,有田市,銅釧（腕環）（野丁古墳出土）,記念物(史跡・名勝・天然記念物),史跡,市指定,,,指定番号:8。有田市公式サイトの市指定文化財一覧（種別・年月日は原典に記載なし）。,https://www.city.arida.lg.jp/kurashi/sportsbunka/bunka/1000911/index.html,html,2026-07-12T00:00:00Z,JMH-302040-0077
和歌山県,有田市,玉類（勾玉・管玉）（野丁古墳出土）,記念物(史跡・名勝・天然記念物),史跡,市指定,,,指定番号:9。有田市公式サイトの市指定文化財一覧（種別・年月日は原典に記載なし）。,https://www.city.arida.lg.jp/kurashi/sportsbunka/bunka/1000911/index.html,html,2026-07-12T00:00:00Z,JMH-302040-0061
和歌山県,有田市,木造地蔵菩薩坐像（安生寺）,有形文化財,,市指定,,,指定番号:10。有田市公式サイトの市指定文化財一覧（種別・年月日は原典に記載なし）。,https://www.city.arida.lg.jp/kurashi/sportsbunka/bunka/1000911/index.html,html,2026-07-12T00:00:00Z,JMH-302040-0039
和歌山県,有田市,西福寺　文書,有形文化財,古文書,市指定,,,指定番号:11。有田市公式サイトの市指定文化財一覧（種別・年月日は原典に記載なし）。,https://www.city.arida.lg.jp/kurashi/sportsbunka/bunka/1000911/index.html,html,2026-07-12T00:00:00Z,JMH-302040-0074
和歌山県,有田市,安養寺　文書,有形文化財,古文書,市指定,,,指定番号:12。有田市公式サイトの市指定文化財一覧（種別・年月日は原典に記載なし）。,https://www.city.arida.lg.jp/kurashi/sportsbunka/bunka/1000911/index.html,html,2026-07-12T00:00:00Z,JMH-302040-0013
