pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
山形県,朝日町,ハッチョウトンボ,記念物(史跡・名勝・天然記念物),町指定 記念物 天然記念物,町指定,1982-01-13,町内,日本に生息するトンボの中でもっとも小さい種で、日当たりが良く清水が湧く湿地に生息する。,https://www.town.asahi.yamagata.jp/portal/soshikinogoannai/kyoikubunkaka/shogaigakushugakari/4_1/2401.html,html,2026-07-05T10:56:14+09:00,JMH-063231-0002
山形県,朝日町,大隅遺跡,記念物(史跡・名勝・天然記念物),町指定・史跡・記念物,町指定,1981-04-20,朝日町大字和合,約1万7000〜2万年前の旧石器時代後期の遺跡。旧石器として日本最初の報告とされる大隅の旧石器が知られる。,https://www.town.asahi.yamagata.jp/portal/soshikinogoannai/kyoikubunkaka/shogaigakushugakari/4_1/2402.html,html,2026-07-05T10:56:14+09:00,JMH-063231-0001
山形県,舟形町,薬師瑠璃光如来,有形文化財,町指定有形文化財（美術工芸品）,町指定,1962-04-01,松橋多目的集会所（舟形町堀内）,,https://www.town.funagata.yamagata.jp/s029/sugata/010/010/063631_cultural_property.csv,csv,2026-07-05T11:06:06+09:00,JMH-063630-0002
山形県,舟形町,堀内田植踊り,民俗文化財,町指定民俗文化財（芸能）,町指定,1962-04-01,舟形町堀内,,https://www.town.funagata.yamagata.jp/s029/sugata/010/010/063631_cultural_property.csv,csv,2026-07-05T11:06:06+09:00,JMH-063630-0001
山形県,舟形町,親杉,記念物(史跡・名勝・天然記念物),町指定天然記念物（その他）,町指定,1975-03-01,舟形町富田,,https://www.town.funagata.yamagata.jp/s029/sugata/010/010/063631_cultural_property.csv,csv,2026-07-05T11:06:06+09:00,JMH-063630-0004
山形県,舟形町,祈祷塚,記念物(史跡・名勝・天然記念物),町指定天然記念物（その他）,町指定,1975-03-01,舟形町富田,,https://www.town.funagata.yamagata.jp/s029/sugata/010/010/063631_cultural_property.csv,csv,2026-07-05T11:06:06+09:00,JMH-063630-0003
山形県,舟形町,薬師如来洗米鉢,有形文化財,町指定有形文化財（美術工芸品）,町指定,1985-02-09,松橋多目的集会所（舟形町堀内）,,https://www.town.funagata.yamagata.jp/s029/sugata/010/010/063631_cultural_property.csv,csv,2026-07-05T11:06:06+09:00,JMH-063630-0007
山形県,舟形町,林昌院肩衝筒釜,有形文化財,町指定有形文化財（美術工芸品）,町指定,1985-02-09,林昌院（舟形町富田）,,https://www.town.funagata.yamagata.jp/s029/sugata/010/010/063631_cultural_property.csv,csv,2026-07-05T11:06:06+09:00,JMH-063630-0006
山形県,舟形町,新山神社鰐口,有形文化財,町指定有形文化財（美術工芸品）,町指定,1985-02-09,新山神社（舟形町長沢）,,https://www.town.funagata.yamagata.jp/s029/sugata/010/010/063631_cultural_property.csv,csv,2026-07-05T11:06:06+09:00,JMH-063630-0005
山形県,舟形町,長沢和紙,無形文化財,町指定無形文化財（工芸技術）,町指定,1986-03-20,舟形町長沢,,https://www.town.funagata.yamagata.jp/s029/sugata/010/010/063631_cultural_property.csv,csv,2026-07-05T11:06:06+09:00,JMH-063630-0008
山形県,舟形町,堀内盆踊り,民俗文化財,町指定民俗文化財（芸能）,町指定,1987-06-20,舟形町堀内,,https://www.town.funagata.yamagata.jp/s029/sugata/010/010/063631_cultural_property.csv,csv,2026-07-05T11:06:06+09:00,JMH-063630-0009
山形県,舟形町,猿羽根楯,記念物(史跡・名勝・天然記念物),町指定天然記念物（その他）,町指定,1995-04-24,舟形町富田,,https://www.town.funagata.yamagata.jp/s029/sugata/010/010/063631_cultural_property.csv,csv,2026-07-05T11:06:06+09:00,JMH-063630-0010
山形県,舟形町,墨画山水漢人屏風,有形文化財,町指定有形文化財（美術工芸品）,町指定,1998-04-25,福昌寺（舟形町長沢）,,https://www.town.funagata.yamagata.jp/s029/sugata/010/010/063631_cultural_property.csv,csv,2026-07-05T11:06:06+09:00,JMH-063630-0011
山形県,舟形町,念仏の松,記念物(史跡・名勝・天然記念物),町指定天然記念物（その他）,町指定,1998-04-25,舟形町長沢,,https://www.town.funagata.yamagata.jp/s029/sugata/010/010/063631_cultural_property.csv,csv,2026-07-05T11:06:06+09:00,JMH-063630-0012
山形県,舟形町,西ノ前遺跡,記念物(史跡・名勝・天然記念物),町指定天然記念物（その他）,町指定,2002-07-29,西ノ前遺跡（舟形町舟形）,,https://www.town.funagata.yamagata.jp/s029/sugata/010/010/063631_cultural_property.csv,csv,2026-07-05T11:06:06+09:00,JMH-063630-0013
山形県,舟形町,大平山神神社 格天井板絵,有形文化財,町指定有形文化財（美術工芸品）,町指定,2003-06-23,大平山神神社（舟形町舟形）,,https://www.town.funagata.yamagata.jp/s029/sugata/010/010/063631_cultural_property.csv,csv,2026-07-05T11:06:06+09:00,JMH-063630-0014
山形県,東根市,沢渡十一面観世音,有形文化財,彫刻（仏像）,市指定,1966-10-05,,平安後期の僧行基の作で、身丈約180cmの木立像である。（わき仏2軀含）,https://www.city.higashine.yamagata.jp/section_list/section021/3348,html,2026-07-05T10:43:04+09:00,JMH-062111-0003
山形県,東根市,マリア観音,有形文化財,彫刻（仏像）,市指定,1969-05-29,,かくれキリシタンの遺物と推定され、子安観音として伝えられていた。（高さ75cm、木造座像）,https://www.city.higashine.yamagata.jp/section_list/section021/3348,html,2026-07-05T10:43:04+09:00,JMH-062111-0009
山形県,東根市,大森山の磨崖仏,有形文化財,彫刻（仏像）,市指定,1987-04-01,,上段は五智如来、下段には六地蔵が刻まれている。県内でも磨崖仏は少なく、極めて重要な石造物である。,https://www.city.higashine.yamagata.jp/section_list/section021/3348,html,2026-07-05T10:43:04+09:00,JMH-062111-0018
山形県,東根市,高橋由一筆・小池理右衛門夫妻肖像画,有形文化財,絵画,市指定,1966-10-05,,本格的な油絵技法を習得し、江戸後半から明治中頃まで活躍した、日本で最初の「洋画家」である。,https://www.city.higashine.yamagata.jp/section_list/section021/3348,html,2026-07-05T10:43:04+09:00,JMH-062111-0008
山形県,東根市,高橋由一作・岡田清八郎肖像画,有形文化財,絵画,市指定,1977-10-15,,本格的な油絵技法を習得し、江戸後半から明治中頃まで活躍した、日本で最初の「洋画家」である。,https://www.city.higashine.yamagata.jp/section_list/section021/3348,html,2026-07-05T10:43:04+09:00,JMH-062111-0014
山形県,東根市,青山永耕作・阿吽双龍絵図,有形文化財,絵画,市指定,1966-10-05,,無款の水墨画で、古来よく日本画家が題材として扱っている龍を描いたもの。（六田出身）,https://www.city.higashine.yamagata.jp/section_list/section021/3348,html,2026-07-05T10:43:04+09:00,JMH-062111-0007
山形県,東根市,石山太柏筆・「庭井」屏風絵,有形文化財,絵画,市指定,1990-04-01,,小田島出身で、大正・昭和初期までの日本画壇の巨星で、市内外に数々の名画が残存している。,https://www.city.higashine.yamagata.jp/section_list/section021/3348,html,2026-07-05T10:43:04+09:00,JMH-062111-0020
山形県,東根市,長瀞小学校の想画集,有形文化財,絵画,市指定,1996-12-25,,昭和初期の写生画や臨画に対し、生活に主題を求めて描いた大変貴重な想画である。,https://www.city.higashine.yamagata.jp/section_list/section021/3348,html,2026-07-05T10:43:04+09:00,JMH-062111-0023
山形県,東根市,長瀞陣屋絵図,有形文化財,歴史資料,市指定,1966-10-05,,江戸末期の米津（よねきつ）家長瀞藩陣屋平面図。,https://www.city.higashine.yamagata.jp/section_list/section021/3348,html,2026-07-05T10:43:04+09:00,JMH-062111-0006
山形県,東根市,村山旧藩領絵図,有形文化財,歴史資料,市指定,1966-10-05,,江戸末期の村山地方の領地図。（色別）,https://www.city.higashine.yamagata.jp/section_list/section021/3348,html,2026-07-05T10:43:04+09:00,JMH-062111-0002
山形県,東根市,坤輿万国全図（古世界地図） 渾素義図屏風（古天体図）,有形文化財,歴史資料,市指定,1971-05-25,,天保年間に三浦筑前が模写したもので、慶長の文化を伝える貴重な資料である。,https://www.city.higashine.yamagata.jp/section_list/section021/3348,html,2026-07-05T10:43:04+09:00,JMH-062111-0012
山形県,東根市,紅花絵巻・農耕絵巻,有形文化財,歴史資料,市指定,2010-03-16,,江戸時代。作業だけでなく当時の人々の様子も詳細に描かれている生活文化史的にも貴重な史料。,https://www.city.higashine.yamagata.jp/section_list/section021/3348,html,2026-07-05T10:43:04+09:00,JMH-062111-0028
山形県,東根市,観音順礼大絵馬,有形文化財,歴史資料,市指定,2011-04-01,,明治時代。423人ひとりひとりの描写が詳細で、明治後半の庶民生活の様子を示す貴重な史料。,https://www.city.higashine.yamagata.jp/section_list/section021/3348,html,2026-07-05T10:43:04+09:00,JMH-062111-0030
山形県,東根市,わらび手刀,有形文化財,工芸品,市指定,1966-10-05,,刀身1尺7寸3分、巾1寸3分直刀。奈良時代のものと推定。,https://www.city.higashine.yamagata.jp/section_list/section021/3348,html,2026-07-05T10:43:04+09:00,JMH-062111-0001
山形県,東根市,鉄製つぼ鐙,有形文化財,工芸品,市指定,1966-10-05,,奈良時代の鐙、東北でも貴重な品。,https://www.city.higashine.yamagata.jp/section_list/section021/3348,html,2026-07-05T10:43:04+09:00,JMH-062111-0005
