全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
62014,2-001,山形県山形市,立石寺中堂(根本中堂),リッシャクジチュウドウ（コンポンチュウドウ）,,,重要文化財,建造物,,62014,,山形県山形市大字山寺4456-1,山形県,山形市,大字山寺,Jan-56,,38.311035,140.433121,,,,,,,,,,,,立石寺,1908/4/23,,,,,,,,,,,,
62014,2-002,山形県山形市,立石寺三重小塔,リッシャクジサンジュウノショウトウ,,,重要文化財,建造物,,62014,,山形県山形市大字山寺,山形県,山形市,大字山寺,,,38.311291,140.411392,,,,,,,,,,,,立石寺,1952/7/19,,,,,,,,,,,,
62014,2-003,山形県山形市,鳥居,トリイ,,,重要文化財,建造物,,62014,,山形県山形市鳥居ヶ丘,山形県,山形市,鳥居ヶ丘,,,38.229641,140.33342,,,,,,,,,,,,小立財産区（山形市）,1952/11/22,,,,,,,,,,,,
62014,2-004,山形県山形市,八幡神社鳥居,ハチマンジンジャトリイ,,,重要文化財,建造物,,62014,,山形県山形市蔵王成沢字館山129-1,山形県,山形市,蔵王成沢字館山,129-1,,38.200073,140.320801,,,,,,,,,,,,八幡神社,1952/11/22,,,,,,,,,,,,
62014,2-005,山形県山形市,旧済生館本館,キュウサイセイカンホンカン,,,重要文化財,建造物,,62014,,山形県山形市霞城町3,山形県,山形市,霞城町,3,,38.256077,140.328705,,,,,,,,,,,,山形市,1966/12/5,,,,,,,,,,,,
62014,2-006,山形県山形市,旧山形師範学校本館,キュウヤマガタシハンガッコウホンカン,,,重要文化財,建造物,,62014,,山形県山形市緑町2-2-8,山形県,山形市,緑町,2?2?8,,38.254391,140.34906,,,,,,,,,,,,山形県,1973/6/2,,,,,,,,,,,,追加指定有
62014,2-007,山形県山形市,山形県旧県庁舎及び県会議事堂,ヤマガタケンキュウケンチョウシャオヨビケンカイギジドウ,,,重要文化財,建造物,,62014,,山形県山形市旅篭町3-4-51,山形県,山形市,旅篭町,3-4-51,,38.256775,140.34082,,,,,,,,,,,,山形県,1984/12/28,,,,,,,,,,,,
62014,2-008,山形県山形市,旧松應寺観音堂,キュウショウオウジカンノンドウ,,,重要文化財,建造物,,62014,,山形県山形市蔵王半郷字松尾山,山形県,山形市,蔵王半郷字松尾山,,,,,,,,,,,,,,,,個人,1986/12/20,,,,,,,,,,,,
62014,2-009,山形県山形市,専称寺鐘楼,センショウジショウロウ,,,県指定有形文化財,建造物,,62014,,山形県山形市緑町3-7-67,山形県,山形市,山形県山形市緑町,3-7-67,,38.251621,140.346924,,,,,,,,,,,,専称寺,1953/8/31,,,,,,,,,,,,
62014,2-010,山形県山形市,立石寺納経堂,リッシャクジノウキョウドウ,,,県指定有形文化財,建造物,,62014,,山形県山形市大字山寺,山形県,山形市,大字山寺,,,38.311291,140.411392,,,,,,,,,,,,立石寺,1953/8/31,,,,,,,,,,,,
62014,2-011,山形県山形市,宝光院本堂,ホウコウインホンドウ,,,県指定有形文化財,建造物,,62014,,山形県山形市八日町2-1-57,山形県,山形市,八日町,2-1-57,,38.242645,140.327286,,,,,,,,,,,,宝光院,1957/3/1,,,,,,,,,,,,
62014,2-012,山形県山形市,石行寺観音堂,シャクギョウジカンノンドウ,,,県指定有形文化財,建造物,,62014,,山形県山形市大字岩波115,山形県,山形市,大字岩波,115,,38.222244,140.354446,,,,,,,,,,,,石行寺,1983/8/12,,,,,,,,,,,,
62014,2-013,山形県山形市,旧山形師範学校講堂,キュウヤマガタシハンガッコウコウドウ,,,県指定有形文化財,建造物,,62014,,山形県山形市緑町2-2-8,山形県,山形市,緑町,2?2?8,,38.254391,140.34906,,,,,,,,,,,,山形県,1998/5/6,,,,,,,,,,,,
62014,2-014,山形県山形市,鳥海月山両所宮随神門,チョウカイガッサンリョウショグウズイシンモン,,,県指定有形文化財,建造物,,62014,,山形県山形市宮町3-8-43,山形県,山形市,宮町,3-8-43,,38.270962,140.337158,,,,,,,,,,,,鳥海月山両所宮,2015/3/24,,,,,,,,,,,,
62014,2-015,山形県山形市,城輪神社社殿,キノワジンジャシャデン,,,市指定有形文化財,建造物,,62014,,山形県山形市宮町3-8-41,山形県,山形市,宮町,3-8-41,,38.270962,140.337158,,,,,,,,,,,,鳥海月山両所宮,1965/3/5,,,,,,,,,,,,
62014,2-016,山形県山形市,風立寺宝篋印塔,フウリュウジホウキョウイントウ,,,市指定有形文化財,建造物,,62014,,山形県山形市大字下東山字三宝岡433,山形県,山形市,大字下東山字三宝岡,433,,38.30233,140.39209,,,,,,,,,,,,風立寺,1965/3/5,,,,,,,,,,,,
62014,2-017,山形県山形市,吉祥院観音堂及び宮殿,キッショウインカンノンドウオヨビクウデン,,,市指定有形文化財,建造物,,62014,,山形県山形市大字千手堂509,山形県,山形市,大字千手堂,509,,38.310223,140.336472,,,,,,,,,,,,吉祥院,1968/12/27,,,,,,,,,,,,
62014,2-018,山形県山形市,木造釈迦如来立像宮殿,モクゾウシャカニョライリュウゾウクウデン,,,市指定有形文化財,建造物,,62014,,山形県山形市大字釈迦堂66,山形県,山形市,大字釈迦堂,66,,38.238422,140.381516,,,,,,,,,,,,法来寺,1988/3/1,,,,,,,,,,,,
62014,2-019,山形県山形市,専称寺本堂,センショウジホンドウ,,,市指定有形文化財,建造物,,62014,,山形県山形市緑町3-7-67,山形県,山形市,緑町,3-7-67,,38.251621,140.346924,,,,,,,,,,,,専称寺,1990/3/30,,,,,,,,,,,,
62014,2-020,山形県山形市,萬松寺仏殿,バンショウジブツデン,,,市指定有形文化財,建造物,,62014,,山形県山形市大字平清水247,山形県,山形市,大字平清水,247,,38.229637,140.365891,,,,,,,,,,,,萬松寺,1990/3/30,,,,,,,,,,,,
