都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
063631,0400000001,山形県,舟形町,薬師瑠璃光如来,ヤクシルリコウニョライ,薬師瑠璃光如来,,町指定有形文化財,美術工芸品,松橋多目的集会所,舟形町堀内,,38.611979,140.272256,0233-32-2246,,,,,,1962/4/1,,,,,,,,,,,,
063631,0400000002,山形県,舟形町,堀内田植踊り,ホリウチタウエオドリ,堀内田植踊り,,町指定民俗文化財,芸能,,舟形町堀内,,38.691428,140.320186,0233-32-2246,,,,,,1962/4/1,,,,,,,,,,,,無形文化財の為座標を舟形町役場に設定
063631,0400000003,山形県,舟形町,親杉,オヤスギ,親杉,,町指定天然記念物,その他,,舟形町富田,,38.691428,140.320186,0233-32-2246,,,,,,1975/3/1,,,,,,,,,,,,無形文化財の為座標を舟形町役場に設定
063631,0400000004,山形県,舟形町,祈祷塚,キトウヅカ,祈祷塚,,町指定天然記念物,その他,,舟形町富田,,38.672618,140.274678,0233-32-2246,,,,,,1975/3/1,,,,,,,,,,,,
063631,0400000005,山形県,舟形町,薬師如来洗米鉢,ヤクシニョライセンマイバチ,薬師如来洗米鉢,,町指定有形文化財,美術工芸品,松橋多目的集会所,舟形町堀内,,38.611979,140.272256,0233-32-2246,,,,,,1985/2/9,,,,,,,,,,,,
063631,0400000006,山形県,舟形町,林昌院肩衝筒釜,リンショウインカタツキツツガマ,林昌院肩衝筒釜,,町指定有形文化財,美術工芸品,林昌院,舟形町富田,,38.679658,140.279656,0233-32-2246,,,,,,1985/2/9,,,,,,,,,,,,
063631,0400000007,山形県,舟形町,新山神社鰐口,シンザンジンジャワニグチ,新山神社鰐口,,町指定有形文化財,美術工芸品,新山神社,舟形町長沢,,38.704392,140.366075,0233-32-2246,,,,,,1985/2/9,,,,,,,,,,,,
063631,0400000008,山形県,舟形町,長沢和紙,ナガサワワシ,長沢和紙,,町指定無形文化財,工芸技術,,舟形町長沢,,38.691428,140.320186,0233-32-2246,,,,,,1986/3/20,,,,,,,,,,,,無形文化財の為座標を舟形町役場に設定
063631,0400000009,山形県,舟形町,堀内盆踊り,ホリウチボンオドリ,堀内盆踊り,,町指定民俗文化財,芸能,,舟形町堀内,,38.691428,140.320186,0233-32-2246,,,,,,1987/6/20,,,,,,,,,,,,無形文化財の為座標を舟形町役場に設定
063631,0400000010,山形県,舟形町,猿羽根楯,サバネダテ,猿羽根楯,,町指定天然記念物,その他,,舟形町富田,,38.677381,140.281345,0233-32-2246,,,,,,1995/4/24,,,,,,,,,,,,
063631,0400000011,山形県,舟形町,墨画山水漢人屏風,ボクガサンスイカンジンビョウブ,墨画山水漢人屏風,,町指定有形文化財,美術工芸品,福昌寺,舟形町長沢,,38.705203,140.367284,0233-32-2246,,,,,,1998/4/25,,,,,,,,,,,,
063631,0400000012,山形県,舟形町,念仏の松,ネンブツノマツ,念仏の松,,町指定天然記念物,その他,,舟形町長沢,,38.726248,140.3858,0233-32-2246,,,,,,1998/4/25,,,,,,,,,,,,
063631,0400000013,山形県,舟形町,西ノ前遺跡,ニシノマエイセキ,西ノ前遺跡,,町指定天然記念物,その他,西ノ前遺跡,舟形町舟形,,38.692177,140.312734,0233-32-2246,,,,,,2002/7/29,,,,,,,,,,,,
063631,0400000014,山形県,舟形町,大平山神神社 格天井板絵,オオダイラヤマノカミジンジャゴウテンジョウイタエ,大平山神神社 格天井板絵,,町指定有形文化財,美術工芸品,大平山神神社,舟形町舟形,,38.722782,140.34659,0233-32-2246,,,,,,2003/6/23,,,,,,,,,,,,
