pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
山口県,阿武町,木造阿弥陀如来座像,有形文化財,有形文化財,町指定,1998-03-27,奈古2830番地,員数1躯、付・紙本墨書本尊御前立霊像之縁起1巻,https://www.town.abu.lg.jp/guide/bunnkaziitirann/,html,2026-07-12T09:43:22Z,JMH-355020-0001
山口県,阿武町,「長門三十三番順礼独案内」板木,有形文化財,有形文化財,町指定,2000-05-26,宇生賀1326番地,員数4枚,https://www.town.abu.lg.jp/guide/bunnkaziitirann/,html,2026-07-12T09:43:22Z,JMH-355020-0002
山口県,阿武町,銅造鰐口,有形文化財,有形文化財,町指定,2000-05-26,宇生賀1326番地,員数1口,https://www.town.abu.lg.jp/guide/bunnkaziitirann/,html,2026-07-12T09:43:22Z,JMH-355020-0003
山口県,阿武町,平原観音堂半鐘,有形文化財,有形文化財,町指定,2002-05-17,宇田1514番地,員数1口,https://www.town.abu.lg.jp/guide/bunnkaziitirann/,html,2026-07-12T09:43:22Z,JMH-355020-0004
山口県,阿武町,木造如意輪観音坐像,有形文化財,有形文化財,町指定,2005-03-11,宇田1514番地,員数1躯,https://www.town.abu.lg.jp/guide/bunnkaziitirann/,html,2026-07-12T09:43:22Z,JMH-355020-0005
山口県,萩市,旧周布家長屋門,有形文化財,建造物,市指定,1962-01-11,堀内〔萩市〕,,https://www.city.hagi.lg.jp/soshiki/55/2433.html,html,2026-07-12T09:06:08Z,JMH-352047-0004
山口県,萩市,平安橋,有形文化財,建造物,市指定,1962-01-11,平安古町、堀内〔萩市〕,,https://www.city.hagi.lg.jp/soshiki/55/2433.html,html,2026-07-12T09:06:08Z,JMH-352047-0002
山口県,萩市,問田益田氏旧宅土塀,有形文化財,建造物,市指定,1962-12-24,堀内〔個人〕,,https://www.city.hagi.lg.jp/soshiki/55/2433.html,html,2026-07-12T09:06:08Z,JMH-352047-0006
山口県,萩市,旧福原家書院,有形文化財,建造物,市指定,1967-12-25,堀内〔志都岐山神社〕,,https://www.city.hagi.lg.jp/soshiki/55/2433.html,html,2026-07-12T09:06:08Z,JMH-352047-0011
山口県,萩市,小川家長屋門,有形文化財,建造物,市指定,1971-03-26,土原〔個人〕,,https://www.city.hagi.lg.jp/soshiki/55/2433.html,html,2026-07-12T09:06:08Z,JMH-352047-0014
