pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
山梨県,中央市,大福寺破損仏群,有形文化財,歴史資料,市指定,2007-12-05,大鳥居1621,員数：37点、所有・管理者：大福寺、時代：平安,https://www.city.chuo.yamanashi.jp/material/files/group/11/bunkazaigaido2022.pdf,pdf,2026-07-12T00:00:00Z,JMH-192147-0021
山梨県,中央市,木造釈迦如来坐像,有形文化財,彫刻,市指定,1996-09-24,下三条88,員数：1躯、所有・管理者：歓盛院、時代：室町,https://www.city.chuo.yamanashi.jp/material/files/group/11/bunkazaigaido2022.pdf,pdf,2026-07-12T00:00:00Z,JMH-192147-0018
山梨県,中央市,木造聖観音菩薩坐像,有形文化財,彫刻,市指定,1996-09-24,中楯1332,員数：1躯、所有・管理者：龍徳寺、時代：室町,https://www.city.chuo.yamanashi.jp/material/files/group/11/bunkazaigaido2022.pdf,pdf,2026-07-12T00:00:00Z,JMH-192147-0017
山梨県,中央市,木造彩色延命地蔵菩薩立像,有形文化財,彫刻,市指定,1992-02-10,木原1076,員数：1躯、所有・管理者：延命寺、時代：平安,https://www.city.chuo.yamanashi.jp/material/files/group/11/bunkazaigaido2022.pdf,pdf,2026-07-12T00:00:00Z,JMH-192147-0012
山梨県,中央市,木造毘沙門天・持国天立像,有形文化財,彫刻,市指定,1993-02-22,乙黒661,員数：2躯、所有・管理者：蓮華寺、時代：鎌倉,https://www.city.chuo.yamanashi.jp/material/files/group/11/bunkazaigaido2022.pdf,pdf,2026-07-12T00:00:00Z,JMH-192147-0015
山梨県,中央市,木造薬師如来坐像（蓮華寺）,有形文化財,彫刻,市指定,2011-02-01,乙黒624,員数：1躯、所有・管理者：蓮華寺、時代：平安,https://www.city.chuo.yamanashi.jp/material/files/group/11/bunkazaigaido2022.pdf,pdf,2026-07-12T00:00:00Z,JMH-192147-0023
山梨県,中央市,木造普化禅師坐像,有形文化財,彫刻,市指定,1975-03-02,下河東880,員数：1躯、所有・管理者：永源寺、時代：江戸,https://www.city.chuo.yamanashi.jp/material/files/group/11/bunkazaigaido2022.pdf,pdf,2026-07-12T00:00:00Z,JMH-192147-0007
山梨県,中央市,古文書（永源寺）,有形文化財,古文書,市指定,1975-03-02,下河東880,員数：1通、所有・管理者：永源寺、時代：江戸,https://www.city.chuo.yamanashi.jp/material/files/group/11/bunkazaigaido2022.pdf,pdf,2026-07-12T00:00:00Z,JMH-192147-0004
山梨県,中央市,葵金具付御簾,有形文化財,工芸品,市指定,1975-03-02,乙黒,員数：2竿、所有・管理者：個人、時代：江戸,https://www.city.chuo.yamanashi.jp/material/files/group/11/bunkazaigaido2022.pdf,pdf,2026-07-12T00:00:00Z,JMH-192147-0008
山梨県,中央市,明暗寺尺八,有形文化財,工芸品,市指定,1975-03-02,乙黒,員数：2管、所有・管理者：個人、時代：江戸,https://www.city.chuo.yamanashi.jp/material/files/group/11/bunkazaigaido2022.pdf,pdf,2026-07-12T00:00:00Z,JMH-192147-0005
山梨県,中央市,明暗寺屋根瓦,有形文化財,工芸品,市指定,1975-03-02,乙黒／下河東880,員数：2枚・1枚、所有・管理者：個人／永源寺、時代：江戸,https://www.city.chuo.yamanashi.jp/material/files/group/11/bunkazaigaido2022.pdf,pdf,2026-07-12T00:00:00Z,JMH-192147-0006
山梨県,中央市,三星院の梵鐘,有形文化財,工芸品,市指定,2003-06-06,木原1800,員数：1口、所有・管理者：三星院、時代：江戸,https://www.city.chuo.yamanashi.jp/material/files/group/11/bunkazaigaido2022.pdf,pdf,2026-07-12T00:00:00Z,JMH-192147-0020
山梨県,中央市,石造六地蔵菩薩立像,有形文化財,彫刻,市指定,1992-02-10,関原1314,員数：6躯、所有・管理者：慈運院、時代：江戸,https://www.city.chuo.yamanashi.jp/material/files/group/11/bunkazaigaido2022.pdf,pdf,2026-07-12T00:00:00Z,JMH-192147-0014
山梨県,中央市,有泉家の算木,有形文化財,歴史資料,市指定,2014-04-08,大鳥居,員数：1式、所有・管理者：個人、時代：江戸,https://www.city.chuo.yamanashi.jp/material/files/group/11/bunkazaigaido2022.pdf,pdf,2026-07-12T00:00:00Z,JMH-192147-0024
山梨県,中央市,三井家文書,有形文化財,書籍,市指定,2016-03-03,山之神,員数：9点、所有・管理者：山梨県立博物館寄託、時代：戦国,https://www.city.chuo.yamanashi.jp/material/files/group/11/bunkazaigaido2022.pdf,pdf,2026-07-12T00:00:00Z,JMH-192147-0025
山梨県,中央市,八幡大神社本殿附棟札,有形文化財,建造物,市指定,1988-02-09,西花輪3976,員数：1棟、所有・管理者：八幡大神社、時代：江戸,https://www.city.chuo.yamanashi.jp/material/files/group/11/bunkazaigaido2022.pdf,pdf,2026-07-12T00:00:00Z,JMH-192147-0009
