種類,名称,所在地,電話番号,所有者,指定年月日,摘要
国指定重要文化財,八窓庵（旧舎那院忘筌）,"北海道札幌市中央区中島公園1番
",011-531-0029,札幌市,1950-08-29,江戸初期の茶人小堀遠州（1579～1647年）の晩年の作と伝えられる草庵風の茶室。
国指定重要文化財,豊平館,北海道札幌市中央区中島公園1番20号,011-211-1951,札幌市,1964-05-26,明治13年に開拓使が建てた洋風建築物で、明治初期のホテル建築の貴重な遺構。
国指定重要文化財,北海道庁旧本庁舎（赤れんが庁舎）,北海道札幌市中央区北2・3条西5・6丁目,011-231-4111,北海道,1969-03-21,明治21年に建てられた米国風ネオ・バロック様式の官庁建築物。
国指定重要文化財,北海道大学農学部（旧東北帝国大学農科大学）第二農場,"北海道札幌市北区北18・19条西7・8丁目北海道大学構内
",011-716-2111,国立大学法人北海道大学,1969-08-19,明治42年から本道酪農の模範農場として造られた。耕馬舎、穀物庫等全9棟。
国指定重要文化財,旧札幌農学校演武場（時計台）,北海道札幌市中央区北1条西2丁目,011-231-0838,札幌市,1970-06-17,米国中西部建築様式の影響を受けた実用的な建物で、明治11年に開拓使が建築。
国指定重要文化財,北海道大学農学部植物園・博物館,北海道札幌市中央区北3条西8丁目北海道大学植物園内,011-221-0066,国立大学法人北海道大学,1989-05-19,"明治15年建築の博物館本館
同33年建築の博物館事務所
同17年建築の博物館倉庫
同44年建築の植物園門衛所など"
国指定重要文化財,旧開拓使工業局庁舎,北海道札幌市厚別区厚別町小野幌（北海道開拓の村内）,,北海道,2013-08-07,明治10年に札幌市街中心部に建設され、昭和54年に北海道開拓の村に創建時の姿で移築された。明治初期の北海道開拓を支えた開拓使工業局の工作場の現存唯一の遺構
国指定重要文化財,太刀　銘国俊,,,個人所有,1933-01-23,山城国粟田口の刀鍛冶、国俊作の太刀。刃文は甘美ではないが鍛えが優れており、古来名刀として名高い。
国指定重要文化財,刀　無銘伝来国行,,,個人所有,1956-06-28,その作風と優れた技量からみて来派の作と鑑定されるもので、国行の作と見られる健全な名刀。
国指定重要文化財,箱館奉行所文書,北海道札幌市中央区北3条西6丁目北海道立文書館,011-204-5077,北海道,2004-06-08,神奈川条約に基づいて設置された箱館奉行所及び出先機関で作成・受理された167点の文書。
国指定重要文化財,開拓使文書,北海道札幌市中央区北3条西6丁目北海道立文書館,011-204-5077,北海道,2014-08-21,明治2年に設置され北海道・千島・樺太を管轄した開拓使の文書。
国指定重要有形民俗文化財,アイヌのまるきぶね,北海道札幌市中央区北3条西8丁目北海道大学植物園北方民族資料室内,011-221-0066,国立大学法人北海道大学,1957-06-03,シイク・トヨタリケ氏によって、大正末期に製作。
国指定重要無形民俗文化財,アイヌ古式舞踊,北海道札幌市南区小金湯27札幌市アイヌ文化交流センタ一（保護団体事務局）,011-596-1610,札幌ウポポ保存会,1994-12-21,北海道に居住しているアイヌの人々に伝承されている芸能。
国指定史跡,開拓使札幌本庁本庁舎跡および旧北海道庁本庁舎,北海道札幌市中央区北2・3条西5・6丁目,011-231-4111,北海道,1967-12-15,明治6年10月に建築された開拓使札幌本庁舎跡。
国指定史跡,琴似屯田兵村兵屋跡,北海道札幌市西区琴似2条5丁目,011-621-1988,札幌市,1982-05-07,明治7年に建設された北海道最初の屯田兵村の兵屋跡で兵屋番号133番。
国指定天然記念物,円山原始林,"北海道札幌市中央区円山
",011-563-6111（石狩森林管理署）,林野庁,1921-03-03,海抜226mの山で390種の植物分布がみられる。
国指定天然記念物,藻岩原始林,北海道札幌市南区藻岩山,011-563-6111（石狩森林管理署）,林野庁,1921-03-03,414種の冷温帯の豊富な植物分布がある。海抜531m。
道指定有形文化財,琴似屯田兵屋,北海道札幌市西区琴似1条7丁目琴似神社境内,011-621-5544,琴似神社（管理琴似屯田保存会）,1964-10-03,明治8年に入植した北海道最初の屯田兵村の兵屋の1棟で、兵屋番号140番の遺構。
道指定有形文化財,札幌市K-446遺跡出土の遺物,北海道札幌市中央区南22条西13丁目札幌市埋蔵文化財センタ一,011-512-5430,札幌市,1980-08-12,擦文時代の土器、土製支脚、紡錘車の合計17個。
道指定有形文化財,旧永山武四郎邸,北海道札幌市中央区北2条東6丁目2番地,011-232-0450,札幌市,1987-11-27,第2代北海道庁長官永山武四郎の私邸で、明治10年代に建築された和洋折衷の住宅。
道指定有形文化財,新琴似村屯田兵村記録,北海道札幌市北区北8条西5丁目北海道大学附属図書館,011-706-3956,国立大学法人北海道大学,2016-03-31,北区新琴似地区に入植した屯田兵の明治中期～昭和初期の自治活動に関する記録。
市指定有形文化財,清華亭,北海道札幌市北区北7条西7丁目,011-746-1088,札幌市,1961-06-07,札幌最初の公園「偕楽園」に明治13年貴賓接待所として建築。
市指定有形文化財,新琴似屯田兵中隊本部,北海道札幌市北区新琴似8条3丁目,011-765-3048（現地管理人）、011-761-4205（新琴似まちづくりセンタ一）,札幌市,1974-04-20,明治19年に新琴似屯田兵村の本部として建築されたもので、週番所（中隊本部）としては札幌に残る唯一のもの。
市指定有形文化財,旧黒岩家住宅（旧簾舞通行屋）,北海道札幌市南区簾舞1条2丁目,011-596-2825,札幌市,1984-03-28,明治5年に有珠新道の交通の要所となるミソマップ（簾舞）に建築されたもので、札幌における通行屋の唯一の遺構。
市指定有形文化財,木造日蓮聖人坐像,北海道札幌市中央区南11条西9丁目豊葦山妙心寺,011-511-7634,"豊葦山
妙心寺",1981-07-21,彩色寄木造りで、僧日住が厄除けのため寛文6年（1666年）に造立させたもの。
