都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
122335,0400000001,千葉県,富里市,富里牧羊場跡,トミサトボクヨウジョウアト,牧羊場,An Old Sheep Farming Site,千葉県指定記念物;史跡,,,千葉県富里市十倉1322-4,,35.716458,140.3657,(0476)93-7641,542,100,㎡,1000020122335,富里市,1955-12-15,,,,,,,明治8年に開設された日本初の官営牧羊場の跡地である。開設時の功労者である大久保利通を顕彰する石碑が建つ。,,,,http://www.city.tomisato.lg.jp/0000001140.html,
122335,0400000002,千葉県,富里市,南大溜袋遺跡,ミナミオオタメブクロイセキ,,MINAMI OTAME BUKURO RUINS,千葉県指定記念物;史跡,,,千葉県富里市七栄91-7,,35.730293,140.306456,(0476)93-7641,542,40,㎡,,個人,1975-03-28,,,,,,,縄文時代草創期の石槍を中心とした石器群が検出されている。,,,,http://www.city.tomisato.lg.jp/0000001152.html,
122335,0400000003,千葉県,富里市,佐倉牧の牧士資料,サクラマキノモクシシリョウ,藤崎牧士資料,,千葉県指定有形文化財,美術工芸品,,千葉県富里市七栄652-1,,35.727347,140.343873,(0476)93-7641,542,41,点,1000020122335,富里市,1975-12-12,,,,,,,江戸時代の徳川幕府直轄牧のひとつである取香牧の管理を担った牧士である藤崎家に伝わる資料群である。,,,,http://www.city.tomisato.lg.jp/0000001154.html,
122335,0400000004,千葉県,富里市,中沢城址,ナカザワジョウシ,中沢城,The Site Of NAKAZAWA Castle,富里市指定記念物;史跡,,,千葉県富里市中沢290,,35.722663,140.320013,(0476)93-7641,542,6158,㎡,,個人,2007-03-23,,,,,,,中世の単郭式山城である。千葉氏に連なる三谷氏の居城と考えられる。,,,,http://www.city.tomisato.lg.jp/0000001155.html,
122335,0400000005,千葉県,富里市,大久保卿牧羊場選定の碑,オオクボキョウボクヨウジョウセンテイノヒ,選定の碑,A Monument of the selection of a sheep farming field by The Home Secretary Okubo,富里市指定有形文化財,美術工芸品,,千葉県富里市御料171-3,豊受神社敷地内,35.707953,140.374287,(0476)93-7641,542,1,基,,宮内区,2007-03-23,,,,,,,明治8年に開設された下総牧羊場の用地選定の際に、当時の内務卿であった大久保利通の現地視察において、適地であると判断した場所に建てられていた石柱である。,,,,http://www.city.tomisato.lg.jp/0000001159.html,
122335,0400000006,千葉県,富里市,宝篋印塔,ホウキョウイントウ,,HOKYOIN Tower,富里市指定有形文化財,美術工芸品,,千葉県富里市中沢593,昌福寺境内,35.723937,140.315446,(0476)93-7641,542,1,基,,昌福寺,2007-03-23,,,,,,,中世の代表的な石塔である。当該期の石造文化財として、当市で唯一基礎部分に応永33年（1426年）と年号が刻まれたものである。,,,,http://www.city.tomisato.lg.jp/0000001161.html,
122335,0400000007,千葉県,富里市,東内野遺跡,ヒガシウチノイセキ,,HIGASHI UCHINO SITE,富里市指定記念物;史跡,,,千葉県富里市七栄272-19の一部　外,,35.733874,140.328551,(0476)93-7641,542,1,件,,個人,2007-03-23,,,,,,,"昭和51年に調査を実施し、市内最多の出土遺物数（約13,000点）を誇る遺跡である。ここで出土した特徴的な石器は、この地の地名を冠して「東内野型尖頭器」と名付けられた。",,,,http://www.city.tomisato.lg.jp/0000001164.html,
122335,0400000008,千葉県,富里市,吉川植林計画図,キッカワショクリンケイカクズ,,A Picture of Afforestation of KKIKKAWA,富里市指定有形文化財,美術工芸品,,,,,,(0476)93-7641,542,4,点,,個人,2007-03-23,,,,,,,明治15年に政府から払下げを受けた子爵吉川経健が、農場を経営を目指したが、上手くいかずに植林事業へと転じた様子を描いたものである。全４幅からなり、過去（農場時代）・過去（植栽当時の状況）・現在（林種の変更）・出荷予想等（植付から120年目）となっている。,,,,http://www.city.tomisato.lg.jp/0000001168.html,
122335,0400000009,千葉県,富里市,高野六地蔵・六観音,コオウヤロクジゾウ・ロクカンノン,,KOYA 6 JIZO 6 KANNON,富里市指定有形文化財,美術工芸品,,千葉県富里市高野558,,35.709883,140.346097,(0476)93-7641,542,1,基,,高野区,2007-03-23,,,,,,,享保３年（1718年）に造立された笠付角柱型の石造物で、正面及び左右の３面に浮彫にて２躯づつ、上段に六地蔵、下段に六観音が配されている。,,,,http://www.city.tomisato.lg.jp/0000001170.html,
122335,0400000010,千葉県,富里市,久能獅子舞,クノウシシマイ,,,富里市指定無形民俗文化財,,,千葉県富里市久能553-1,久能駒形神社,35.759497,140.33947,(0476)93-7641,542,1,件,,久能獅子舞保存会,1989-12-02,,,,,,,約300年前から行われていると三匹獅子舞であり、市内に現存する郷土芸能では、最も古いものである。例年４月３日と８月最終日曜日に、久能の駒形神社にて奉納されている。,,,,http://www.city.tomisato.lg.jp/0000001175.html,
122335,0400000011,千葉県,富里市,武州ばやし,ブシュウバヤシ,,,富里市指定無形民俗文化財,,,千葉県富里市十倉296-1,武州稲荷神社,35.710595,140.354803,(0476)93-7641,542,1,件,,武州ばやし保存会,1989-12-02,,,,,,,明治30年頃から、埼玉県から移住してきた人々によって始められたものである。出身地である埼玉県の古称である「武州」に伝わるお囃子を基本としたことから「武州の馬鹿面」と呼んでいたそうです。一時戦争などで中断していた時期もありますが、昭和52年ごろに「武州ばやし」として復活したものである。現在は保存会の活動が休止しており、実施はされていない。,,,,http://www.city.tomisato.lg.jp/0000001178.html,
122335,0400000012,千葉県,富里市,中沢麦つき踊り,ナカザワムギツキオドリ,,,富里市指定無形民俗文化財,,,千葉県富里市新中沢232,中沢稲荷神社,35.721564,140.317667,(0476)93-7641,542,1,件,,中沢麦つき踊り保存会,1989-12-02,,,,,,,もとは農作業中に歌われていた作業歌で、即興的に口ずさんでいたものである。いつの頃からかこの歌に踊りが加わり、中沢の稲荷神社にて奉納されるようになったものである。例年10月17日の祭礼の際に奉納されている。,,,,http://www.city.tomisato.lg.jp/0000001180.html,
