団体コード,団体名,文化財名,概要,指定区分,カテゴリ,員数,場所名称,場所_住所,場所_緯度,場所_経度,指定年月日,祭日,文化財公開の有無,自由記述欄,画像,画像_ライセンス,画像_画像テキスト,文化財所有者,文化財保有施設,文化財保有施設_連絡先,文化財保有施設_電話番号,文化財保有施設_メールアドレス,文化財保有施設URL
114642,杉戸町,"太刀
銘「備州長船秀光応安ニニ年十月」",,国指定,工芸品,,,,,,昭和28･ 3･31,,,,,,,個人,,,,,
114642,杉戸町,日光御成街道一里塚,,県指定,史跡,,,,,,大正15･ 2･19,,,,,,,杉戸町,,,,,
114642,杉戸町,大島有隣遺跡,,県指定,史跡,,,,,,昭和 6･ 3･27,,,,,,,大島有隣遺跡保存会,,,,,
114642,杉戸町,目沼9号墳出土品一括,,県指定,考古資料,,,,,,昭和63･ 2･26,,,,,,,杉戸町,,,,,
114642,杉戸町,西行法師見返りの松碑,,町指定,史跡,,,,,,昭和37･ 2･28,,,,,,,個人,,,,,
114642,杉戸町,天満宮の槙,,町指定,天然記念物,,,,,,昭和37･ 2･28,,,,,,,天満宮,,,,,
114642,杉戸町,旧利根川堤防跡,,町指定,史跡,,,,,,昭和37･ 7･ 1,,,,,,,民有地,,,,,
114642,杉戸町,杉山対軒遭難の碑,,町指定,史跡,,,,,,昭和56･ 3･19,,,,,,,杉戸町,,,,,
114642,杉戸町,文永7年銘板石塔婆,,町指定,考古資料,,,,,,平成 3･ 6･ 1,,,,,,,馬頭院,,,,,
114642,杉戸町,大島有隣・関口保宣・藤城吉右衛門各氏の墓,,町指定,史跡,,,,,,平成 3･ 6･ 1,,,,,,,個人,,,,,
114642,杉戸町,藤城家文書,,町指定,古文書,,,,,,平成 3･12･27,,,,,,,個人,,,,,
114642,杉戸町,目沼浅間塚古墳,,県指定・町指定,史跡,,,,,,平成 3･12･27,,,,,,,杉戸町,,,,,
114642,杉戸町,大塚の神楽,,町指定,無形民俗,,,,,,平成 4･10･27,,,,,,,大塚同志会,,,,,
114642,杉戸町,茨島の神楽・囃子,,町指定,無形民俗,,,,,,平成 4･10･27,,,,,,,茨島囃子保存会,,,,,
114642,杉戸町,円空作白衣観音立像,,町指定,彫刻,,,,,,平成 4･10･27,,,,,,,個人,,,,,
114642,杉戸町,円空作神像,,町指定,彫刻,,,,,,平成 4･10･27,,,,,,,個人,,,,,
114642,杉戸町,杉戸宿本陣宿札（関札）,,町指定,歴史資料,,,,,,平成 4･10･27,,,,,,,個人,,,,,
114642,杉戸町,大塚の道しるべ,,町指定,史跡,,,,,,平成 7･ 3･27,,,,,,,杉戸町,,,,,
114642,杉戸町,小島家文書,,町指定,古文書,,,,,,平成 9･ 3･17,,,,,,,個人,,,,,
114642,杉戸町,目沼２号墳関連資料,,町指定,考古資料,,,,,,平成18・10・13,,,,,,,杉戸町・教育委員会ほか,,,,,
114642,杉戸町,長瀬家文書,,町指定, 古文書,,,,,,平成18・10・13,,,,,,,個人,,,,,
114642,杉戸町,出役図絵馬・伊勢太々神楽図絵馬,,町指定,絵画,,,,,,平成19・5・2,,,,,,,鷲神社,,,,,
114642,杉戸町,酒造図絵馬・桶づくり図絵馬,,町指定,絵画,,,,,,平成19・5・2,,,,,,,稲荷神社,,,,,
114642,杉戸町,神馬奉献図絵馬,,町指定,絵画,,,,,,平成19・5・2,,,,,,,愛宕神社,,,,,
114642,杉戸町,正明寺聖教文書（一括）,,町指定,古文書,,,,,,平成24・2・15,,,,,,,個人,,,,,
114642,杉戸町,目沼瓢箪塚古墳埴輪,,町指定,考古資料,,,,,,平成25・8・20,,,,,,,杉戸町・教育委員会ほか,,,,,
114642,杉戸町,木津内貝塚,,県指定,貝塚,,,,,,昭和44･10･ 1,,,,,,,民有地,,,,,
114642,杉戸町,山合遺跡,,県指定,集落跡,,,,,,昭和51･10･ 1,,,,,,,民有地,,,,,
114642,杉戸町,神明貝塚,,県指定,貝塚,,,,,,昭和44･10･ 1,,,,,,,民有地,,,,,
114642,杉戸町,木野川古墳群,,県指定,古墳群,,,,,,昭和51･10･ 1,,,,,,,民有地,,,,,
