全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,住所
382019,0000000001,愛媛県松山市,石手寺二王門,イシテジニオウモン,,,国宝,建造物,,382019,18002,愛媛県松山市石手2,愛媛県,松山市,石手,2,,33.84750047,132.7965469,,,,,,,,,1,棟,,,1952/11/22,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/isiteji_nioumon.html,,愛媛県松山市石手2
382019,0000000002,愛媛県松山市,大宝寺本堂　附　厨子１基　棟札１枚,タイホウジホンドウ　ツケタリ　ズシ　ムナフダ,,,国宝,建造物,,382019,313005,愛媛県松山市南江戸5,愛媛県,松山市,南江戸,5,,33.84174141,132.7422099,,,,,,,,,1,棟,,,1953/3/31,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/taihouji_hondou.html,,愛媛県松山市南江戸5
382019,0000000003,愛媛県松山市,太山寺本堂,タイサンジホンドウ,,,国宝,建造物,,382019,163000,愛媛県松山市太山寺町,愛媛県,松山市,太山寺町,,,33.88504027,132.7149663,,,,,,,,,1,棟,,,1956/6/28,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/taisannji_hondou.html,,愛媛県松山市太山寺町
382019,0000000004,愛媛県松山市,太山寺二王門,タイサンジニオウモン,,,重要文化財,建造物,,382019,163000,愛媛県松山市太山寺町,愛媛県,松山市,太山寺町,,,33.8839958,132.7200092,,,,,,,,,1,棟,,,1904/8/29,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/taisanji_nioumon.html,,愛媛県松山市太山寺町
382019,0000000005,愛媛県松山市,石手寺本堂　附 銘札１枚、棟札３枚,イシテジホンドウ　ツケタリ　メイサツ　ムナフダ　,,,重要文化財,建造物,,382019,18002,愛媛県松山市石手2,愛媛県,松山市,石手,2,,33.84787242,132.7964859,,,,,,,,,1,棟,,,1907/5/27,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/isiteji_hondou.html,,愛媛県松山市石手2
382019,0000000006,愛媛県松山市,石手寺三重塔　附 棟札１枚,イシテジサンジュウトウ　ツケタリ　ムナフダ,,,重要文化財,建造物,,382019,18002,愛媛県松山市石手2,愛媛県,松山市,石手,2,,33.84772345,132.7967028,,,,,,,,,1,棟,,,1907/5/27,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/isiteji_sannjuunotou.html,,愛媛県松山市石手2
382019,0000000007,愛媛県松山市,石手寺鐘楼,イシテジショウロウ,,,重要文化財,建造物,,382019,18002,愛媛県松山市石手2,愛媛県,松山市,石手,2,,33.84763646,132.7968318,,,,,,,,,1,棟,,,1907/5/27,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/isiteji_shourou.html,,愛媛県松山市石手2
382019,0000000008,愛媛県松山市,石手寺五輪塔,イシテジゴリントウ,,,重要文化財,建造物,,382019,18002,愛媛県松山市石手2,愛媛県,松山市,石手,2,,33.84919523,132.7965139,,,,,,,,,1,基,,,1952/11/22,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/isiteji_gorintou.html,,愛媛県松山市石手2
382019,0000000009,愛媛県松山市,石手寺訶梨帝母天堂,イシテジカリテイモテンドウ,,,重要文化財,建造物,,382019,18002,愛媛県松山市石手2,愛媛県,松山市,石手,2,,33.84800441,132.7968788,,,,,,,,,1,棟,,,1953/3/31,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/isiteji_kariteimo.html,,愛媛県松山市石手2
382019,0000000010,愛媛県松山市,石手寺護摩堂　附　棟札２枚,イシテジゴマドウ　ツケタリ　ムナフダ,,,重要文化財,建造物,,382019,18002,愛媛県松山市石手2,愛媛県,松山市,石手,2,,33.84784743,132.7968848,,,,,,,,,1,棟,,,1953/3/31,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/isiteji_gomadou.html,,愛媛県松山市石手2
