都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
382159,0000000001,愛媛,東温市,三島神社本殿,ミシマジンジャホンデン,,,重要文化財,,,愛媛県東温市則之内乙2615,,,,,,,,,,1992-08-10,,,,,,,,,,,,
382159,0000000002,愛媛,東温市,医王寺本堂内厨子,イオウジホンドウナイズシ,,,重要文化財,,,愛媛県東温市北方1551-1,,,,,,,,,,1966-06-11,,,,,,,,,,,,
382159,0000000003,愛媛,東温市,木造随身立像2躯,モクゾウズイシンリュウゾウ,,,県指定有形文化財,,,愛媛県東温市則之内乙2615,,,,,,,,,,1976-04-06,,,,,,,,,,,,
382159,0000000004,愛媛,東温市,ウラジロガシ,ウラジロガシ,,,県指定天然記念物,,,愛媛県東温市河之内甲4875-2,,,,,,,,,,1979-03-20,,,,,,,,,,,,
382159,0000000005,愛媛,東温市,光明寺本堂,コウミョウジホンドウ,,,市指定有形文化財,,,愛媛県東温市滑川甲1281,,,,,,,,,,2004-08-06,,,,,,,,,,,,
382159,0000000006,愛媛,東温市,川上神社本殿,カワカミジンジャホンデン,,,市指定有形文化財,,,愛媛県東温市南方375,,,,,,,,,,2004-08-06,,,,,,,,,,,,
382159,0000000007,愛媛,東温市,西法寺五輪塔群,サイホウジゴリントウグン,,,市指定有形文化財,,,愛媛県東温市北方甲1572-1,,,,,,,,,,1974-01-23,,,,,,,,,,,,
382159,0000000008,愛媛,東温市,北方三島神社常夜灯,キタカタミシマジンジャジョウヤトウ,,,市指定有形文化財,,,愛媛県東温市北方甲10-2,,,,,,,,,,1977-04-25,,,,,,,,,,,,
382159,0000000009,愛媛,東温市,上林の六十六部回国供養塔1,カミハヤシノロクジュウロクブカイコククヨウトウイチ,,,市指定有形文化財,,,愛媛県東温市上林甲2913-2,,,,,,,,,,1997-04-01,,,,,,,,,,,,
382159,0000000010,愛媛,東温市,上林の六十六部回国供養塔2,カミハヤシノロクジュウロクブカイコククヨウトウニ,,,市指定有形文化財,,,愛媛県東温市上林甲2364,,,,,,,,,,1997-04-01,,,,,,,,,,,,
382159,0000000011,愛媛,東温市,上林の六十六部回国供養塔3,カミハヤシノロクジュウロクブカイコククヨウトウサン,,,市指定有形文化財,,,愛媛県東温市上林甲2364,,,,,,,,,,1997-04-01,,,,,,,,,,,,
382159,0000000012,愛媛,東温市,上林の六十六部回国供養塔4,カミハヤシノロクジュウロクブカイコククヨウトウシ,,,市指定有形文化財,,,愛媛県東温市上林甲1641,,,,,,,,,,1997-04-01,,,,,,,,,,,,
382159,0000000013,愛媛,東温市,上林の六十六部回国供養塔5,カミハヤシノロクジュウロクブカイコククヨウトウゴ,,,市指定有形文化財,,,愛媛県東温市上林甲1641,,,,,,,,,,1997-04-01,,,,,,,,,,,,
382159,0000000014,愛媛,東温市,上林の六十六部回国供養塔6,カミハヤシノロクジュウロクブカイコククヨウトウロク,,,市指定有形文化財,,,愛媛県東温市上林甲551-1,,,,,,,,,,1997-04-01,,,,,,,,,,,,
382159,0000000015,愛媛,東温市,上林の六十六部回国供養塔7,カミハヤシノロクジュウロクブカイコククヨウトウナナ,,,市指定有形文化財,,,愛媛県東温市上林甲393-3,,,,,,,,,,1997-04-01,,,,,,,,,,,,
382159,0000000016,愛媛,東温市,宇氣洲神社社叢,ウキスジンジャシャソウ,,,市指定天然記念物,,,愛媛県東温市田窪1585-2,,,,,,,,,,2004-04-01,,,,,,,,,,,,
382159,0000000017,愛媛,東温市,雨乞い三面,アマゴイサンメン,,,市指定有形文化財,,,愛媛県東温市牛渕584-1・愛媛県東温市野田1-20-11,,,,,,,,,,2004-04-01,,,,,,,,,,,,
382159,0000000018,愛媛,東温市,船川神社本殿,フナカワジンジャホンデン,,,市指定有形文化財,,,愛媛県東温市上村甲275-1,,,,,,,,,,2004-04-01,,,,,,,,,,,,
382159,0000000019,愛媛,東温市,経塚(猿塚),キョウヅカ（サルヅカ）,,,市指定有形文化財,,,愛媛県東温市下林甲193-2,,,,,,,,,,1970-03-21,,,,,,,,,,,,
382159,0000000020,愛媛,東温市,別府の石造物群,ベフノセキゾウブツグン,,,市指定有形文化財,,,愛媛県東温市下林甲2089,,,,,,,,,,1997-04-01,,,,,,,,,,,,
382159,0000000021,愛媛,東温市,三島神社木造こまいぬ一対,ミシマジンジャモクゾウコマイヌイッツイ,,,市指定有形文化財,,,愛媛県東温市則之内乙2615,,,,,,,,,,1997-04-21,,,,,,,,,,,,
382159,0000000022,愛媛,東温市,善城寺須弥壇,ゼンジョウジシュミダン,,,市指定有形文化財,,,愛媛県東温市井内甲702-1,,,,,,,,,,2000-04-11,,,,,,,,,,,,
382159,0000000023,愛媛,東温市,土谷三島神社やなぐい,ツチヤミシマジンジャヤナグイ,,,市指定有形文化財,,,愛媛県東温市河之内甲491,,,,,,,,,,2000-04-11,,,,,,,,,,,,
382159,0000000024,愛媛,東温市,三輪田米山筆三十六歌仙絵馬,ミワダベイザンヒツサンジュウロッカセンエマ,,,市指定有形文化財,,,愛媛県東温市野田1-20-11,,,,,,,,,,1981-07-01,,,,,,,,,,,,
382159,0000000025,愛媛,東温市,拝志古窯群出土遺物,ハイシコヨウグンシュツドイブツ,,,市指定有形文化財,,,愛媛県東温市見奈良509-3,,,,089-964-0701,,,,,東温市,2004-04-01,,,,,,,,,,,,
382159,0000000026,愛媛,東温市,銭壺および古銭,ゼニツボオヨビコセン,,,市指定有形文化財,,,愛媛県東温市見奈良509-３,,,,089-964-0701,,,,,東温市,1981-07-01,,,,,,,,,,,,
382159,0000000027,愛媛,東温市,光明寺本堂側面絵図,コウミョウジホンドウソクメンエズ,,,市指定有形文化財,,,愛媛県東温市滑川甲1281,,,,,,,,,,2004-08-06,,,,,,,,,,,,
382159,0000000028,愛媛,東温市,北方獅子舞,キタカタシシマイ,,,市指定無形文化財,,,愛媛県東温市南方,,,,,,,,,,1977-04-25,,,,,,,,,,,,
382159,0000000029,愛媛,東温市,十七夜,ジュウシチヤ,,,市指定無形民俗文化財,,,愛媛県東温市北方甲1551-1,,,,,,,,,,2004-03-05,,,,,,,,,,,,
382159,0000000030,愛媛,東温市,百八灯,ヒャクハットウ,,,市指定無形民俗文化財,,,愛媛県東温市吉久,,,,,,,,,,2004-03-05,,,,,,,,,,,,
382159,0000000031,愛媛,東温市,ねり行事,ネリギョウジ,,,市指定無形民俗文化財,,,愛媛県東温市牛渕,,,,,,,,,,1997-04-01,,,,,,,,,,,,
382159,0000000032,愛媛,東温市,一畳庵,イチジョウアン,,,市指定有形文化財,,,愛媛県東温市河之内甲4874,,,,,,,,,,1977-04-25,,,,,,,,,,,,
382159,0000000033,愛媛,東温市,上市地蔵尊・下市地蔵尊,カミイチジゾウソン・シモイチジゾウソン,,,市指定史跡,,,愛媛県東温市志津川526-1・愛媛県東温市志津川甲1513-1,,,,,,,,,,2004-04-01,,,,,,,,,,,,
382159,0000000034,愛媛,東温市,日浦ムクノキ(双樹),ヒウラムクノキ（ソウジュ）,,,市指定天然記念物,,,愛媛県東温市河之内甲2637,,,,,,,,,,2004-08-06,,,,,,,,,,,,
382159,0000000035,愛媛,東温市,雨滝イスの木群生,アマタキイスノキグンセイ,,,市指定天然記念物,,,愛媛県東温市河之内甲4845,,,,,,,,,,1963-04-01,,,,,,,,,,,,
382159,0000000036,愛媛,東温市,九尾エドヒガンザクラ,クオエドヒガンザクラ,,,市指定天然記念物,,,愛媛県東温市井内甲2411-2,,,,,,,,,,1975-05-15,,,,,,,,,,,,
