全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
132098,,町田市,十六羅漢図,,,,市指定有形文化財,美術工芸品,,132098,,東京都町田市小山町3629,東京都,町田市,小山町,3629,,35.60228,139.353657,,,,,,,,1940212,,,,,23706,,,,,,,,,,,,
132098,,町田市,釈迦如来坐像,,,,市指定有形文化財,美術工芸品,,132098,,東京都町田市小山町3629,東京都,町田市,小山町,3629,,35.60228,139.353657,,,,,,,,1940212,,,,,23849,,,,,,,,,,,,
132098,,町田市,長福寺本堂格天井花丸絵画,,,,市指定有形文化財,美術工芸品,,132098,,東京都町田市相原町2109,東京都,町田市,相原町,2109,,35.607383,139.320776,,,,,,,,1940211,,,,,26731,,,,,,,,,,,,
132098,,町田市,無極和尚坐像,,,,都指定有形文化財,美術工芸品,,132098,,東京都町田市下小山田町332,東京都,町田市,下小山田町,332,,35.599262,139.411249,,,,,,,,1940202,,,,,22312,,,,,,,,,,,,
132098,,町田市,観世音菩薩立像,,,,都指定有形文化財,美術工芸品,,132098,,東京都町田市小山町2524,東京都,町田市,小山町,2524,,35.598202,139.368428,,,,,,,,1940212,,,,,22312,,,,,,,,,,,,
132098,,町田市,菩薩立像脇侍像,,,,市指定有形文化財,美術工芸品,,132098,,東京都町田市小山町2524,東京都,町田市,小山町,2524,,35.598202,139.368428,,,,,,,,1940212,,,,,32094,,,,,,,,,,,,
132098,,町田市,阿弥陀三尊像,,,,市指定有形文化財,美術工芸品,,132098,,東京都町田市原町田3-5-12,東京都,町田市,原町田3丁目,45424,,35.540998,139.45214,,,,,,,,1940013,,,,,23849,,,,,,,,,,,,
132098,,町田市,阿弥陀三尊像,,,,市指定有形文化財,美術工芸品,,132098,,東京都町田市本町田3654,東京都,町田市,本町田,3654,,35.563471,139.450657,,,,,,,,1940032,,,,,23849,,,,,,,,,,,,
132098,,町田市,阿弥陀如来坐像,,,,市指定有形文化財,美術工芸品,,132098,,東京都町田市相原町3729,東京都,町田市,相原町,3729,,35.607971,139.301523,,,,,,,,1940211,,,,,23849,,,,,,,,,,,,
132098,,町田市,地蔵菩薩立像,,,,市指定有形文化財,美術工芸品,,132098,,東京都町田市相原町3729,東京都,町田市,相原町,3729,,35.607971,139.301523,,,,,,,,1940211,,,,,23849,,,,,,,,,,,,
132098,,町田市,誕生釈迦仏立像,,,,市指定有形文化財,美術工芸品,,132098,,東京都町田市成瀬4-14-1,東京都,町田市,成瀬4丁目,45305,,35.542579,139.478678,,,,,,,,1940044,,,,,32094,,,,,,,,,,,,
132098,,町田市,薬師如来坐像,,,,市指定有形文化財,美術工芸品,,132098,,東京都町田市野津田町3224,東京都,町田市,野津田町,3224,,35.578273,139.446508,,,,,,,,1950063,,,,,32122,,,,,,,,,,,,
132098,,町田市,聖徳太子立像,,,,市指定有形文化財,美術工芸品,,132098,,東京都町田市鶴間5-17-1,東京都,町田市,鶴間5丁目,45308,,35.504085,139.471582,,,,,,,,1940004,,,,,32094,,,,,,,,,,,,
132098,,町田市,旧多摩郡小野路村名主小島家文書,,,,都指定有形文化財,美術工芸品,,132098,,東京都町田市小野路町950,東京都,町田市,小野路町,950,,35.598944,139.438631,,,,,,,,1950064,,,,,34050,,,,,,,,,,,,
132098,,町田市,小野路組合農兵隊関係資料,,,,都指定有形文化財,美術工芸品,,132098,,東京都町田市小野路町950,東京都,町田市,小野路町,950,,35.598947,139.438629,,,,,,,,1950064,,,,,36591,,,,,,,,,,,,
132098,,町田市,異形台付土器（2点一式）,,,,都指定有形文化財,美術工芸品,,132098,,東京都町田市下小山田町4016,東京都,町田市,下小山田町,4016,,35.58891,139.41054,,,,,,,,1940202,,,,,27431,,,,,,,,,,,,
132098,,町田市,能ケ谷出土銭遺跡出土品一式,,,,市指定有形文化財,美術工芸品,,132098,,東京都町田市下小山田町4016,東京都,町田市,下小山田町,4016,,35.58891,139.41054,,,,,,,,1940202,,,,,35514,,,,,,,,,,,,
132098,,町田市,旧永井家住宅,,,,国指定重要有形文化財,建造物,,132098,,東京都町田市野津田町3270,東京都,町田市,野津田町,3270,,35.57864,139.447246,,,,,,,,1950063,,,,,28511,,,,,,,,,,,,
132098,,町田市,旧荻野家住宅,,,,都指定有形文化財,建造物,,132098,,東京都町田市野津田町3270,東京都,町田市,野津田町,3270,,35.577722,139.447554,,,,,,,,1950063,,,,,27242,,,,,,,,,,,,
132098,,町田市,妙福寺祖師堂,,,,都指定有形文化財,建造物,,132098,,東京都町田市三輪町811,東京都,町田市,三輪町,811,,35.574776,139.499858,,,,,,,,1950054,,,,,22312,,,,,,,,,,,,
132098,,町田市,妙福寺本堂,,,,市指定有形文化財,建造物,,132098,,東京都町田市三輪町811,東京都,町田市,三輪町,811,,35.574776,139.499858,,,,,,,,1950054,,,,,30736,,,,,,,,,,,,
132098,,町田市,妙福寺鐘楼門,,,,市指定有形文化財,建造物,,132098,,東京都町田市三輪町811,東京都,町田市,三輪町,811,,35.574776,139.499858,,,,,,,,1950054,,,,,30736,,,,,,,,,,,,
132098,,町田市,妙福寺高麗門,,,,市指定有形文化財,建造物,,132098,,東京都町田市三輪町811,東京都,町田市,三輪町,811,,35.574776,139.499858,,,,,,,,1950054,,,,,30736,,,,,,,,,,,,
132098,,町田市,長福寺山門,,,,市指定有形文化財,建造物,,132098,,東京都町田市相原町2109,東京都,町田市,相原町,2109,,35.607383,139.320776,,,,,,,,1940211,,,,,26731,,,,,,,,,,,,
132098,,町田市,長福寺文殊堂,,,,市指定有形文化財,建造物,,132098,,東京都町田市相原町2109,東京都,町田市,相原町,2109,,35.607383,139.320776,,,,,,,,1940211,,,,,26731,,,,,,,,,,,,
132098,,町田市,清水寺観音堂,,,,市指定有形文化財,建造物,,132098,,東京都町田市相原町701,東京都,町田市,相原町,701,,35.606267,139.340422,,,,,,,,1940211,,,,,26731,,,,,,,,,,,,
132098,,町田市,清水寺鐘楼,,,,市指定有形文化財,建造物,,132098,,東京都町田市相原町701,東京都,町田市,相原町,701,,35.606267,139.340422,,,,,,,,1940211,,,,,26731,,,,,,,,,,,,
132098,,町田市,清水寺水屋,,,,市指定有形文化財,建造物,,132098,,東京都町田市相原町701,東京都,町田市,相原町,701,,35.606267,139.340422,,,,,,,,1940211,,,,,26731,,,,,,,,,,,,
132098,,町田市,天神社本殿,,,,市指定有形文化財,建造物,,132098,,東京都町田市南大谷451,東京都,町田市,南大谷,451,,35.555142,139.460243,,,,,,,,1940031,,,,,30736,,,,,,,,,,,,
132098,,町田市,青木家住宅,,,,市指定有形文化財,建造物,,132098,,東京都町田市相原町810,東京都,町田市,相原町,810,,35.605825,139.334949,,,,,,,,1940211,,,,,28179,,,,,,,,,,,,
132098,,町田市,箭幹八幡宮随身門,,,,市指定有形文化財,建造物,,132098,,東京都町田市矢部町2666,東京都,町田市,矢部町,2666,,35.579298,139.405481,,,,,,,,1940214,,,,,32918,,,,,,,,,,,,
132098,,町田市,熊野神社本殿,,,,市指定有形文化財,建造物,,132098,,東京都町田市三輪町1925-1,東京都,町田市,三輪町,45316,,35.578779,139.488812,,,,,,,,1950054,,,,,32918,,,,,,,,,,,,
132098,,町田市,村野常右衛門生家,,,,市指定有形文化財,建造物,,132098,,東京都町田市小野路町1256-1,東京都,町田市,小野路町,1256-1,,35.593526,139.441371,,,,,,,,1950064,,,,,34526,,,,,,,,,,,,
132098,,町田市,金井獅子舞,,,,市指定無形民俗文化財,芸能,,132098,,東京都町田市金井町2686,東京都,町田市,金井町,2686,,35.571918,139.460422,,,,,,,,1950071,,,,,23306,,,,,,,,,,,,
132098,,町田市,丸山獅子舞,,,,市指定無形民俗文化財,芸能,,132098,,東京都町田市相原町1743-1,東京都,町田市,相原町,1743-1,,35.607125,139.327346,,,,,,,,1940211,,,,,23306,,,,,,,,,,,,
132098,,町田市,矢部八幡宮獅子舞,,,,市指定無形民俗文化財,芸能,,132098,,東京都町田市矢部町2666,東京都,町田市,矢部町,2666,,35.579298,139.405481,,,,,,,,1940214,,,,,23306,,,,,,,,,,,,
132098,,町田市,大戸囃子,,,,市指定無形民俗文化財,芸能,,132098,,東京都町田市相原町4391-3,東京都,町田市,相原町,33298,,35.6115,139.294619,,,,,,,,1940211,,,,,23306,,,,,,,,,,,,
132098,,町田市,三ツ目囃子,,,,市指定無形民俗文化財,芸能,,132098,,東京都町田市小山町3748-2,東京都,町田市,小山町,17564,,35.591188,139.391063,,,,,,,,1940212,,,,,23306,,,,,,,,,,,,
132098,,町田市,高ヶ坂石器時代遺跡（牢場、稲荷山、八幡平）,,,,国指定史跡,その他,,132098,,東京都町田市高ヶ坂2-1418-3,東京都,町田市,高ヶ坂2丁目,1418-3,,35.539891,139.456809,,,,,,,,1940014,,,,,9552,,,,,,,,,,,,
132098,,町田市,田端環状積石遺構,,,,都指定史跡,その他,,132098,,東京都町田市小山町3113-2,東京都,町田市,小山町,45335,,35.600762,139.363403,,,,,,,,1940212,,,,,26387,,,,,,,,,,,,
132098,,町田市,小山田１号遺跡,,,,都指定史跡,その他,,132098,,東京都町田市小山田桜台2-16-32,東京都,町田市,小山田桜台2丁目,16-32,,35.59279,139.39954,,,,,,,,1940204,,,,,31124,,,,,,,,,,,,
132098,,町田市,本町田遺跡,,,,都指定史跡,その他,,132098,,東京都町田市本町田3455,東京都,町田市,本町田,3455,,35.567278,139.449656,,,,,,,,1940032,,,,,33693,,,,,,,,,,,,
132098,,町田市,西谷戸横穴墓群,,,,都指定史跡,その他,,132098,,東京都町田市三輪緑山1-25-7,東京都,町田市,三輪緑山1丁目,45498,,35.573523,139.493199,,,,,,,,1950055,,,,,33693,,,,,,,,,,,,
132098,,町田市,町田市三輪白坂横穴群,,,,市指定史跡,その他,,132098,,東京都町田市三輪町1720-7,東京都,町田市,三輪町,1720-7,,35.57936,139.493199,,,,,,,,1950054,,,,,27694,,,,,,,,,,,,
132098,,町田市,青木家屋敷,,,,都指定史跡,その他,,132098,,東京都町田市相原町810,東京都,町田市,相原町,810,,35.605825,139.334949,,,,,,,,1940211,,,,,29272,,,,,,,,,,,,
132098,,町田市,木曽一里塚,,,,市指定史跡,その他,,132098,,東京都町田市木曽西4-14-15,東京都,町田市,木曽西4丁目,14-15,,35.56642,139.421862,,,,,,,,1940037,,,,,25448,,,,,,,,,,,,
132098,,町田市,伝鎌倉井戸（鎌倉古道推定地）,,,,市指定旧跡,その他,,132098,,東京都町田市山崎町1050-1,東京都,町田市,山崎町,1050-1,,35.579759,139.439482,,,,,,,,1950074,,,,,29105,,,,,,,,,,,,
132098,,町田市,白洲次郎・正子旧宅,,,,市指定史跡,その他,,132098,,東京都町田市能ヶ谷7-3-2,東京都,町田市,能ヶ谷7丁目,45353,,35.589602,139.477563,,,,,,,,1950053,,,,,37574,,,,,,,,,,,,
132098,,町田市,井出の沢古戦場,,,,都指定旧跡,その他,,132098,,東京都町田市本町田802,東京都,町田市,本町田,802,,35.5589,139.44767,,,,,,,,1940032,,,,,20176,,,,,,,,,,,,
132098,,町田市,下三輪玉田谷戸横穴墓群,,,,都指定史跡,その他,,132098,,東京都町田市三輪町897,東京都,町田市,三輪町,897,,35.57037,139.50016,,,,,,,,1950054,,,,,39533,,,,,,,,,,,,
132098,,町田市,福王寺旧園地（薬師池公園）,,,,都指定名勝,その他,,132098,,東京都町田市野津田町3270,東京都,町田市,野津田町,3270,,35.578254,139.447724,,,,,,,,1950063,,,,,35867,,,,,,,,,,,,
132098,,町田市,アカガシ群落,,,,市指定天然記念物,その他,,132098,,東京都町田市相原町701,東京都,町田市,相原町,701,,35.606267,139.340422,,,,,,,,1940211,,,,,23706,,,,,,,,,,,,
132098,,町田市,シダレザクラ,,,,市指定天然記念物,その他,,132098,,東京都町田市小山町2057-1,東京都,町田市,小山町,20821,,35.597204,139.368991,,,,,,,,1940212,,,,,23706,,,,,,,,,,,,
132098,,町田市,彫刻付大形石棒,,,,市指定有形文化財,美術工芸品,,132098,,東京都町田市下小山田町4016,東京都,町田市,下小山田町,4016,,35.58891,139.41054,,,,,,,,1940202,,,,,40893,,,,,,,,,,,,
132098,,町田市,土偶一式,,,,市指定有形文化財,美術工芸品,,132098,,東京都町田市下小山田町4016,東京都,町田市,下小山田町,4016,,35.58891,139.41054,,,,,,,,1940202,,,,,40893,,,,,,,,,,,,
