全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
131156,1.31156E+11,杉並区,木造日蓮上人立像,,,,有形文化財,彫刻,,131156,,東京都杉並区宮前3-1-3,,,,,,35.693142,139.609307,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,寛文四年銘聖観音庚申供養塔,,,,有形民俗文化財,信仰,,131156,,東京都杉並区成田東4-17-14,,,,,,35.697179,139.636941,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,鎌倉橋上遺跡Ｄ地点住居跡出土遺物,,,,有形文化財,考古資料,郷土博物館内,131156,,東京都杉並区大宮1-20-8,,,,,,35.685988,139.645467,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,高円寺南一丁目（旧中山谷）所在民間信仰石造物,,,,有形民俗文化財,信仰,天祖神社内,131156,,東京都杉並区高円寺南1-11及び高円寺南1-16-19,,,,,,35.698165,139.655904,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,宗源寺開基碑,,,,有形文化財,歴史資料,,131156,,東京都杉並区下高井戸4-2-3,,,,,,35.670393,139.629976,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,紙本著色四季耕作図屏風,,,,有形文化財,絵画,,131156,,東京都杉並区梅里1-1-1,,,,,,35.694983,139.653461,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,木造弘法大師坐像,,,,有形文化財,彫刻,,131156,,東京都杉並区和泉4-18-17,,,,,,35.679125,139.652086,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,医王寺所蔵板碑群,,,,有形文化財,古文書,郷土博物館,131156,,東京都杉並区大宮1-20-8,,,,,,35.685988,139.645467,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,板絵着色製茶図,,,,有形民俗文化財,信仰,,131156,,東京都杉並区上荻4-19-2,,,,,,35.71055,139.606609,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,井荻町土地区画整理碑,,,,有形文化財,古文書,,131156,,東京都杉並区善福寺1-33-1,,,,,,35.71603,139.595213,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,井口美世子家所蔵文書,,,,有形文化財,古文書,,131156,,東京都杉並区下井草4丁目,,,,,,35.719979,139.619169,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,丸山遺跡土坑墓内出土縄文土器,,,,有形文化財,考古資料,郷土博物館内,131156,,東京都杉並区大宮1-20-8,,,,,,35.685988,139.645467,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,田端神社の木槌,,,,有形民俗文化財,信仰,,131156,,東京都杉並区荻窪1-56-10,,,,,,35.693766,139.627614,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,絹本著色舞楽図六曲屏風,,,,有形文化財,絵画,,131156,,東京都杉並区堀ノ内3-48-8,,,,,,35.692286,139.652735,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,西照寺道了堂,,,,有形文化財,建造物,,131156,,東京都杉並区高円寺南2-29-3,,,,,,35.699976,139.65082,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,久我山五丁目二番出土無頭石棒,,,,有形文化財,考古資料,郷土博物館内,131156,,東京都杉並区大宮1-20-8,,,,,,35.685988,139.645467,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,下高井戸塚山遺跡,,,,史跡,遺跡,,131156,,東京都杉並区下高井戸5-23,,,,,,35.67556,139.625215,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,正応四年銘釈迦種子板碑,,,,有形文化財,古文書,,131156,,東京都杉並区天沼2-40-2,,,,,,35.708621,139.626769,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,横倉善次郎家文書,,,,有形文化財,古文書,郷土博物館内,131156,,東京都杉並区大宮1-20-8,,,,,,35.685988,139.645467,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,上高井戸二丁目二番所在民間信仰石造物,,,,有形民俗文化財,信仰,,131156,,東京都杉並区上高井戸2-2-41,,,,,,35.676974,139.613407,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,宝暦四年銘青面金剛立像,,,,有形民俗文化財,信仰,,131156,,東京都杉並区上高井戸2-11-56,,,,,,35.677292,139.608317,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,板絵着色雷神図（狩野洞月詮信筆）,,,,有形民俗文化財,信仰,,131156,,東京都杉並区宮前3-1-2,,,,,,35.692857,139.609408,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,成田東三丁目所在民間信仰石造物,,,,有形民俗文化財,信仰,,131156,,東京都杉並区成田東3-15-4,,,,,,35.692214,139.634862,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,木造大日如来坐像,,,,有形文化財,彫刻,,131156,,東京都杉並区成田西3-3-30,,,,,,35.691995,139.631731,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,木造随身坐像,,,,有形文化財,彫刻,,131156,,東京都杉並区大宮2-3-1,,,,,,35.682018,139.640671,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,天沼一丁目五番所在民間信仰石造物,,,,有形民俗文化財,信仰,,131156,,東京都杉並区天沼1丁目,,,,,,35.705656,139.628187,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,済美台遺跡出土祭祀関係遺物,,,,有形文化財,考古資料,郷土博物館内,131156,,東京都杉並区大宮1-20-8,,,,,,35.685988,139.645467,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,宗源寺のラカンマキ,,,,天然記念物,植物,,131156,,東京都杉並区下高井戸4-2-3,,,,,,35.670393,139.629976,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,大宮八幡宮境内出土瓦,,,,有形文化財,考古資料,,131156,,東京都杉並区大宮2-3-1,,,,,,35.682018,139.640671,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,荻窪三丁目旧在民間信仰石造物,,,,有形民俗文化財,信仰,田端神社内,131156,,東京都杉並区荻窪1-56-10,,,,,,35.693766,139.627614,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,真盛寺客殿・書院及び庫裏,,,,有形文化財,建造物,,131156,,東京都杉並区梅里1-1-1,,,,,,35.694983,139.653461,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,當麻家所蔵文書,,,,有形文化財,古文書,,131156,,東京都杉並区和泉3丁目,,,,,,35.678377,139.645733,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,板絵着色老翁奇瑞の図（北溪筆）,,,,有形民俗文化財,信仰,,131156,,東京都杉並区堀ノ内3-48-8,,,,,,35.692286,139.652735,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,石造観音六面幢,,,,有形文化財,彫刻,,131156,,東京都杉並区梅里1-4-56,,,,,,35.694711,139.648888,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,文保元年銘阿弥陀三尊種子板碑,,,,有形文化財,古文書,,131156,,東京都杉並区和泉3丁目,,,,,,35.678377,139.645733,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,佐藤信淵の墓,,,,史跡,墓・碑,,131156,,東京都杉並区高円寺南2-30-1,,,,,,35.699652,139.651349,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,向ノ原遺跡Ｂ地点出土縄文時代草創期遺物,,,,有形文化財,考古資料,郷土博物館内,131156,,東京都杉並区大宮1-20-8,,,,,,35.685988,139.645467,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,井草観音堂民間信仰石造物,,,,有形民俗文化財,信仰,井草観音堂内,131156,,東京都杉並区井草1-3-14,,,,,,35.7243,139.623351,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,馬場轂里の墓,,,,史跡,墓・碑,宗延寺墓地内,131156,,東京都杉並区梅里1-1-11,,,,,,35.69541,139.653117,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,高井戸東遺跡出土の旧石器,,,,有形文化財,考古資料,郷土博物館内,131156,,東京都杉並区大宮1-20-8,,,,,,35.685988,139.645467,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,八成百万遍念仏講用具,,,,有形民俗文化財,信仰,,131156,,東京都杉並区井草2丁目,,,,,,35.725938,139.61947,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,中道寺鐘楼門,,,,有形文化財,建造物,,131156,,東京都杉並区荻窪2-25-1,,,,,,35.696611,139.61966,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,乾山焼色絵花唐草文水注,,,,有形文化財,工芸品,,131156,,東京都杉並区堀ノ内3-48-8,,,,,,35.692286,139.652735,,,,,,,,,,,,,,,,,,,,,,,,,
