都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
132241,0000000001,東京都,多摩市,旧多摩聖蹟記念館,キュウタマセイセキキネンカン,,The Tama Seiseki Memorial Hall,市指定有形文化財,建造物,,東京都多摩市連光寺5-1-1,東京都立桜ケ丘公園内,35.638047,139.460721,042-338-6883,,1,,,多摩市教育委員会,1986-06-24,火木金土日,10:00,16:00,休館日：毎週月曜日・水曜日（ただし、国民の祝日にあたる場合はその翌日）、年末年始（12/29～1/3）、6・7・8・12・1・2月の第2～5火曜日（祝日等の場合は木曜日）,,,明治天皇の行幸を記念して1930年に建設された建築物である。,It is a building built in 1930 to commemorate the Emperor Meiji's Royal visit.,明治天皇の行幸を記念して1930年に「多摩聖蹟記念館」として建設された。長い間、財団法人多摩聖蹟記念会が管理・運営を行ってきたが、建物の老朽化に伴い取り壊しも検討される中、昭和初期の貴重な近代建築物としての価値があることから市指定の文化財とし、改修後多摩市が管理・運営を行っている。,"In 1930 it was built as ""Tama Seiseki Memorial Museum"" to commemorate the Emperor Meiji's Royal visit. For a long time, the Tama Siseki Memorial Association has been managing and operating the Tama Seiseki Memorial Association, but as demolition is also being considered along with the aging of the building, it is worthwhile as precious modern buildings in the early Showa era, As a cultural asset, after the renovation Tama City is managing and operating.",http://www.city.tama.lg.jp/0000003429.html,
132241,0000000002,東京都,多摩市,旧有山家住宅,キュウアリヤマケジュウタク,,The Ariyama Huuse,市指定有形文化財,建造物,,東京都多摩市南野2-13,一本杉公園内,35.606645,139.435093,042-338-6883,,1,,,多摩市教育委員会,1988-04-01,火水木金土日,09:00,16:30,休館日：毎週月曜日（ただし、国民の祝日にあたる場合はその翌日）、年末年始（12/29～1/3）,,,18世紀前半頃の多摩市の典型的な農家住宅である。,It is a typical farm house in Tama city around the early 18th century.,18世紀前半ごろの多摩市の典型的な農家住宅であり、構造形式については、寄棟造りでその内部構造は柱と桁や梁で組立てられた軸組に、上部を三角形に組んだ扠首で構成されている。,"It is a typical farm house in Tama City around the first half of the 18th century. As regards the structural form, its internal structure is a pair of columns assembled with columns, girders and beams, and the head is a triangle formed by triangulating the upper part.",http://www.city.tama.lg.jp/0000003429.html,
132241,0000000003,東京都,多摩市,関戸文書,セキドブンショ,,,市指定有形文化財,その他,パルテノン多摩収蔵庫,東京都多摩市落合2-35,,35.621684,139.426275,042-338-6883,,2,通,,多摩市教育委員会,1984-07-13,,,,,,,後北条時代における、関戸の民政のあり方を示す貴重な資料である。,It is valuable material showing the way of Sekido civil administration in the Gohojyo period.,,,http://www.city.tama.lg.jp/0000003429.html,
132241,0000000004,東京都,多摩市,調布玉川惣画図,チョウフタマガワソウガズ,,,市指定有形文化財,美術工芸品,パルテノン多摩収蔵庫,東京都多摩市落合2-35,,35.621684,139.426275,042-338-6883,,1,,,多摩市教育委員会,1988-11-01,,,,,,,江戸後期の文化人相沢伴主が描いた、長さ約13メートルの多摩川の絵巻物である。,It is a picture scroll of the Tamagawa with a length of about 13 meters drawn by a cultural person Aizawa Tomonushi in the late Edo period.,多摩の関戸で生まれた江戸時代後半の著名な文化人である相沢五流が江戸時代の多摩川沿岸の風景を描いたもので、奥多摩の源流から羽田付近までが描かれている。,"Aizawa Goryu, a prominent cultural person in the latter half of the Edo Period, born in Tama Sekido, depicts the landscape of the Tama River coast of the Edo period, from the origin of Okutama to the vicinity of Haneda.",http://www.city.tama.lg.jp/0000003429.html,
132241,0000000005,東京都,多摩市,念仏供養板碑,ネンブツクヨウイタビ,,,市指定有形民俗文化財,その他,,東京都多摩市貝取1-15-15,,35.630189,139.441295,042-338-6883,,1,,,,1974-12-20,月火水木金土日,00:00,23:59,,,,室町時代に建てられた、市内最大の板碑。,"Built in the Muromachi era, the largest plate monument in the city.",室町時代の1470年に建てられた板碑で、市内最大の板碑（高さ150㎝）である。,"It is a stone monument built in 1470 in the Muromachi period, the largest monument in the city (height 150 cm).",http://www.city.tama.lg.jp/0000003429.html,
132241,0000000006,東京都,多摩市,麦花塚,バッカヅカ,,,市指定有形民俗文化財,その他,,東京都多摩市貝取1-18-1,,35.628941,139.442195,042-338-6883,,1,,,,1986-03-15,月火水木金土日,00:00,23:59,,,,貝取出身の明治時代の歌人、麦花の和歌などが刻まれた石碑。,"A stone monument carved with a poem from the Meiji Period from Kaidori,Japanese poem.",高さ125㎝の石碑で、表には貝取出身の麦花という歌人の和歌が、裏には弟子26人の名前と、その和歌が刻まれている。1881年に麦花自身が彫刻し建てたものである。,"It is a stone monument with a height of 125 cm. In the table is a songwriter 's poem called Bakka from Kaidori, and on the back is the name of 26 disciples and their poetry. In 1881 the wheat floral sculpture itself built.",http://www.city.tama.lg.jp/0000003429.html,
132241,0000000007,東京都,多摩市,庚申塔,コウシントウ,,,市指定有形民俗文化財,その他,,東京都多摩市貝取1-18-1,,35.628941,139.442195,042-338-6883,,1,,,,1986-03-15,月火水木金土日,00:00,23:59,,,,1705年造立の石仏。,"Stone Buddha, established in 1705.",1705年のもので、高さ152㎝。江戸時代の古い頃からの民間信仰を知ることのできるものである。,"It is 1705, 152 cm in height. It is possible to know the private faith since the old days of the Edo period.",http://www.city.tama.lg.jp/0000003429.html,
132241,0000000008,東京都,多摩市,地蔵菩薩像,ジゾウボサツゾウ,,,市指定有形民俗文化財,その他,,東京都多摩市貝取1-18-1,,35.628941,139.442195,042-338-6883,,1,,,,1986-03-15,月火水木金土日,00:00,23:59,,,,1668年造立の地蔵石仏。,"Jizo stone Buddha, founded in 1668.",1668年のもので、市内の地蔵石仏としては２番目に古い。高さ130㎝。,It is the second oldest as the Jizo stone Buddha in the city in 1668. Height 130 cm.,http://www.city.tama.lg.jp/0000003429.html,
132241,0000000009,東京都,多摩市,阿弥陀如来像,アミダニョライゾウ,,,市指定有形民俗文化財,その他,,東京都多摩市貝取1-18-1,,35.628941,139.442195,042-338-6883,,1,,,,1986-03-15,月火水木金土日,00:00,23:59,,,,1673年造立の阿弥陀石仏。,"Amida Stone Buddha, established in 1673.",1673年（寛文十三年）のもので、阿弥陀石仏としては市内最古。高さ50㎝。,It is the one in the city as Amida Stone Buddha in 1673. Height 50 cm.,http://www.city.tama.lg.jp/0000003429.html,
132241,0000000010,東京都,多摩市,阿弥陀三尊来迎板碑,アミダサンゾンライコウイタビ,,,市指定有形民俗文化財,その他,パルテノン多摩収蔵庫,東京都多摩市落合2-35,,35.621684,139.426275,042-338-6883,,1,,,多摩市教育委員会,1974-12-20,,,,,,,鎌倉時代末期の板碑。,A plate monument in the late Kamakura period.,鎌倉時代末、1323年（元亨三年）造立。阿弥陀如来などが彫られ図柄に優れている。,"Late in the Kamakura period, established in 1323. Amida Nyorai etc. are engraved and excellent in graphics.",http://www.city.tama.lg.jp/0000003429.html,
