種別,種類,名称,員数,所在地,指定等年月日[西暦],所有者,緯度,経度
市指定,有形文化財(建造物),七重塔,1,栃木県大田原市中央2-13薬師堂境内,19620925,不退寺,36.8642830735,140.0217926502
市指定,有形文化財(建造物),舎利塔,1,栃木県大田原市中央2-13薬師堂境内,19620925,不退寺,36.8642830735,140.0217926502
市指定,有形文化財(建造物),勅額門,1,栃木県大田原市佐良土1401法輪寺境内,19660215,法輪寺,36.791904,140.123291
市指定,有形文化財(建造物),山門,1,栃木県大田原市佐久山2243実相院境内,19660728,実相院,36.8075087250,140.0049993395
市指定,有形文化財(建造物),福原八幡宮本殿,1,栃木県大田原市福原1125,19691001,八幡宮,36.804131,140.047898
市指定,有形文化財(建造物),薬師堂,1,栃木県大田原市中央2-13,19890306,不退寺,36.8642830735,140.0217926502
市指定,有形文化財(建造物),石灯篭(大田原神社),1,栃木県大田原市山の手2-2039大田原神社境内,19890522,大田原神社,36.8716368042,140.0320118665
市指定,有形文化財(建造物),雲巌寺山門,1,栃木県大田原市雲岩寺27,19961209,雲巌寺,36.852941,140.209818
市指定,有形文化財(建造物),滝沢神社本殿,1,栃木県大田原市滝沢402,20040212,滝沢神社,36.816981,140.003267
市指定,有形文化財(建造物),大宮温泉神社の石灯籠,2,栃木県大田原市中野内1942,20150619,大宮温泉神社,36.908467758,140.1464751362
市指定,有形文化財(建造物),大田原神社の手水盥,1,栃木県大田原市山の手2-2039大田原神社境内,20160606,大田原神社,36.8716368042,140.0320118665
市指定,有形文化財(絵画),涅槃図,1,栃木県大田原市山の手2-9-2龍泉寺,19731218,龍泉寺,36.8704523585,140.0305406749
市指定,有形文化財(絵画),愛染明王図,1,栃木県大田原市山の手2-9-2龍泉寺,19731218,龍泉寺,36.8704523585,140.0305406749
市指定,有形文化財(絵画),紙本著色大関美作守高増画像,1,栃木県大田原市黒羽田町450大雄寺,20010621,大雄寺,36.8656693284,140.1226383447
市指定,有形文化財(絵画),板絵著色十六羅漢図,16,栃木県大田原市黒羽田町450大雄寺,20010621,大雄寺,36.8656693284,140.1226383447
市指定,有形文化財(絵画),絹本著色大関美作守高増画像,1,栃木県大田原市前田980-1黒羽芭蕉の館,20050216,大田原市,36.8679611002,140.1214474439
市指定,有形文化財(絵画),紙本著色大関美作守高増画像,1,栃木県大田原市前田980-1黒羽芭蕉の館,20050216,大田原市,36.8679611002,140.1214474439
市指定,有形文化財(絵画),絹本著色黒羽城西之図,1,栃木県大田原市前田980-1黒羽芭蕉の館,20050216,大田原市,36.8679611002,140.1214474439
市指定,有形文化財(彫刻),金剛力士像,2,栃木県大田原市中央2-23薬師堂,19620925,不退寺,36.8642830735,140.0217926502
市指定,有形文化財(彫刻),十一面千手観音像,1,栃木県大田原市新富町3-12-6不退寺,19620925,不退寺,36.862938,140.024302
市指定,有形文化財(彫刻),不動明王像,1,栃木県大田原市佐久山2030大日堂,19640527,長宗寺,36.808385,140.009887
市指定,有形文化財(彫刻),刈切地蔵,3,栃木県大田原市若草1-1350刈切地蔵堂,19660728,不退寺,36.859138045,140.035459846
市指定,有形文化財(彫刻),屋台,1,栃木県大田原市新富町1丁目,19660728,上町クラブ,36.8656736202,140.0286161899
市指定,有形文化財(彫刻),木造観世音仏立像,1,栃木県大田原市堀之内120御堂地観音堂,19710212,御堂地観音堂,36.876728424,140.127332210
市指定,有形文化財(彫刻),木造十一面観世音立像,1,栃木県大田原市大久保657道坂観音堂,19710212,道坂観音堂,36.910567,140.163998
市指定,有形文化財(彫刻),仁王尊像,2,栃木県大田原市寺宿303光厳寺,19710212,光厳寺,36.9145708,140.160361
