名称,文化財分類,種類,所在地,場所名称,員数（数）,員数（単位）,所有者等,文化財指定日
銅造  鳥居,佐野市指定文化財,有形文化財(建造物),佐野市大蔵町2928,,1,基,星宮神社,1958/1/10
銅造  鳥居,佐野市指定文化財,有形文化財(建造物),佐野市植下町430,,1,基,赤城神社,1958/1/10
仁王門,佐野市指定文化財,有形文化財(建造物),佐野市並木町1185,,1,棟,安楽寺,1958/2/12
民家,佐野市指定文化財,有形文化財(建造物),佐野市鐙塚町,,1,棟,個人所有,1958/6/25
石灯籠,佐野市指定文化財,有形文化財(建造物),佐野市久保町,,1,基,個人所有,1959/12/24
仁王門及び仁王像,佐野市指定文化財,有形文化財(建造物),佐野市飛駒町2900,,1,棟,永台寺,1980/4/30
東光寺中門,佐野市指定文化財,有形文化財(建造物),佐野市寺中町2337,,1,棟,東光寺,1985/9/25
熊野神社本殿,佐野市指定文化財,有形文化財(建造物),佐野市石塚町1721,,1,棟,熊野神社,1986/12/6
旧三好小学校校舎,佐野市指定文化財,有形文化財(建造物),佐野市岩崎町1325-1,,1,棟,佐野市,1990/4/17
一瓶塚稲荷神社及び西宮神社の社殿,佐野市指定文化財,有形文化財(建造物),佐野市田沼町1404,,1,棟(それぞれ),一瓶塚稲荷神社,1991/2/14
嘉多山七輪窯,佐野市指定文化財,有形文化財(建造物),佐野市嘉多山町1790,,1,基,佐野市,2000/11/29
惣宗寺山門,佐野市指定文化財,有形文化財(建造物),佐野市金井上町2233,,1,棟,惣宗寺,2018/2/15
絹本着色  佐野昌綱画像,佐野市指定文化財,有形文化財(絵画),佐野市犬伏下町2285,,1,幅,大庵寺,1958/6/25
絹本着色  柿本人麻呂像,佐野市指定文化財,有形文化財(絵画),佐野市小中町1062,,1,幅,人丸神社,1966/5/10
安蘇馬車鉄道㈱時代の葛生駅附近図絵,佐野市指定文化財,有形文化財(絵画),佐野市大橋町2047,,1,幅,佐野市,1969/7/25
望月省三作水彩画 「熱海梅林」,佐野市指定文化財,有形文化財(絵画),佐野市赤見町3229,,1,幅,市立赤見小学校,1970/12/18
望月省三作水彩画「麦打ち」,佐野市指定文化財,有形文化財(絵画),佐野市出流原町628-1,,1,幅,市立赤見中学校,1970/12/18
紙本淡彩  琴棋書画図,佐野市指定文化財,有形文化財(絵画),佐野市大橋町2047,,1,幅,佐野市,1989/3/20
小堀靹音筆 「佐野乃雪」,佐野市指定文化財,有形文化財(絵画),佐野市葛生西,,1,幅,個人所有,1993/2/12
天井絵雲龍花鳥図156枚、木村護之介勝守 （尚遷莢守） 図,佐野市指定文化財,有形文化財(絵画),佐野市戸奈良町960,,156,面,種徳院,1997/10/3
銅造  阿弥陀如来坐像,佐野市指定文化財,有形文化財(彫刻),佐野市大祝町2312,,1,躯,宝竜寺,1958/1/10
銅造  阿弥陀如来坐像,佐野市指定文化財,有形文化財(彫刻),佐野市金井上町2237,,1,躯,観音寺,1958/1/10
銅造  地蔵菩薩坐像,佐野市指定文化財,有形文化財(彫刻),佐野市赤見町1148,,1,躯,西光院,1958/1/10
木造  金剛力士像,佐野市指定文化財,有形文化財(彫刻),佐野市並木町1185,,1,対,安楽寺,1958/2/12
木造  阿弥陀如来坐像,佐野市指定文化財,有形文化財(彫刻),佐野市犬伏下町2285,,1,躯,大庵寺,1958/6/25
銅造  薬師如来坐像,佐野市指定文化財,有形文化財(彫刻),佐野市犬伏下町2285,,1,躯,大庵寺,1958/6/25
神楽面,佐野市指定文化財,有形文化財(彫刻),佐野市小中町1062,,8,面,人丸神社,1958/10/1
銅造  地蔵菩薩立像,佐野市指定文化財,有形文化財(彫刻),佐野市越名町406,,1,躯,金蔵院,1960/4/9
木造  地蔵菩薩立像,佐野市指定文化財,有形文化財(彫刻),佐野市天明町2229,,1,躯,涅槃寺,1961/5/27
銅造  阿弥陀如来立像,佐野市指定文化財,有形文化財(彫刻),佐野市天明町2229,,1,躯,涅槃寺,1961/5/27
木造  釈迦如来坐像,佐野市指定文化財,有形文化財(彫刻),佐野市村上町788,,1,躯,竜泉寺,1962/3/22
木造  地蔵菩薩坐像,佐野市指定文化財,有形文化財(彫刻),佐野市村上町788,,1,躯,竜泉寺,1962/3/22
立木地蔵尊,佐野市指定文化財,有形文化財(彫刻),佐野市仙波町1500-6,,1,基,来迎寺,1962/7/23
銅造  大日如来坐像,佐野市指定文化財,有形文化財(彫刻),佐野市植上町1774,,1,躯,大日堂,1964/9/11
木造  閻魔王坐像,佐野市指定文化財,有形文化財(彫刻),佐野市上羽田町690,,1,躯,竜西院,1965/9/10
銅造  阿弥陀三尊像,佐野市指定文化財,有形文化財(彫刻),佐野市上羽田町690,,3,躯,竜西院,1966/9/12
阿弥陀如来座像,佐野市指定文化財,有形文化財(彫刻),佐野市栃本町,,1,躯,個人所有,1967/6/28
銅造  大日如来坐像,佐野市指定文化財,有形文化財(彫刻),佐野市寺中町2273,,1,躯,慈眼院,1985/9/25
銅造  地蔵菩薩立像,佐野市指定文化財,有形文化財(彫刻),佐野市多田町1084-4,,1,躯,下多田自治会,1990/4/17
石造  地蔵菩薩立像,佐野市指定文化財,有形文化財(彫刻),佐野市小見町630-1,,1,躯,飯玉町内会,1991/2/14
木造  千手観世音菩薩座像,佐野市指定文化財,有形文化財(彫刻),佐野市戸室町625,,1,躯,千手院,1992/6/16
木造  阿弥陀如来坐像,佐野市指定文化財,有形文化財(彫刻),佐野市天明町2229,,1,躯,涅槃寺,1993/9/22
